pdf_page,chars,preview
1,235,"司法院釋字第七二八號解釋抄本 司法院公布令 . 1 解釋文及解釋理由書 . 1 蘇大法官永欽提出之協同意見書 . 3 陳大法官新民提出之協同意見書 . 5 湯大法官德宗提出之協同意見書 . 20 陳大法官碧玉提出之部分協同部分不同意見書 . 25 李大法官震山提出之不同意見書 ."
2,603,"解 釋 司法院令 公布本院大法官議決釋字第七二八號解釋 附釋字第七二八號解釋 司法院釋字第七二八號解釋 解 釋 文 解釋理由書 驗鐵雜输翰雜 發文日期：中 華 民 國 104年 3月20日 1040007836號 院長賴浩敏 祭祀公業條例第四條第一項前段規定：「 本條例施行前已存"
3,1255,"日決議通過之消除對婦女一切形式歧視公約 （ Convention the Elimination of Al Forms of Discrimination against Women ) 第二條、第五條之規定， 國家對於女性 為司法院大法官會議法第四條第一項第二款）聲請解釋， "
4,1201,"陳春生陳新民陳碧玉黃璽君 羅昌發湯德宗 協同意見書 蘇永欽大法官提出 本件解釋審查的標的為祭祀公業條例第四條第一項前段， 經以憲法第七條 的消極平等原則審查， 認定尚未違反而不至侵害女子的財產權。 但另據憲法增 修條文第十條第六項的積極平等原則又就該條第一項的全部作成「 適時檢討"
5,1381,"的規定， 平等原則的檢驗對象都是國家行為一立法， 即美國憲法實務所稱的 state action ， 因此還不需要討論到德國憲法學所謂的基本權水平效力 ，乃 至援引其間 接第三人效 （ mitelbare Dritwirkung ) 的理論， 惟恐誤解， 合先說明。 這裡真正 定"
6,1183,"協同意見書 陳新民大法官提出 有無承擔祭祀來決定是否列為派下員， 足見此一有關祭祀公業的立法， 實際上 使女性受到差別待遇的情形限縮於施行前即已存在、 且繼承事實也已發生的祭 祀公業。 不要說條例施行後新設的祭祀公業， 就是施行前已存在的祭祀公業， 只要繼承事實發生於施行後， 都"
7,1219,"的問題， 完全依規約決定（ 以下簡稱系爭規定） ； 及第一項後段的規定， 如果規 約只限定由男系子孫擔任， 不生違反憲法男女平等的問題。 至於無規約或規約 未約定者， 基本上仍以男系子孫擔任， 但無男系子孫時， 女子如未出嫁或是在 若干情形（ 如該條第二項與第三項的派下員絕對多數"
8,1106,"法官這種擴張了法定審查標的規定之範圍， 乃援引「 實質適用論」， 方得 以避免本案應不受理的命運。 這種援引， 顯然不無誤解， 可析述如下。 (一）援 引 「 實質適用論」之不當 我國大法官在過去的釋憲實務中曾不乏出現援引「 實質適用 論」之 例 ， 並將之作為決定審查標的之依據"
9,1066,"為所謂的「 對第三者效力 」 （Die Dritwirkung ) 的問題， 只是多數意 未必是憲法專家， 不能夠深入了解聲請案件所涉及的法理， 以及闡 釋相關法條必須一併審查其他相關的法規範， 方得獲得周延的法理 依 據 。 即使透過大法官援引重要關聯理論， 成為其審查對象， "
10,1105,"在私人關係中有無拘束力或規範力的問題（ 所 謂 「 否認說」 ）， 亦即 私人契約中完全否認基本人權存在的空間，已不復存在！ 所差異之 處乃是如何援引基本人權的問題， 亦 即 ： 基本人權的理念如何「 進 入 」到私人法律關係之間的問題。 在此即產生了「 直接適用論」， 以及須透"
11,1090,"正的將該私人的法律關係， 即呂萬春管理章程第四條的 内 容加以檢 驗 。 也未將男女平等原則「 如何適用」在私人的法律關係中加以描 述 。 對 此 ， 可再說明如下： 1 、 對於呂萬春管理章程第四條的 内 容為何？本號解釋多數意 見 中 ， 完全未轉載其 内 容任何一款。多數意"
12,1104,"律如何規定？目前偏向排除女系子孫是否造成違憲的後果， 亦屬於 整個祭祀公業派下員資格是否牴觸憲法男女平等的原則， 大法官可 援引「 重要關聯理論」 ， 將祭祀公業條例第四條之整個規範納入在審 查範圍之 内 （ 註四） 。然 而 ， 多數意見實質上納入審查之， 但未言其 理 由 ，"
13,1090,"按每個基本人權發生衝突的案例 (Kolision der Grndrechte ) ’ 都 一般平等權的侵犯與否， 如採中度或輕度審查者， 恆以差別待 遇屬於立法者形成權的範圍之 内 。只要立法者出於公益的考量， 且 此公益與差別待遇間有「 實質關聯性」， 即可認為不屬於立法者的"
14,1124,"之政治結社，因此憲法學上也稱之為「 政黨特權 」 （Das Parteienprivileg ) (註五） 。 但也不至於被認定為牴觸憲法第七條所規 法治國家的屬性， 其任務之大， 對政黨的保護， 即比一般人民的結 社自由來得嚴密。最明顯的莫如對政黨的解散， 不可類似一般結 社 "
15,1138,"用性原則 」 （Die Privatntitzigkeit ) 的實踐。 這是指人民對財產權的 歧視也（ 本院釋字第六九六、 七一九、 七二及七二七號解釋參照） 。 因 此 ， 本席之所以採取贊同多數意見的見解， 乃是肯認我國社 會對於祖先的祭祀，已經類同宗教信仰， 甚至有過之而"
16,1087,"「 遺囑自由」（ Testierfreiheit ) ， 也是可以列入憲法財產權保障的範 制 ） ， 不得大幅度實施限制工商發展投資， 而形成社會主義的經濟 體 制 （ 即公有制）…… ， 都是此原則的制度性保障所然（ 往九） 。 作為財產權的擁有者， 可以自由處分財產。家長要將"
17,1066,"題 ， 只是可能的不利益之一，因為不一定每個祭祀公業都有財產 收益的問題。 其 次 ， 如涉及繼承問題， 早在遺產分配那一代人已 完成分配， 其他繼承人的後代子孫似乎無再對該遺產有請求分配 之 權 。更何況每一個祭祀公業對於派下員的資格， 可以有各種分 配方式， 不一定非採平均分"
18,1195,"制度與姓氏血脈的連續 VS . 我國憲法世界潮流所推動的男女平等原則， 兩 「 民之所好」！ 在絕大多數祭祀公業成員的「 法感情」（ Rechtgeftihle ) 中 ， 期 （ 一九三五年 ） ， 也還有 一〇 、六七個祭祀公業。 到目前為止， 據 内 為 此 ， 本席想起德"
19,1436,"(Church of England ) 為 例 ，自十六世紀亨利八世創立以來， 五百年間其聖 努力的方向。 就此而言， 本號解釋多數意見在理由書第三段已經提到了祭 祀公業條例第四條第二項 以 下 ， 已經許可了女性子孫能夠出任派下員的資 格 ； 同法第五條也規定本條例施行後祭祀"
20,1632,"註 四 ： 因為由解釋文一開始即提及：系爭規定「 本條例施行前已存在之祭祀公業， 其派下員依規約定 之 。」並未以性別為認定派下員之標準。 似乎表明未牴觸平等權的問題， 本號解釋即可能作為 不受理而駁回， 因為按大法官一貫審理的成例， 既然系爭規定未強制排除女子擔任派下員， 如 "
21,1320,"協同意見書 湯德宗大法官提出 ( UntermaBverbot ) ( UbermaBverbot ) 註十四： Fritjof Haft , Aus der Wagschale der Justia , 3 Aufl . ， 2001， S . 158 ; 中譯本可參照： 蔡震"
22,1200,"， 多數意見以為： 「 確定終局判決係適用祭祀公業條例第四條第一項前段規 定……為主要之判決基礎，而引用上開管理章程之 内 容， 聲請人既據上開 司法院大法官審理案件法規定聲請解釋……應可認係就系爭規定而為聲請 ， 本院自得以之作為審查之標的」 。 上述說法係由聲請人聲請解釋之法"
23,1013,"併納入解釋範圍， 列為系爭規定： 「 第四條 本條例施行前已存在之祭祀公業， 其派下員依規約定之。 無規約 或規約未規定者， 派下員為設立人及其男系子孫（ 含養子） 。 （ 以 上第一項） 派下員無男系子孫， 其女子未出嫁者， 得為派下員。 該女子招贅 夫或未招贅生有男子或收養男"
24,1194,"， 屬於困難案件 (hard cases ) 。 雖論理未臻理想， 能邁出艱困的第一步， 仍 家應積極地採取措施， 防止權利主體遭受來自於第三人之侵害（ 是即國家 之基本權保護義務） 。 （ 註七）然 ， 要求國家不得過度「 侵害」 （ 限制）人民之 基 本 權 （ 所 謂 「 "
25,1704,"二 、 人 民 、 法人或政黨於其憲法上所保障之權利， 遭受不法侵害， 經依法定程序提起訴訟， 對 於確定終局裁判所適用之 法律或命令發 生有牴觸憲法之疑義者」 。 註 二 ： 關於國家之基本權保護義務， 參見吳庚， 《 憲法理論與政府體制》， 頁 120 〜 125 ( 103"
26,1431,"部分協同部分不同意見書 陳碧玉大法官提出 要關聯者在 内 。 本件聲請人於審理案件時， 認其所應適用之少年事件處理法第三條第二款第三 目規定有違憲疑義， 聲請本院解釋， 符合聲請解釋之要件， 應予受理。 又同法第二十六條第二 款規定， 少年法院認有必要時得以裁定命少年收容於少年觀"
27,1190,"二 、 祭祀公業之設立、 規約之訂定與修正為派下員組成私法人 （ 團體 ）之自 定）聲請解釋， 本案於程序審查上，因該管理章程並非司法院大法官審理 案件法 （ 下稱大審法）第五條第一項第二款所稱之法律或命令， 不得為聲 請憲法解釋之客體， 本案即應不予受理。 惟多數意見以： 「 "
28,1143,"3 、 祭祀公業均於憲法、民法之制定前所設立，自西元一九二三年一 月一日起臺灣並無新設立之祭祀公業（ 往二） ， 迄今已逾九十年。 實 務見解乃認為： 祭祀公業係於民法施行於臺灣前依習慣法設立、 活 動 ， 則依該習慣， 祭祀公業之繼承係以享有派下權之男系子孫或奉 祀本家祖先之女"
29,1277,"之處分違反平等原則， 而認為違反強制禁止規定， 則因規約定而 被排除為派下員之繼承人， 不得主張該規約違反憲法第七條平等原 則 。 綜 上 ， 祭祀公業規約係設立人或其繼承派下子孫基於意思表示所為之 私法上結社及財產處分行為， 以規約定其派下員， 基於私法自治原則， 除 有違反強"
30,1262,"不同意見書 李震山大法官提出 年 5 月 ， 頁 171。 註 六 ： 祭祀公業條例第五條立法理由參照： 「 基於民法規定男女繼承權平等， 本條例施行後之祭祀公 業即不宜再依宗祧繼承之習俗排除女性繼承派下之權利， 爰規定本條例施行後， 祭祀公業及祭 祀公業法人之派下員發生繼承事實"
31,1336,"直接賦予所謂「 基本權利的第三人效力 」 （Dritwirkung der Grndrechte ) 。 猶如 公共利益」， 就成為公權力介入祭祀公業紛爭解決的法律上正當性基礎。 基 此 ， 本條例除祭祀公業之申報、 法人登記、 新訂規約及其監督等公法規定外， 並連 結地籍清理相"
32,1387,"( Schutzbereich ) 而屬人民可請求的主觀公權利， 如同本院釋字第四五號解釋， 新階段。 該憲法增修條文的 内 容， 是否屬憲法第七條男女平等射程的保護範圍 將國家「 應提供適當集會場所， 並保護集會、 遊行之安全， 使其得以順利進行。 」 的積極義務納屬集會自由的"
33,1252,"盾 牌 者 ， 產生振聾啟睛的效果才是！ 叁 、系爭規定對祭祀公業既有規約中具性別歧視部分， 並無任何改善或補救之 機制與作為， 實難通過平等原則的檢證 系爭規定外觀上並未以性別為分類， 但代相傳的祭祀公業定其派下員資 格 ， 不論依規約或習慣， 大多以男性為中心而生差別待遇， "
34,1231,"正溯及既往 」 （unechte Rtickwirkung ) 之慣有模式， 制定特別或過渡規定 (kompersatorische MaPnahme ) ， 對照昔曰之解釋， 顯得保守有餘而成事 未設特別規定， 致使在修正前已發生現尚存在之聯合財產， 仍適用修正 前之規定， 由"
35,1257,"年尸 / 以吵 V . Fergwsow 案作過「 隔離但平等 」 （separate but equal ) (註八） 施是否違反禁止保護不足（ UntermaPverbot ) 原 則 。 從基本權利功能理論 權的利益， 其屬國家消除性別歧視維護憲政秩序的「 重要利益」 ， "
36,1465,"(Wiliam Blake , 1757-1827 ) 有一首長詩名為「 天真 (Auguries of Inocence ) 救措施， 以消除性別歧視， 不只是「 保護不足」而 是 「 完全不作為」， 致 剝奪女子派下權繼承之財產權， 還能不被評價為「 恣意」而構成平等原 則的"
37,1623,"包括制定法律， 以修改或廢除構成對婦女歧視的現行法律、 規章、習俗和慣例…… 。」同公約 第 5 條亦規定： 「 締約各國應採取一切適當措施：（ a ) 改變男女的社會和文化行為模式， 以消 除基於性別而分尊卑觀念或基於男女任務定型所產生的偏見、習俗和一切其他做法…… 。 註 四"
38,1203,"不同意見書 黃茂榮大法官提出 註 H — ： “To se a World in a Grain of Sand , And a Heaven in a Wild Flower , Hold Infinity in the palm of your hand , And Eter"
39,1307,"未規定者， 派下員為設立人及其男系子孫（ 含養子）（ 第一項） 。 派下員無男系 子 孫 ， 其女子未出嫁者， 得為派下員。 該女子招贅夫或未招贅生有男子或收養 男子冠母姓者， 該男子亦得為派下員（ 第二項） 。 派下之女子、 養 女 、贅婿等有 下列情形之一者， 亦得為派下員："
40,1202,"係之約定， 無直接拘束力， 亦即無第三人效力（ Dritwirkung ) ， 則祭祀公業之設 八 十 七 條參照 （ 註二）。 肆 、 祭祀公業條例第四條第一項之探討 祭祀公業條例第四條第一項： 「 本條例施行前已存在之祭祀公業， 其派下員 依規約定之。 無規約或規約未規定者，"
41,1288,"只就系爭規定之規範 内 容而論， 除非以該規定因含空白授權， 致其規範 内 容不明確為理由， 認為當然違憲。否 則 ， 在其未與特定規約結合前，尚不具有 可評斷其合憲或違憲之實質 内 容，因此無違憲與否的問題。 至當其與規約結合 後 ， 應按其結合後之實質的規範 内 容， 在法律"
42,1167,"不同 意見書 葉百修大法官提出 來認定派下權之取得， 以避免因派下權人各房間衍生之子孫人數多寡有別， 從 而增減各派下員之派下權對於祭祀公業財產之份額。 如 此 ， 不僅有助於釐清各 別派下員之派下權、 活化祭祀公業財產之利用， 並與民法繼承編之規定相符。 其 次 ， 若祭祀公業"
43,1081,"標的 (一） 憲法解釋之標的 按司法院大法官審理案件法第五條第一項第二款規定， 人民得 向本院大法官聲請解釋憲法， 須 係 「 經依法定程序提起訴訟， 對於 確定終局裁判所適用之法律或命令發生有牴觸憲法之疑義者。」是 以本院解釋憲法之標的， 依現行法制， 僅限於法律與命令。 本席"
44,1102,"第七〇三號解釋參照） ， 而基於上開說明認定之結果， 本件解釋所涉 及之祭祀公業呂萬春管理章程， 實際上因為系爭規定而成為其法律 規範之一部分， 具有特定「 法律上」之效力。而本件解釋所為審查 之 標 的 ， 即為連結祭祀公業呂萬春管理章程之具體 内 容而形成法院 適用系爭規定之"
45,1096,"下全員證明書後， 無論其規約如何訂定或變更， 實際上均係以該條 例第四條第一項後段為具體規範 内 容， 進而成為系爭規定而加以適 用 ， 此其一。 其 次 ， 該條例第四條第二項與第三項之規定， 究竟是 否受限於規約？亦 即 ， 於系爭規定適用規約後， 有無同條第二項及 第三項之"
46,1106,"管理之困難度均高， 是直至民國九十六年十二月十二日始立法通過 具體規範， 隔年七月一日始為施行。 然而， 於祭祀公業條例施行前， 卻也嘗試透過 内 政部祭祀公業土地清理要點及臺灣省祭祀公業土地 清理辦法， 加強對於祭祀公業「 土地」之管理與使用， 顯見關於祭 祀公業所涉及之規範重"
47,1154,"涵括不足( under - inclusive ) 或過度涵括( over - inclusive ) ’ 構成差別待 權 ， 則關於財產權之限制所適用之平等原則， 本院究應適用何種審 查標準？是否如多數意見一筆帶過， 認為基於尊重私法自治， 維護 法秩序之安定， 即以系爭規定尚"
48,1103,"象不在保障（ 限制） 之 列 ， 或者不應保障（ 限制） 者卻予以保障（ 限 制 ） ， 均可認手段與目的不具各該要求之關聯性。因此， 對於系爭規 定乃至祭祀公業條例第四條第一項後段、第二項及第三項， 究是否 以生理性別為分類標準而形成差別待遇， 取決於如何看待系爭規定 之規範 "
