pdf_page,chars,preview
1,38,"109 年度憲二字第 3 號 言詞辯論 郭皓仁律師、黃昱中律師、翁國彥律師"
2,43,"109 年度憲二字第 3 號 關於本案所涉相關概念 之基本主張及爭點意見 郭皓仁律師"
3,197," 矯治受刑人、降低其再犯可能性、使受刑人 適於回歸社會，乃刑罰主要目的之一。 關於本案所涉  無期徒刑非為永久剝奪受刑人回歸社會之機 會，否則有違特別預防目的及人性尊嚴。 相關概念之基 本主張①  刑之宣告 是 靜態 的，除了抵償罪責及一般預 防，更包含對受刑人未來再犯危險"
4,160," 受刑人有改過遷善的可能性。於施用一定期 間之自由刑後，國家依受刑人之表現，認為 關於本案所涉 其社會危險性已低至無繼續施用刑罰之必要， 予已提前釋放，即為假釋制度 。 相關概念之基 本主張②  假釋後，因再犯等原因，國家認為非令行為 人再度入監受一定期間之刑罰，不足以達成 "
5,75," 假釋是國家重新檢視是否仍有施 關於本案所涉 用刑罰必要性的制度。 相關概念之基  具有國家遵循憲法比例原則限制 本主張③ 人身自由之重要意義。"
6,80,"「系爭規定一及系爭規定 三，有關 無期徒刑受刑人 爭點一：問題 撤銷假釋，不分假釋期間 長短、再犯之性質種類， 一律執行固定之殘餘刑期 之規定 ，是否違憲？」"
7,213," 刑法第 79 條之 1 第 5 項：「經撤銷假釋執行殘餘刑期 者， 無期徒刑於執行滿二十／二十五年 ，有期徒刑 於全部執行完畢後，再接續執行他刑，第一項有關 合併計算執行期間之規定不適用之。」 歷史解釋 文義解釋 爭點一 增訂第五項，規定無期徒刑於再執行滿二十 之殘刑需執行滿"
8,209,"影響受刑人再犯可能性判斷之因素：  撤銷假釋之事由：再犯罪 or 五種保安處分（保持善良 品行、每月報告、服從命令 … ）  後罪之情節 ( 釋字 775 ）、犯罪類型異同、宣告之刑度 ( 釋字 796 ）、犯情事由及一般情狀事由 刑 57 ) 等 爭點一  先前教化悔悟之"
9,135," 系爭規定一及三不區分撤銷假釋之事 由、更犯罪之情節等情形，並且無視受 刑人數十年來為回歸社會所為之一切努 爭點一：結論 力，即一律令其入監服刑 25 年，導致 實際上無特別預防考量之受刑人，其人 身自由受到過度之限制，在比例原則之 嚴格審查標準下，違反必要性原則。"
10,119,"「承上，系爭規定一及系爭規定 三就原據以判處無期徒刑之法律 爭點二：問題 如於判決後經廢止（如懲治盜匪 條例）或經修正（如 108 年 5 月 19 日修正公布前之刑法第 272 條），未就應執行殘餘刑期之規 定為特別考量，是否違憲？」"
11,106," 裁判確定後遇法律變更或廢止，雖非 不處罰相同行為，然法定刑度顯著減輕 之情形： 爭點二 →原先較重之法定刑度，於新的法律秩 序中已不再必要；或者舊法原先追求 之公益目的，至少部分已不再為新的 法秩序所追求。"
12,104," 以本案所涉懲治盜匪條例、肅清煙毒 條例為例： →均係為維護國家動盪時期之社會治安， 爭點二 偏重「 治亂世，用重典 」之一般預防 思想所設之特別刑法。 →於廢止或變更後，相同行為之法定刑 度已大幅減低。"
13,110," 已非亂世，自毋須如斯重典 。  系爭規定一及三，未考量舊法所追求 之特別公益，是否仍為撤銷假釋時所需； 爭點二：結論 及基於舊法判處之無期徒刑，於撤銷假 釋時是否仍有再執行 25 年之必要性， 違反憲法比例原則。"
14,91,"「於有關無期徒刑受刑人撤銷假 釋執行殘餘刑期之規定有變更時， 爭點三：問題 系爭規定一、二及四之前段合併 觀察；系爭規定三及四之但書合 併觀察，就所應適用法律之規定， 是否違憲？」"
15,132," 基於罪刑法定原則 ，刑事法領域絕對 禁止溯及既往 。  刑罰之 假釋條件 ，屬 刑罰 之一部。 爭點三 → 應以行為人於行為時所能預見為準， 不得事後惡化其地位 。  基於信賴保護原則 ，保障受刑人已享 有之法律地位 ( 釋字 574 、 717 ) 。"
16,178," 為處罰經判無期徒刑之「前行為」而 執行之刑罰，於舊法時期 ( 86.11.26 前 ) ， 其 假釋條件 之構成要件事實已實現 ( 無 期徒刑執行逾 10 年得許假釋 ) ，受刑人 爭點三 已有 應受保障之法律地位 。 →不得適用後設之系爭規定突襲，延長 受刑人假釋之年限 ("
