pdf_page,chars,preview
1,642,"釋字第791號解釋不同意見書 吳陳鐶大法官提出 刑法第239條對於通相姦行為之處罰規定， 並不違憲， 本院釋字第554號解釋無變更之必要。 刑事訴訟法第239條 但書規定， 亦不違憲。 該等規定是否已不合當前社會之風俗 教化、 倫理觀、 價值觀， 而應予修正或廢止， 應由代表全國"
2,967,"料之自主控制’ 隱私權乃為不可或缺之基本權利’ 而受惠法 第22條所保障， 亦經本院釋字第603號3及第585號4解釋 明在案。 惟按憲法第22條規定： 「 凡人民之其他自由及權利， 不 妨害社會秩序公共利益者， 均受憲法之保障。」該條所保障 之自由及權利， 以不妨害社會秩序、 "
3,1169,"按 「 立法機關就婚姻關係之有效成立， 訂定… … 一夫一 妻等要件，旨在……維持倫理關係、 社會秩序以及增進公共 利益……」 、 「 婚姻涉及身分關係之變更， 攸關公共利益， … 一夫一妻婚姻制度係為維護配偶間之人格倫理關係， 實現男 女平等原則， 及維持社會秩序， 應受憲法保"
4,735,"要支持， 並為社會形成與發展之基礎。 」 「 婚姻與家庭植基於 人格自由， 為社會形成與發展之基礎， 受憲法制度性保障 （ 本 院釋字第五四號解釋參照） 。」「 婚姻與家庭為社會形成與 發展之基礎， 受憲法制度性保障 （ 參照本院釋字第三六二號、 第五二號解釋） 。 婚姻制度植基"
5,3811,"3 、 對通相姦者以刑罰制裁， 依憲法第22條規定， 不生侵害 性行為自由及隱私權之違憲問題 綜上說明， 憲法第22條所保障之各項自由及權利， 以不 Division ) ， 於 O / Versonv . West Va / eyO ' ty —案中， 亦表示： 原告雖主張猶他"
6,604,"妨害社會秩序公共利益為前提， 除為憲法所明定， 並經本院 釋字第780號 、 第699號 、 第689號及第554號解釋明在 案 ， 已如前述。 則除非修改憲法， 否則解釋憲法之機關無權 推翻憲法之明文規定， 而為不同見解之解釋。 通相姦行為衍 生所謂之性行為自由及隱私權， 妨害"
7,569,"行為自由及隱私權， 不僅係為確保婚姻忠誠義務之履行， 亦 係為維持上開社會秩序及增進上開公共利益之目的，目的正 當 。 2、 對通相姦者以刑罰制裁， 限制通相姦者之性行為自由及隱 私 權 ， 有助於上開維持社會秩序增進公共利益目的之達 成 對通相姦者以刑罰制裁， 限制通相姦者之性"
8,889,"惟按刑罰有其一般預防及特別預防之功能， 非民事方式 得以達成， 否則諸如殺人、 強盜、 竊盜、 詐欺、 背信、 違反 金融法規等所有刑事處罰規定， 亦應均可以民事方式， 達成 防止侵害國家、 社會及個人法益之目的， 而廢止全部之刑事 處罰規定， 其理不通至明。 更何況以民事方式，"
9,860,"庭完整之家庭制度、 婚生子女之正常成長及國家社會之安定 與發展， 均屬極重要之公共利益。 17對通相姦者以刑罰制裁， (三）刑法第239條並不生違反平等原則之問題 有謂刑法第239條規定結合刑法第245條第2 項宥恕規 定及刑事訴訟法第239條但書規定， 實際上形成判決有罪之 女"
10,662,"二 、 刑事訴訟法第239條但書亦不違憲 (一）差別待遇是否符合平等原則之審查原則 按憲法第7條保障之平等權， 並不當然禁止任何差別待 遇 ， 立法與相關機關基於憲法之價值體系及立法目的，自得 斟酌規範事物性質之差異而為合理差別待遇。 法規範是否符 合平等原則之要求， 應視該法規"
11,811,"書規定在實質上係以性別為基礎而產生差別待遇。 惟 按 ， 刑事訴訟法第239條但書規定， 並非以性別為分 類標準， 而係以男女性皆該當之配偶與相姦人為區別標準， 為性別中立之立法。 次查因以往犯通姦罪經告訴後偵查及判處罪刑者， 以男 性居多數， 以自105年起始區分通姦罪、 相姦"
12,1409,"附表一 査 通姦相姦罪案件 终 結情形 105年至108年4月 單位： 人 • ％ 總 犯疑 起 期 罪不 項目別 回告 計 b xlO 計 總計 女 計 9 2 通矣罪 9 7 9 1 女 9 5 9 計 9 相矣罪 9 6 9 2 女 9 3 說明：自 105 年起始有區分通"
13,677,"況查， 105年 1 月至108年 4 月間， 因涉犯通姦罪及相 姦罪， 經檢察官偵查終結之男性及女性分別為4 , 184人、 4 , 348 人 ， 涉犯通姦罪， 因撤回告訴或逾期告訴而為不起訴處分男 性及女性，占各該性別全部被告之比例分別為63%、 59 . 7% (見附表1"
14,1338,"之女性人數及比例均高於男性， 男女性別間並不生差別對待 之結果， 故並非在實質上以性別為基礎而產生差別待遇。 (三）刑事訴訟法第239條但書不違反平等原則 刑事訴訟法第239條但書， 既係以男女性皆該當之配偶 與相姦人為區別標準， 而非以種族或性別等可疑分類為分類 標準， 非屬嫌"
15,660,"訴 者 ， 其效力及於其他共犯」撤回告訴不可分原則規定之適 用， 除係為防止配偶間因訴訟， 致影響夫妻和睦及家庭和諧， 以維護婚姻人格倫理秩序、家庭完整、 婚生子女正常成長及 國家社會之安定與發展外， 並係為防止相姦者再犯相姦罪， 以免繼續破壞他人婚姻人格倫理秩序、 他人家庭完整"
16,3074,"非具有明顯之重大瑕疵， 職司法律違憲審查之釋憲機關固宜 予以尊重…… 。 」 「 涉及……社會等諸多因素之考量與判斷， 對於代表多元民意及掌握充分資訊之立法機關就此所為之 決定， 如非具有明顯之重大瑕疵， 職司法律違憲審查之釋憲 機關即宜予以尊重。」亦經本院釋字第712號及第61"
17,4186,"憲機關自應予以尊重。 2 8 28 美國麻薩諸塞州最高法院 (Supreme Judicial Court o f M asachusets) 在 Comonwealth v. Judith S tow e// —案 中 ， 認 為 ： 美國聯邦最高法院判決清晰地指出， 僅有可以"
