pdf_page,chars,preview
1,732,"臺北高等行政法院 受文者：司法院大法官 發文曰期 • 中 華民國 1 0 3 年 3 月 1 . 0 日發文 主 旨 ： 檢送本院第五庭中華民國103年3 月4 日解釋憲法聲請書 暨關係文件2 件 ， 請 鑒 核 。 說 明 ： 一 、 依據行政訴訟法第178條之1 規定辦理。 "
2,37,"副本： 本院第五庭 （ 無附件） 、 本院紀錄一科宇股 （ 無附件） 2"
3,705,". 解釋憲法聲請書 壹 、 主 旨 ： 為審理臺北高等行政102年度訴字第419號國軍老舊 眷村改建條例事件時， 對於應適用之國軍老舊眷村改建條例 第22條 規 定 ， 依合理之確信， 認為有牴觸憲法第23條所定比 例原則， 侵害人民受憲法第10條 、第15條所保障之居住自由 及"
4,784,"治新村改建基地」） ， 依辦理該改 （ 遷）建基地之改 （ 遷 ) 建第一階段 （ 認證）說明會及備具改 （ 遷）建第一階段 (認證）說明書載明， 該等眷村原眷戶及違占建戶如同意 改 （ 遷）建 ， 應於說明會後3個 月 内 （ 即93年3 月3 曰及4 曰前）填具高雄市自治新村"
5,695,"共利益所必要者外， 不得以法律限制 之 。」 5 . 國軍老舊眷村改建條例第1條 ：「 為加速更新國軍老舊 眷 村 ， 提高土地使用經濟效益， 興建住宅照顧原眷戶、 中低收入戶及志願役現役軍 （ 士）官 、 兵 ， 保存眷村文 化 ， 協助地方政府取得公共設施用地， 並改善都市景"
6,743,"政法院應裁定停止訴訟程序。」 1 . 司法院釋字第371號解釋：「 憲法為國家最高規範， 法 律牴觸憲法者無效， 法律與憲法有無牴觸發生疑義而須 予以解釋時，由司法院大法官掌理， 此觀憲法第171條 、第173條 、第78條及第79條第2 項規定甚明。又法官 依據法律獨立審判， "
7,730,"是否違憲發生疑義， 或系爭法律有合憲解釋之可能者， 尚難謂已提出客觀上形成確信法律為違憲之具體理由。 本院釋字第371號解釋， 應予補充。」 马聲請解釋之理由及對本案所持之立場與見解： ㈠ 聲請解釋之理由： 1 . 按本院於審理102年度訴字第419號國軍老舊眷村改建 條例事件時"
8,661,"未對主管機關「 註銷權」之行使定有合理期間之限制， 已違反憲法第23條之比例原則， 並侵害憲法第10條 、第 15條所保障人民之居住自由及財產權， 應由司法院大法 官宣告違憲而無效， 或釋示所應類推適用之除斥期間規 定 。 ㈡ 對本件所持之立場與見解： 1 . 國軍老舊眷村改建條"
9,712,"律 關 係 ，自非授與國軍老舊眷村改建條例原眷戶權益 之授盈行政處分。 ( 3 ) 迄至85年2 月5 日總統 （ 85 ) 華總字第8500027130號 令制定公布國軍老舊眷村改建條例， 為促進「 加速更 新國軍老舊眷村， 提高土地使用經濟效益， 興建住宅 ⑷ 「 原眷戶權益"
10,696,"創設及保障且具有相當財產價值之法律上利益， 亦屬 憲法第15條所保障之人民財產權。 2 . 國軍老舊眷村改建條例第22條第1 項規定， 主管機關得 逕 行 「 註銷」不同意改建眷戶之眷舍居住憑證及原眷戶 權 益 ， 係屬限制人民居住自由及財產權之不利處分： ⑴依國軍老舊眷村改建條"
11,665,"惟並非對原眷戶權益損害最少之手段， 違反憲法第23條 所定比例原則中之「 必要性原則」 ： ⑴按都市更新為都市計畫之一環， 乃用以促進都市土地 有計晝之再開發利用， 復甦都市機能， 改善居住環境 ， 增進公共利益。國軍老舊眷村改建條例亦係兼為此 目的而制定〔 其目的尚包括提高土地"
12,628,"⑷ 然而， 為達到「 順利推展眷村改建工作」之相同效果 ， 仍有對原眷戶權益損害較少之手段可資選擇： ① 觀諸與國軍老舊眷村改建條例同具有「 都市更新」 公益目的之都市更新條例，同意參與都市更新計晝 案之建築物區分所有權人之人數、區分所有權及其 基地所有權應有部分， 於符合法定門"
13,665,"③ 參酌上開立法例， 可知縱為一定之公共利益， 而有 限制人民財產權或居住自由之必要， 亦應採取對人 民權益損害最少之手段， 以符合比例原則中之「 必 要性原則」 。 ④ 主管機關規劃改建之眷村， 其同意改建之原眷戶如 已達改建之法定門檻， 針對不同意改建之眷戶， 立 法者可選擇"
14,695,"⑴國軍老舊眷村改建條例第22條第1 項所定主管機關之 「 註銷權」 ， 足以直接發生人民喪失「 原眷戶權益」 之法律效果， 性賓上屬於「 形成權」 。 惟因原眷戶所 得享有之「 原眷戶權益」 ， 係基於國軍老舊眷村改建 條例第5 條第1 項所創設， . 而非授益性行政處分所授 予"
15,682,"權益及法秩序之安定， 公務人員考績法未設懲處權行 使期間之規定， 致公務人員應受免職懲處之違法失職 行 為 ，自行為終了之日起經過一定繼續期間未受懲處 ， 服務機關仍得據此行為追溯究問考評公務人員， 而 予， 免職處分， 有違前開意旨， 為貫徹憲法上對公務員 權益之保障， 故釋示"
16,767,"間之規定， 而與比例原則有違，已如前述， 又因其非 屬針對違法行政處分所為之「 撤銷」 ， 亦非屬對合法 行政處分所為之「 廢止」 ， 更非屬對違反行政法上義 務所為之「 裁罰性不利處分」 ， 現行政程序法第13 1 條針對公法上「 請求權」所定之消滅時效固無適用 之餘地，同法第"
17,386,"行使不同意改建權利之原眷戶之嫌； 又國軍老舊眷村改建 條例就主管機關行使註銷權未設有除斥期間之規定， 此一 法律漏洞， 又無法藉由類推適用相同性質之除斥期間而得 以填補， 使主管機關註銷權之行使欠缺除斥期間之限制， 非但有害於法秩序之安定性， 對於原眷戶更構成過度之侵 害 ， 與"
