pdf_page,chars,preview
1,768,"司法院釋字第五六 ０號解釋 中華民國 92 年 7 月 4 日 院台大二字第 17366 號 解 釋 文 勞工保險乃立法機關本於憲法保護勞工、實施社會保險之基本 國策所建立之社會福利制度，旨在保障勞工生活安定、促進社會安 全。勞工保險制度設置之保險基金，除由被保險人繳納之保險費、"
2,735,"貼，藉以減輕勞工家庭負擔，維護其生活安定。該項給付既以被保 險人以外之人發生保險事故作為給付之項目，自有別於以被保險人 八十一年五月八日公布之就業服務法，係為促進國民就業，增 進社會及經濟發展而制定。同法第四十三條第五項規定（九十一年 一月二十一日修正公布之就業服務法已改列第四十"
3,796,"請求解釋最高行政法院八十九年度判字第三二三號判決 所適用之就業服務法第四十三條第五項之規定違憲，俾便聲請 貳、疑義或爭議之性質與經過及涉及之憲法條文 一、緣聲請人魏 ０ 安為德國籍人士（附件一號），依據勞工保 險條例第六條規定由拜耳 ０ 聚優股份有限公司申報加入 勞工保險（附件二"
4,729,"一、外籍人士亦應為憲法基本權利之主體 ㈠ 從 大院大法官以往之解釋意旨以觀 1.大院釋字第三一三號解釋，係由美商 ０ 航空股份有 限公司等十三家外國航空公司及 貴國 ０ 航空公司 共同聲請，主張民用航空運輸管理 規則第二十九條及 第四十六條，牴觸憲法第十五條、 第二十三條對「人 "
5,747,"釋部分，其對於人民財產權之限制 ，顯已逾越上述商 標法第三十三條第一款所定之限度 ，與憲法保障人民 財產權之意旨有違，應不予援用。」（聲證二號） 觀諸是號解釋， 大院大法官顯然認為「解散中 之法人」其財產權亦受憲法之保障 ，亦即肯認「人格 消滅中」之法人亦為憲法上權利保 障之主體"
6,733,"為第八條之平等權規定，則仍使用 「中華民國人民」 字樣，此後歷經民國二十三年十月 十六日立法院三讀 通過之憲法草案（聲證六號），民 國二十五年五月五 日之五憲草（聲證七號），民國 二十九年四月二日 國民參政會通過之國民參政會憲政 期成會五憲草修 正案（聲證八號），民國三十五年 十"
7,709,"「中華民國人民」，解釋上可有兩義：一義可指為「中 華民國境內之人民」；另一義則可指為，「就中華民國 1.對照第五條之規定以觀，可知「中華民國人民」當指 「中華民國境內之人民」 憲法第五條之「中華民國各民族一律平等」中之 「中華民國」顯非指稱國籍之語， 蓋民族並無「國籍 」之可言，"
8,750,"1.秉諸「人性尊嚴尊重」之原則，以及「人皆生而平等 」之天賦人權之意涵，平等權保護 之對象，應當然及 於外國人。人權保障之對象，是否 因其為本國人或外 國人而有區別，往昔曾為憲法學者探討之重心， 貴 國學者劉慶瑞氏即已主張：「在國 際法上，國家有保 護外僑生命與財產的義務，而現代"
9,781,"恣意予以剝奪，如林紀東氏即認為 外國人至少亦應享 有憲法第十五條對財產權之保障（聲證十四號）。 晚近關於基本權利主體之討論，則傾向於就人權 內涵的發展以及基本權具體法制化 的樣態以觀，將基 本權分為「普遍性人權」（ Jederman-Grundrecht ）以 及「國民權」（ N"
10,734,"意，是憲法第七條所謂「中華民國 人民」實不應拘泥 於「中華民國」之文義，而應解為 「中華民國境內之 人民，不分男女、宗教、種族、階 級、黨派一律平等 」。 3.退而言之，如竟認定中華民國憲法僅以國民方為保護 之對象，亦即外國人不受憲法第七 條以及第十五條之 保護，則無異剝奪外國人"
