pdf_page,chars,preview
1,626,"法規範 憲法巷直群請書 裁判案號 g〡 φ 野 二雀更ω 字 第 〦∫劫點 聲請人承放萬 d欲 1 茲依 《憲法訴訟法》第 59條 第 1項之規定 ,聲請法規範憲法審查 : 2 審查客娃 3 《中華民國刑法》第 79之 1條 第 5項 (下 稱 「系爭規定」 4 主要爭砝 5 一"
2,694,"l︳ <公 民與政 1 群而未執行完之殘研 ．因而令產生對其按 《忠法》、 2 治權才 國際公約 >及 《經濟社會文化棒才 國際公約》所享有的 l︳ 之球 l李 3 若干重要基本權才 或相當限制 ． 4 二 、按大法官解釋意旨 (司 法院群字第 471號 、 58尼 號 、 66"
3,930,"步ㄋ〕 日 ～各希恐玹瑤 ?Ⅵ 嚎生｜崔扣蜜娛多 :斑 才名磞 璐 弟啪既條子〝鞘鬼一撥← 2 千●﹏．」糖 釅︳因絡名【湓幽齯 ～拯亡ㄠ曲庪君挪錦●打陵盛舞匆ㄐ h罪 3 石牲老佛 佳中段偢 碗翃帷殘廢 ,朋 多蛁躪 朝′ 失安無塑型錎心 ,出 ,翔 4 僻鄴 獺 陱泓腌叫磁勤"
4,956,"1 旨在保障人民有 自由設定住居所 、遷徙 、旅行 ,包括 出境或入境 2 之權利 。對人民上述 自由或權利加以限制 ,必 須符合 憲法第二十 3 三條所定必要之程度 ,並 以法律定之 」．撒鋪假釋後 ,受 假釋者必 4 須進入某一監獄 ,即 無法 自由地設定佳居所 、遙從 、旅"
5,898,"1 其人格 完整 ,侵害其人性尊嚴 。 2 3.工 作與職 業 自由 3 規定 「人民之工作權應子保障」 ,依 憲法第 15條 我 國釋字第 649 4 號解釋 ,工 作權之保障係指人民有從事工作並有選擇職業之 自由 。 5 而監獄行刑法第 31條 第 1項 前段規定 「受刑人除"
6,985,"1 防矯治之 目的及所 需程度 ,不 合憲法第二十三條所定之 ㄘ匕例 2 原則 。…」 3 2 大法官解釋第 582號 解釋文謂 :「 組織犯罪防制條例 第三條 4 第三碩 犯 第一項之罪者 ,應 於刑之執行 完畢或赦免後 ,令 5 人勞動場所 ,強 制工作 ,其 期 間為三年 "
7,1006,"1 關空氣槍部分 ,對犯該罪而情離輕微者 ,未 併為得減輕其刑 2 或另為適當刑度之規定 ,對人民受忠法第八條保陣人身 自由 3 l｜ ,應 權所為之限制 ,有連忠法第二十三條之 比例原貝 自本解 4 釋公布之 日起至遲於一年屆滿時 ,失其效力 。」 5 4.大 法 官解釋第 理"
8,973,"1 定之違法行為態樣及法律效果明確 ,易 收過阻不法之效 ,是 2 尚屬維護公益之必要措施 。但該條規定以單一標準區分違規 3 ,如 此劃一之處罰方式 ,於 情節之輕 重並據 以計算罰鍰金額 4 特殊個 案情形 ,難免無法兼顧其實質正義 ,尤其罰鍰金額有 5 ,多 文有嚴 重侵 "
9,994,"1 之 負擔亦不應過苛 ,以 符合憲法第 23條 比例原則之精神 ,併 2 比︴旨明 ．」 3 4.又 鈞院釋字第 790號 理 由書謂 人民身體之 自由應子保障 , 4 憲法第 8條 定有明文。人身 自由乃憲法保障之重要基本人權 , 5 立法機 關為保護特定重要法益 ,以 刑罰"
10,933,"1 ,而 撤銷假釋之情形 ,反 生輕 重失衡 更大不公 月或幾年者不過苛 2 平 !」 、 3 刑 法 第 79 條 之 1才 求 件 原 因無 應併納入考 4 量 ,才 能公平解決問題外 ,另 假釋制度最為人詬病者在相 關程序 l法 l期 制 5 不透明 ,同 樣地 ,監 獄行"
11,1049,"1 2.再 者 ,就比較法觀點 而言 ,德 國之假釋制度 ,受 無期徒刑宣 2 告之人 ,於 執行 15年 後 即可聲請假釋 (8tGB57a)、 日本更 3 堇須執行 10年 即可聲請 (參 日本刑法第 28條 ),然 德 國刑 4 法及 日本刑法中 ,對假釋 中再犯之人 ,對"
12,1038,"1 全部殘刑 ,沒有任何裁量空間 ,致 大部分被告於人監後 幾乎 2 等同老死於監所之內 。按 民間團體訪視之觀 察 ,有 部分受刑 3 人 因對 出監 了無希堂 、否定 自身存在之價值 ,兩 有嚴 重愛鬱 l罰 ,不 僅無助協 4 之情形 ,由 此知 ,如 果過苛且無教化意義之"
13,403,"1 所 等待老死 、病死 。對未來毫無希望感的監禁狀 態 ,在 死刑犯 2 t身 上 3到 4年 就 已經被視為酷刑 ,更 何況是對於 面臨 25年 3 l｜ 之受刑人 ,其 心理及生理健康之侵蝕 ,更不容忽視 。 殘毋 6 肆 、結論 7 綜上 ,因 假釋期間犯罪遭撤銷假釋 ,"
