pdf_page,chars,preview
1,424,"釋憲聲請書 聲請人陳文雄 爲 聲請解釋憲法事： 一. 聲請依據： 按 「 司法院大法官審理案件法」第 5條 第 1項 第 2 款規定： 人 民於其憲法上所保障之權利， 遭受不法侵害， 經依法定程序提 起訴訟， 對於確定終局判決所適用之法律或命令發生有抵觸憲 法之疑義者， 得聲請解"
2,606,"項 ， 並向列管單位以書面申請， 逾期視 爲 無異議維持原認證選 項意願， 而聲請人並未在前述期限內變更原選項。 嗣臺南縣影 劇三村改建基地完工後， 國防部所屬總政治作戰局軍眷服務處 分別於96年 7 月 21日、 97年 12月 23日及98年 3 月 9 日辦理 承購原眷戶交"
3,595,"收回該房地， 並得移送管轄之地方法院裁定後強制執行」 ，「國 軍老舊:眷村改建基地完工後無法辦理交屋處理原則」第 6項第 4 款規定： 1 '原眷戶凡阻撓拆除、 妨礙工進、 拒繳價款或其他未 配合主管機關辦理各項改（ 遷 ） 建作業（ 抽 籤 、 搬遷、 交屋等） 者 ， 均屬不"
4,611,"查 「 國軍老舊眷村改建條例」第 22條固規定： 「 規劃改建之眷 村 ， 其原眷戶有三分之二以上同意改建者， 對不同意改建之眷 戶 ， 主管機關得逕行註銷其眷舍居住憑証及原眷戶權益」 ， 其 • 理由係 爲 加速眷村改造， 促進都市更新， 於原眷戶有三分之二 以上同意改建時， "
5,256,"請求法院調查判定， 否則國防部即得使出撒手鐧以註銷眷戶居 住憑証及原眷戶權益作 爲 要脅， 故上述行政命令實已侵害人民 之生存及財產權， 而屬違憲無效， 確定判決依該規定認定原處 分並無違法不當， 實無可予維持餘地。 綜上所述， 聲請人謹依法聲請解釋憲法， 請 鑒 核 賜 准 所"
6,514,"釋憲聲請補充理由書 聲請人陳文雄 聲請人前於101年 8 月向貴會聲請釋憲並提出（ 如附件二）釋 憲聲請書一份， 茲再補充釋憲聲請理由如后： 一. 影劇三村改建住宅完工後， 國防部要求聲請人繳納之價金與之 前舉辦說明會時向眷戶所說之價金不同， 且金額高出甚多， 以 致聲請人及其他"
7,546,"之價金確實不當， 及國防部以原眷戶於完工後經通知仍未繳納 價金而認定原眷戶 爲 「 不同意改建之眷戶」 ， 所根據之「 國軍老 舊眷村改建基地完工後無法辦理交屋處理原則」第 6項第4款 及 「 辦理國軍老舊眷村改建注意事項」第 5項第 3款等規定係 屬違憲： (一）因國防部於改建"
8,603,"(二） 國防部於「 國軍老舊眷村改建條例」增修後， 其下屬單位 陸軍第八軍團指揮部曾於102年 3 月 25日發函予原眷戶 之一張朝林， 通知其於102年 4 月 8 日前提供資料辦理物 價調整款退款事宜， 益可証明國防部於完工後要求收取較 高之價金確實不當， 以上有陸軍第八軍團"
9,411,"後無法辦理交屋處理原則」第 6 項第4 款 及 「 辦理國軍老舊眷 村改建注意事項」第 5項第3款等規定， 國防部得將聲請人之 未繳款認定 爲 「 不同意改建之眷戶」 ， 並逕行註銷眷舍居住憑証 及原眷戶權益， 如此無異剝奪原眷戶對於國防部事後片面之提 高價金及工程缺失以訴訟尋求"
10,457,"釋憲聲請補充理由書 聲請人陳文雄 聲請人前於 l 〇 r 年 8 月 28日提出_釋憲聲請書向貴會聲請釋 憲 * 復於 102年 4 月 8 日提出釋憲聲請補充理由書， 茲再一次 提出釋憲聲請補充理由書： 一.90 • 年 3 月 20曰國防部召開第一次說明會， 僅說明原眷戶及 "
11,583,"二. 按 97年 4 月 28日國防部召開完工交屋說明會， 提供之房屋 總價金與91年第二階段說明會認證時之價金相比， 各坪型 (含增坪）相差達112萬 至 158萬 元 ， 造成聲請人及其他原 眷戶不可預計之經濟負擔。 舉例說明之： 若 400萬元房價以傳統招標方式發包， 以平"
12,582,"項規定， 由國防部於完成細部規劃設計後， 以書面向原眷戶 說 明 ， 並辦理第三階段細部規劃說明會。 準 此 ， 國防部僅能 在大原則不變下， 作細部變更， 但如上述， 國防部在第三階 段說明會卻將規劃、 配 置 、 發包方式及價金等全盤變更， 聲 請人若知如此， 則於第二階段說"
13,243,"已侵害聲請人受憲法保障之知的權利， 聲請人受害在先， 如 事後完全無異議尋求救濟之機會， 一旦受通知而未繳款， 國 防部即得註銷聲請人之眷舍居住憑証及原眷戶權益， 則實無 異容認聲請人之訴訟權、 財產權及生存權得任意遭受剝奪， 故 「 國軍老舊眷村改建基地完工後無法辦理交屋處理原"
14,464,"釋憲聲請補充理由書 聲 請 人 陳 文 雄 聲請人前於10 i 年 8 月 28日提出釋憲聲請書， 嗣 於 102年 4 月 8 日、 102年 5 月 3 日再提出補充理由書， 茲謹再次提出補充理 由書， 敬供參酌： 一.依「 國軍老舊眷村改建條例」 （ 下稱本條例） 第 5條"
15,632,"二.按本條例第5 條 第 1項規定： r ■ 原眷戶享有承購依本條例興建之 住宅及由政府給與輔助購宅款之權益。」第 22條 第 1項規定： 「 規劃改建之眷村， 其原眷戶有三分之二以上同意改建者， 對 不同意改建之眷戶， 主管機關得逕行註銷其眷舍居住憑證及原 眷戶權益， 收回該房"
16,624,"眷戶若未依限繳納， 即得註銷原眷戶之眷舍居住憑証及原眷戶 權益， 不僅與本例第22條 第 1項不同意改建而遭註銷眷舍居住 憑証及原眷戶權益之情形迥然有別， 且剝奪原眷戶因房屋有瑕 疵經由訴訟而得主張不完全給付（ 民法第227條 第 1、 2項） ， 請求賠償損害（ 民法第226條"
17,480,"銷眷舍居住憑証及原眷戶權益， 則主管機關自行訂立「 國軍老 舊眷村改建基地完工後無法辦理交屋處理原則」 ， 並於第6項第 4 款規定「 原眷戶凡拒繳價款者， 即屬不同意改建之眷戶， 準 用相關規定， 主管機關得逕行註銷其眷舍居住憑証及原眷戶權 益 。」及 「 辦理國軍老舊眷村改建"
