pdf_page,chars,preview
1,466,"王○樹等五人釋憲聲請書 聲 請 人一 王 ○ 樹 王 ○ 泉 王 ○ 平 聲 請 人二 彭 ○ 三 聲 請 人三 陳 ○ 蘭 共同代理人兼 送達代收人 詹 順 貴 律師 翁 國 彥 律師 李 明 芝 律師 茲依據司法院大法官審理案件法第 關事項如下： 壹、聲請解釋憲法之目的 請求"
2,625,"請代為拆遷。此等都更事業實施過程之規範模式，更牴 觸憲法權力分立原則，且未給予土地改良物所有權人財 產權、居住權被剝奪時之正當法律程序保障。針對以上 法律爭議，謹請鈞院作成違憲解釋，以維護憲法保障人 民權利之精神。 貳、疑義之性質、經過及所涉之憲法條文 一 、 聲請人一等四人部分"
3,632,"月 揚公司實施本案。 ( 二 ) 聲請人一等四人所有之合法建物 ， 均坐落於臺北市 ○○區○○段○小段○、○地號土地內，而此二筆 土地亦均為聲請人所共有 ， 與上開都更範圍內之其 他權利人無涉。惟實施者樂揚公司未經聲請人同 意 ， 即強行將該等土地納入系爭都市更新事業計畫 案之範"
4,600,"之都更條例第 眾合法建物之蠻橫行徑外 ， 都更條例中容許私人興 辦都更事業時 ， 可透過多數決方式強制將單元範圍 內所有權人土地及房屋均納入都更計畫之規範模 式，亦引起牴觸憲法居住權、財產權保障之重大爭 議。 二、聲請人二部分： ( 一 ) 聲請人二部分所有座落於臺北市○○區○○"
5,598,"森業公司第 實施 ， 並以府都新字第 09730119000 變更計畫及權利變換計畫案件書圖。 ( 二 ) 惟聲請人二之土地座落於系爭都市更新計畫範圍 內，本件都市更新計畫未經聲請人同意，卻因森業 公司取得符合系爭條例第 例門檻 ， 強行將其土地及建築物劃入本件都市更新 計畫範圍"
6,595,"為臺北市政府於 09309753500 公司 （以下稱大方建設） 擬擔任系爭都市更新實施 者。大方建設主張已於 95 10 月 簽署同意書達都市更新條例第 後，擬具系爭都市更新計畫案。於 報請臺北市政府核定 ， 並經臺北市都市更新及爭議 處理審議會審查決議修正後通過 。 臺北市政"
7,607,"得作為憲法解釋之對象 ( 一 ) 按 「有左列情形之一者 ， 得聲請解釋憲法 ： ……二 、 人民、法人或政黨於其憲法上所保障之權利，遭受 不法侵害，經依法定程序提起訴訟，對於確定終局 裁判所適用之法律或命令發生有牴觸憲法之疑義 者。」司法院大法官審理案件法第 款定有 明文 。 "
8,606,"決中據以論罪科刑之實體法及訴訟法之規定 ， 包括 作為判斷行為違法性依據之法令在內 ， 均得為聲請 釋憲之對象。」 貴院釋字第 535 明在案。是以在該號解釋中，聲請人所涉之確定終 局裁判係 署罪 ， 並以該受侮辱之公務員當時是否依法執行職 務為前提；縱使聲請人在刑事審判期間，並"
9,612,"系爭都更案業經更新單元範圍內之 「多數決」 同意 ， 符合都更條例第 而言，若都更條例第 憲無效，原處分機 關絕無可能再核定通過系爭都更事業計畫 ， 行政救 濟機關更不可能予以維持。同理，聲請人一等四人 原有之合法建物 ， 已因臺北市政府依據都更條例第 36 產權遭到完全剝奪 ，"
10,629,"於都市更新條例第 只需符合 更新單元範圍內之一定財產權比例：私有土地及私有 合法建築物所有權人超過 ，以及所有土地總面積 及合法建築物總樓地板面積均超過 請實施都市更新，並容許私人興辦都市更新時，自行 選擇一定單元範圍，透過「多數決」方式強制將單元 範圍內所有權人之土地與房屋納入"
11,607,"( 一 ) 我國憲法第 由所有、使用收益和處分其合法取得之財產。由貴 院釋字第 400 422 464 第 549 產權與生存權之密切關連性 ， 可謂財產權是人民生 存之物質基礎。其中，所有權為財產權之核心，因 為所有權是永久、全面、概括直接支配所有物之權 利，決定物之全部權利歸"
12,602,"字第 在於財產權侵害之嚴重性是否妨礙其自由收益和 安全 。 釋字第 564 別犧牲的主要判斷標準 ， 佐以政府對於受侵害之財 產權人有無提供不同形式之優惠 ， 來判斷財產權侵 害之輕重。因此，憲法保障人民之財產權，確保得 以自由處分和使用收益，僅在符合憲法第 例原則之前提下，方得"
