pdf_page,chars,preview
1,722,"釋字第釋字第釋字第釋字第七二八七二八七二八七二八號解釋不同意見書號解釋不同意見書號解釋不同意見書號解釋不同意見書 李震山大法官 提出 祭祀公業的形成，大多由子孫捐獻、集資購置或以分家產時 預留的田產等，作為祭祀團體的財產，並以其收益提供祭祀祖先 所需的費用。其建置與運作，本係親屬"
2,727,"壹、對「私法自治 」的尊重 ，並不等同於將 私人間法律關係 皆排 除於「基本權利效力 」之外 本條例第一條前段規定： 「為祭祀祖先發揚孝道，延續宗族傳 統」 ，應是祭祀公業成立之初始目的，本不具有公共性。但祭祀公 業派下員彼此間，長久以來就其公同共有財產之管理權、使用收 益權、繼"
3,747,"面關係，而可由法律直接賦予所謂「基本權利的第三人效力」 (Dritwirkung der Grundrechte) 。猶如勞資關係本屬私人關係，但 於勞動基準法及其相關法令規範下已非純私人間關係，無須再經 由代表公益的法院以詮釋「公序良俗」 、 「誠實信用」等抽象概念 為途徑， "
4,792,"聯性」的消極階段，向前跨一大步，邁進了實質上課予國家積極 但若基本國策規定之內容已相當 明確，且又與憲法列舉權有直接關係，又另當別論。就本件解釋 保護義務的新階段。該憲法增修條文的內容，是否屬憲法第七條 而言，如果僅因「消除性別歧視」規定於基本國策，就認其非為 李震山， 《多元、"
5,1177,"並設性別平等處，於一００年十二月公布「性別平等政策綱領」 ， 一０一年一月一日又施行「消除對婦女一切形式歧視 公約施行法」 。 在此風潮下，社會上呼籲保障變性、跨性及同性應 得到法律公平對待之議論，亦已甚囂塵上，而系爭規定自公布迄 應已給予祭祀公業中男性祭祀人，有足夠的時 間與訊"
6,1159,"「法安定性」為盾牌者，產生振聾啟瞶的效果才是！ 參、系爭規定 對祭祀公業 既有規約 中具性別歧視 部分，並無任何 改善或補救之 機制與作為，實難通過平等原則的檢 證 系爭規定外觀上並未以性別為分類，但代相傳的祭祀公業 定其派下員資格，不論依規約或習慣，大多以男性為中心而生差 再 "
7,751,"以 「性別」 作為分類標準之規範，違憲審查不採寬鬆審查標準外， 從憲法整全性及應與時俱進的活憲法觀點下，亦常展現在憲法臥 榻之側，不能忍受與憲法原則有違的法律一直鼾睡之堅定立場。 再舉與本件性質更類似，係有關夫妻財產制所作成的釋字第 四一０號及第六二０號解釋為例。釋字第四一０號解"
8,801,"而指出： 「由於民法親屬編施行法對於民法第一千零十七條夫妻聯 合財產所有權歸屬之修正，未設特別規定，致使在修正前已發生 現尚存在之聯合財產 ， 仍適用修正前之規定 ， 由夫繼續享有權利， 未能貫徹憲法保障男女平等之意旨。」此一具有「追溯」效力的 解釋，的確造成「法律秩序」的不安定"
9,838,"解釋，顯得保守有餘而成事不足。 二、系爭規定係以性別作為分 類標準 ，若循本院歷來針對性別平 等所堅持之較嚴格審查密度 ，實無法通過平等原則之審查 本院歷來審查以「性別」作為分類標準之規範，基於「非屬 人力所得控制之生理狀況」及「弱勢之結構性地位」等理由，大 多不採寬鬆審查標準。"
10,685,"為隔離種族的手段，本件解釋則以「時間」為區隔性別的方法， 對象雖有異，違反平等的本質則相同，此種方法與手段還能規避 「恣意」的指摘嗎？ 此外，本件解釋未附理由，就明快承認既有祭祀公業派下員 （大多為男性）享有財產權、結社自由與契約自由，但完全未提 及未列為派下員之女性 ， 是否亦"
11,727,"止保護不足」原則時，須審慎地從應受憲法保障權利之性質，其 所生危害之程度與風險，相應組織、制度、程序之設計，以及所 肆、結語－－ －－剎那成為永恒 祭祀公業條例在調和傳統與現代的性別平等意識上，主管機 關曾作出相當的努力，惜只顧及起、承、轉的階段上，卻在「合」 採取保護措施的有效"
12,905,"定實體與程序要件，讓繼承人中「願共同承擔祭祀」之女性皆有 作為隱喻。系爭規定像那顆沙般，能看出現實世界普遍存在的不 請求納入派下員之權，逾時未申請方視同放棄，以定紛止爭。 英格蘭著名詩人布雷克 (Wiliam Blake, 1757-1827) 有一首 長詩名為 「天真的預言」 "
