pdf_page,chars,preview
1,1588,"通姦罪之爭議 王 皇 玉 （ 台大法律系教授， 台灣刑事法學會理事長 ) 壹 、 從立法沿革看通姦罪 中國傳統重視禮教， 對於妨害風俗的行為， 範圍設定的很廣， 舉凡非夫妻 關係之男女間的性交行為， 均 概 稱 為 「 姦非罪」； 未結婚之婦女與男子姦淫者， 稱 為 「 無夫姦」"
2,1291,"規 定 ， 則採取了男女平等處罰之概念， 但在法定刑的設計上， 將通姦罪之處罰 從 2 年有期徒刑降低為1 年 ， 並明文規定不得科以拘役或罰金，目的是為了使 犯罪者知所警惕， 顯然於立法時， 仍舊因禮教道德思想， 而有將婚姻問題刑法 化 之 情 形 。 故在此立法沿革下， 現行"
3,1312,"扶持依存， 並延伸為家庭與社會之基礎。 至於婚姻關係存續中， 配偶之一方與 第三人間之性行為應為如何之限制， 以及違反此項限制， 應否以罪刑相加， 因 各國情不同， 立法機關於衡酌如何維護婚姻與家庭制度而制定之行為規範， 如選擇以刑罰加以處罰， 倘立法目的具有正當性， 刑罰手段有"
4,1537,"歸 。 所 見 者 ， 反而是各種流於意識形態、 似是而非的解釋， 徒增法律適用的上 的 「 不安定性」與 「 不平等」之 現 象 。 以 下 先 就 「 通姦」之 解釋爭議， 再就實 務上之認定難題， 加 以 說 明 。 二 、 「 通姦」行 為 與 「 性交」行為定義是否相符"
5,1336,"上 ， 通姦罪已逐步除罪化， 尤其有鑑於刑法之強制手段不宜介入人與人之間的 感 情 世 界 ， 故寧可採嚴格解釋。11 1 2 本文則是認為， 刑法乃國家對人民最為嚴厲 的制裁手段， 為了避免國家刑罰權的濫用， 刑法上的罪刑法定原則嚴格禁止對 人民不利益的「 類推適用」， 從 而"
6,1326,"關於通姦罪的另一個爭議， 是雙方行為人是否限於一方為男性、 一方為女 性 ？此 一 問 題 ， 有 學 說 主 張 ， 刑 法 第 10條 「 性交」之 定 義 ， 已經包括同性間的 肛 交 、口 交 、 異物插入生殖器等行為， 因此同性之間可以有刑法上的性交行 為 ， 已 無 "
7,1419,"曱說： 應予分論併罰。 按刑法於9 4 年 2 月 2 日修正公布， 刪 除 第 5 6 條所定連續犯之規定， 並 自 9 5 年 7 月 1 日起生效施行。而行為人於刑法修正前基於概括犯意連續通姦 多次之行為， 於刑法修正刪除連續犯規定之前， 均依連續犯論以一罪。 前開刑 法 "
8,1477,"此 外 ， 也由於性交行為本身之私密特性， 在 實 務 上 ， 通姦罪的證據， 常無 直接證明性交行為之證據， 而是廣泛使用「 情況證據」， 例 如 「 孤男寡女深夜共 處 一 室 ， 如 無 噯 昧 ， 其誰能信」等擬制或推測方式論罪， 此等論罪方式， 實已 違反罪疑唯輕或無罪"
9,1922,"置放在性道德秩序的維護上。18 歐洲諸國對於通姦罪之廢除， 是在上個世界第二次世界大戰之後。19 6 4年 於海牙所舉辦的第9 次國際刑法會議中， 就將刑法上保護「 家庭與善良風俗」 之相關規定作為討論之議題。 不管是此次會議在19 63 年先舉行的會前會， 或是 19 6 4年"
10,1314,"說 明 ， 通姦罪的追訴， 不能對婚姻有什麼維護的作用， 相 反 的 ， 在大部分的情 況 下 ， 只有毀滅婚姻的作用， 因為無論如何， 對通姦之配偶或第三人的刑罰只 德國後來於19 6 9年正式廢除通姦罪， 在 19 6 9年聯邦議會第5 任期刑法修 正特別委員會第一次書面報告"
11,818,"低 ， 被告人數一年不超過 3 0人 （ 附表一）。 28此 外 ， 通姦罪之法定刑為一年以 下 有期徒刑， 法定刑中沒有「 拘役」或 「 罰金刑」之 選 項 ， 然法院所判之刑 期 ， 幾乎均為 6 月以下有期徒刑， 且均得易科罰金或易服社會勞動。 29 附 表 一 ： 台 北"
12,1420,"如此少量的通姦罪案件量， 其所代表的意義為何？首 先 ， 我們可以檢視我 國每年的離婚率， 根據內政部戶政司統計處的統計， 3 0台灣每年離婚對數， 約 在 5 萬 3 千 對 至 5 萬 8 千 對 之 間 （ 附表三）， 套句目前年輕人常用的語言， 到底 是哪來的自信， 認為"
13,1273,"通姦罪存在如此大量犯罪黑數， 其可能代表的意義有二： 1 、 法律除了制定之外， 還 要 實 踐 ， 也就是要講究法律的有效性。 通姦罪犯罪黑 數 過 多 ， 顯示所制定的法律， 其有效性受到質疑， 亦即法律並未有效地運作， 規範並未有效地貫撤， 如此不僅將影響人民的守法意願， "
14,540,"用 ？ 此 外 ， 在前面所述國際刑法會議中， 對於通姦罪除罪化的討論， 另一個具 啟發性的想法就是， 即便要對通姦行為加以處罰， 也不應罰及無婚姻關係的成 年 相 姦 人 ， 簡 單 的 說 ， 就是僅能處罰有婚姻關係之人， 因為沒有婚姻關係的 人 ， 只要是成年人， 就有性的"
