pdf_page,chars,preview
1,621,"釋字第七二八 號解釋不同意見書 羅昌發大法官 提出 本件除涉及國家應如何積極消除歧視女性之傳統習俗 外，亦有關如何適當權衡與平衡性別平等權、女系子孫之財 產權及其參與祭祀公業運作之權、祭祀公業設立人財產處分 權、祭祀公業設立人及派下員之結社權、私法自治（契約自 由） 、法律不溯及"
2,677,"用而產生 「實質差別待遇」 （ substantive discrimination ） 或「間接歧視」 （ indirect discrimination ）結果之可非 難性。本條例第四條第一項前段表面上雖無歧視之文 義，然我國社會以男性作為祭祀祖先主體之傳統宗族 觀念根深蒂固"
3,622,"解釋，則此規定與本條例第五條規定有明顯衝突；蓋 後者應得合理解釋為「本條例施行後，祭祀公業及祭 祀公業法人之派下員發生繼承事實時， 『不問祭祀公 業是否為本條例施行前已存者，亦不問其規約是否有 相反規定，』其繼承人應以共同承擔祭祀者列為派下 員」 。 （三）本席認為，應基於「合憲"
4,614,"相較，有過之而無不及。多數意見未以有重要關聯為 由，將本條例第四條第一項後段亦列為審查客體，而僅 以之納為要求立法者檢討改進之對象，殊為可惜。 四、本條例第四條第一項前段規定與該項後段、第二項及第 三項之關係及歧視效果之緩和： （一）本條例第四條第一項後段規定： 「無規約或規約未"
5,589,"認為本條例第二項與第三項在文義上係接續第一項 後段，故係在補充第一項後段有關「無規約或規約未 規定」之情形；而不適用於「有規約」之情形，蓋有 規約之情形本應依本條例第一項前段依規約定之。 （三）本席認為第一種解釋（亦即不問有無規約，於符合本 條例第二項或第三項要件時，均得依該等規"
6,654,"祭祀公業財產公同共有人 與得享受祭祀公業解散後 財產分配之「財產權」 。在本條例制定且依之清理祭 祀公業後，祭祀公業財產可能依法定程序成立「祭祀 公業法人」 、 「財團法人」或將財產所有權「變更登記 為派下員分別共有或個別所有」 （本條例第五十條參 照） ；此時派下權仍包括得參與"
7,1016,"of Discrimination against Women ；簡稱 CEDAW ）之定 義，應有助於瞭解憲法第七條所規定「無分男 本條例第 四條前段及後段規定在「效果上」構成有「減損或剝 女……，在法律上一律平等」之具體涵義。 CEDAW 第一條規定： 「為本公約之目的， 『"
8,1382,"遍存在對女性之歧視情形，但須積極並逐步促其實 CEDAW 第五 條規定： 「締約各國應採取一切適當措施： （ a ）改變 以男女為區別之社會與文化行為模式，以消除基於 在憲 現。 法增修條文前揭規定下，國家之責任並不限於消極 2. 上述憲法增修條文規定所要求之「消除性別歧視， 促"
9,590,"且產生對女性作為派下員及擔任祭祀者角色定位 之偏見，國家自有積極義務予以消弭。 3. 憲法第七條係要求國家不得以法令歧視女性。依憲 法增修條文第十條第六項規定，國家有消除歧視之 作為義務。兩者適用上有重疊之處。就本件情形而 言，由於本條例承認或維護普遍存在且系統性歧視 女系子孫之"
10,601,"衡相關權利與公益以認定是否違背平等原則時（後 述） ，應認此種歧視女性之財產處分自由、結社自由 等，無賦予憲法保障之價值。多數意見未能區分其是 否屬於國家應予消弭之歧視慣行，而認原則上應予以 尊重；本席無法認同。 （三）另在無規約或規約未規定女系子孫擔任派下員資格之 情形，並不涉"
11,626,"於傳統習俗及法秩序安定等考量。更何況立法者並非 不得設置適當之機制，合理解決因兩性平等原則溯及 適用於有、無規約之情形，並緩和對法秩序衝擊之疑 慮。例如，制定女系子孫回復請求權之適當程序與時 效、要求相關機關（如戶政機關）積極協助釐清子孫 系統（此亦應為憲法增修條文第十條第六項對"
12,199,"處分權、契約自由及結社自由等，如具歧視女性之內 涵，則無憲法保護價值。女性在憲法第七條下受性別 平等之保護價值與重要性則相對較高。且立法者亦非 不得設置適當之機制，以調和法秩序安定與兩性平等 之積極確保與促進，故本席認為，本條例第四條各項 與憲法第七條保障性別平等之意旨有違，且逾"
