pdf_page,chars,preview
1,854,"關於通姦罪合憲性的鑑定意見 壹 、 審查基準說明 蔡 聖 偉 / 臺北大學法律學系教授 本次憲法庭針對刑法第2 3 9條的部分， 提出了以下三個問題： (1 ) 刑 法 第 2 3 9條之立法目的為何？其係為保障何種法益或基本權利而 設 ？又因此限制或侵害人民何種基本權利？其審查"
2,1672,"貳 、關於通姦罪立法正當性的意見彙整 者 為 我 國 實 務 及 學 界 多 數 說 所 採 。 由 於 這 個 爭 議 和 通 姦 罪 的 立 法 正 當 性 沒 有 直 接 關 聯 ，本 文 以 下 不 打 算 進 一 步 探 究 ，一 律 以 「婚 外 性 行 為 」 來 "
3,1854,"妨 害 婚 姻 罪 ，儉 對 違 背 某 種 婚 姻 義 務 之 情 形 所 設 的 處 罰 規 定 6 。在 德 國 刑 法 刪 除 通 姦 罪 前 ，維 護 婚 姻 這 種 社 會 倫 理 機 制 （ sozialethische I nstitution ) 也 是 常 見"
4,1070,"參 、 維護夫妻間的忠誠 （ 忠 貞 ）義 務 ？ 性思維應予除罪 n 。 與通姦行為所影響的利益相較， 通姦罪限制了何種基本權利這個問題則顯得 較無爭議。 首 先 ， 通姦罪限制了婚姻關儉雙方當事人的性自由， 更精準地說， 就 是實施婚姻關儉外性行為的自由。 其 次 ， 由於追"
5,1287,"在實質上等於是提出了「 因為構成了通姦罪」 這句話來回答， 荒謬處不言而喻22。 換言之， 所謂的違反性忠誠義務， 意思也就是指婚姻關儉中的一方實施了婚外性 行 為 ， 這只不過是構成要件行為「 通姦」 _ 詞的改寫或重言反覆 （Tautologie ) 而 已 ， 沒有真正指出"
6,1113,"肆 、 維護婚姻與家庭？ 此 外 ， 依照學說與實務的理解， 本罪所稱的「 通姦」限於和姦 （ 最 髙 法院 17年 10月 1 3 日決議。如果配偶之一方對於第三人實施強制性交， 並不會該當 本罪 M 。 如此的限縮解釋有其合理的考量， 因為在此種情形並未涉入感情因素， 非屬立"
7,1132,"資 格 ， 後 續 也 無 法 通 過 比 例 原 則 的 檢 驗 。 在進一步分析前必須說明的是「婚姻與家庭制度」一詞有不同的詮釋可能 性 ， 有可能是指超脫任何個別家庭及婚姻關儉的抽象機制本身， 也可能是指稱被 一 、作為抽象機制的婚姻及家庭 大法官釋字第554號解釋中提到1"
8,1811,"的 義 務 ，而 和 是 否 運 用 刑 罰 來 反 應 通 姦 行 為 無 關 。 其 次 ， 這 種 作 為 抽 象 機 制 的 婚 姻 與 家 庭 制 度 ， 也 和 其 他 立 基 於 大 眾 信 賴 的 集 體 法 益 （ 如 文 書 作 為 證 明 工 具 的 制 度"
9,1020,"者受到刑罰制裁時， 也可能會對他方配偶形成心理上的極大負擔 W 。 更不用說在 當事人間選擇原諒宥恕的情形， 國家若仍依職權介入起訴， 反而會對當事人造成 額外的傷害 W 。 因 此 ， 制度上讓那些直接受通姦犯行影響的人決定是否追訴， 應 該是較妥適的設計 B 。 不 過 ， "
10,1101,"這樣的推論若能成立， 就可以通過有效性審查。 但在很大程度上背離現實， 並且過份 髙 估了刑罰的效能。 詳言之， 這種消極一般預防的嚇阻效果， 恐怕只可 能發生在那些沒有感情成分 （ 或感情因素不強） 的潛在婚外性行為。 相反地， 當 通姦者與相姦人之間涉有濃厚的感情因素時， 摧"
11,1699,"的 檢 驗 。 ( 二 ）事 後 的 修 補 效 用 ？ 在 通 姦 行 為 業 已 發 生 的 情 形 ， 所 謂 維 護 當 事 人 婚 姻 、家 庭 或 是 夫 妻 感 情 ， 應 該 是 指 他 方 配 偶 能 夠 透 過 通 姦 罪 的 追 訴 可 能 性 來 維 繫 "
12,1853,"其 中 一 方 施 加 刑 罰 是 不 可 能 的 。德 國 立 法 者 甚 至 明 白 指 出 ， 本 罪 不 但 不 會 有 維 持 婚 姻 的 效 果 ，而 且 還 會 相 反 地 摧 毀 婚 姻 52 * 。 和 其 他 的 刑 事 程 序 相 較 ，在 通 姦 罪 的 "
13,960,"伍 、 審查結論與釋字第 554 號解釋 不可能保障婚姻的美滿， 而只能透過婚姻制度給予人民追尋美滿婚姻的可能性； 婚姻與家庭受憲法保護的內涵， 立基於個人自主選擇透過結婚、 共同生活來實現 人格與生命， 這是自我決定的價值展現， 不能擴大推論憲法保障已婚者享有不受 性忠頁背叛的"
14,492,"段內容沒有任何扞格衝突之處， 自無變更解釋的必要。 然而， 即便將通姦罪刪除， 此段論述的正確性也不會受到影響， 換句話說， 由這段論述並不能推導出國家必 須用刑罰來回應婚外性行為。 而本解釋的第二段解釋文中， 則指明通姦行為是否犯罪化儉屬立法選擇問 題 ， 應由立法者衡酌定之，"
