pdf_page,chars,preview
1,421,"錢 a f 觸 ， 棄觀刺 m D 4 … ⑷ U 嗜 丨鱗 1 義•轉成的各 t 友廣 1 錢 财 病 P t M 畔 IS 齡蓄 7 1 終審判決字號 判決結果 備註 辦 轉 丨 義•參從 ， 巧你致 t- 解 釋 憲 法 麟 書 聲請人： 為刑法第79之 1 條第5 項 ，"
2,932,"涉 及 之 敝 刑法第79之 1 條第5 項 ： 「 經撤銷假釋執行殘餘刑期者， 無期徒刑於執行滿二 十五年 > 有期徒刑於全部執行完畢後’ 再接續執行他刑 > 第一項有 M 合併計算 執行期間之規定不適用之。」 參 、 聲請人之主張及立場 — 、 刑法第79之 1條第5項所涉及"
3,967,"其依自主意志作為或不作為之一般行為自由受到剝奪。 2 . 婚姻與家庭權利 經濟社會文化權利國際公約第1 0 條規定「 家庭為社會之自然基本_ 團體單位， 應盡力給予保護與協助， 其成立及當其負責養護教育受 扶養之兒童時， 尤應予以保護與協助」 。 我國釋字第712號解釋有 謂 「"
4,1131,"三條所定要件。 保安處分係對受處分人將來之危險性所為拘束其身 體 、自由等之處置， 以達教化與治療之目的， 為刑罰之補充制度。 本諸法治國家保瞳人權之原理及刑法之保護作用， 其法律規定之內 容 ’ 應受比例原則之規範， 使保安處分之宣告， 與行為人所為行為 之嚴重性、 行為人所表"
5,1112,"4 . 大法官解釋第777號理由書謂： 「 人民身體之自由應予保障， 憲法 第 8條定有明文。 限制人身自由之刑罰， 嚴重限制人民之基本權利， 係不得已之最後手段。 立法機關如為保護合乎憲法價值之特定重要 法益， 並認施以刑罰有助於目的之達成， 又別無其他相同有效達成 目的而侵害"
6,1070,"區 ， 配合巡迴醫療工作及至安養機構提供藥事諮詢服務等活動， 由 執業之藥師前往支援， 並不違反前揭立法目的， 實無限制之必要。 且參諸現行實務， 主管機關於有上揭情形時皆對系爭條文為彈性解 釋 ， 有條件允許之。 足見就藥師執業處所僅限於一處之規範， 設置 — 定條件之例外 贿"
7,1181,"7 9 條 之 1 規 定 ， 而取巧以賦與法官准否撤銷假釋裁量權方式處理。 而 且若依聲請意旨， 賦與法官或其他機關裁量權， 則除了沒有裁量標準， 將再滋生目前已常見之等者不等、 因法官或裁量者不同而准否撤銷假釋 「除了兩丨法第 7 9 條之 1 才是本件原因案件之癌結， 應併"
8,1323,"我國刑法第 7 9 條之 1 第 5 項規定， 對受刑人過於嚴厲。 ( 三 ） 長期監禁造成受刑人身心之侵害， 恐有違背 <公民與政治權利國際 公約 〉 （International Covenant on Civil and Political Rights » 下 稱 「 公"
9,1108,"運動、 極端氣候、 通風不足以及缺乏放風時間。 且值得注意的是， 死刑犯長期對於死亡預知之不確定所產生之心理焦慮與精神痛苦， 實足已構成殘忍、 非人道或侮辱待遇。 禁止酷刑委員會即認定待死 現象之所以構成酷刑， 不單係因為惡劣之監所條件， 更可能是長期 監禁所造成之精神痛苦。 前"
10,1048,"華民國刑法部分條文修正草案， 包括提高舊刑法強盜罪之法定刑、 增訂準擄人勒贖罪規定等。 至此， 懲治盜匪條例可謂完全走人歷 史 ’ 由刑法、 組織犯罪防制條例等法律來實現該條例維護社會秩 序的立法初哀， 也讓諸如此類犯行之法律評價， 更能切合罪刑相當 之原理原則。 2 . 刑法第"
11,37,"此致 司法院公鑒 中 華 民 國 1 b 年 0 月 — 曰 聲請人："
12,0,""
