pdf_page,chars,preview
1,556,"解釋憲法聲請書 動 ， 希望政府與司法機關能秉持憲法第七條平等原則的精神， 讓 h 性伴 侣 也 聲請人祁家威 代: 理人許秀变律師 莊喬汝律師 潘天慶律師 茲依司法院大法官審理案件法第5 條 第 1 項 第 2 款規定， 聲請鈞院解釋憲 法 ， 並將有關事項敘明如下： 壹 、 "
2,1086,"至 痛 苦 ，包括社會與勞動福利、賦 稅 、 財 產 、 子女監護、醫 療 、（ 跨 國伴 「 世界人權宣言 」 （ Universal Declaration of Human Rights ) 、 1966 年 後 接 續 決 議 通 過 之 「 經 濟 社 會 文 化 權 "
3,909,"參考憲法第七條 。 i (聲證3 ) ( CEDAW ) 及 「 經濟社會文化權利國際公約」及 「 公民與政治權利國際公約」 拖延地進行性別平等和性別多元性的認知和教育。」而 CEDAW 國際人權委員來 台審查我國第二次 CEDAW 國家報告於103年 6 月 2 6 日通過的結"
4,767,"建議採取措施以收集和整理未經登記的結合之統計數據， 並在下一次的國家 報告中提供資訊。」 可 知 ， 過去這十五年來， 我國無論何政黨執政， 在理念上均肯認同性戀者之 人權包括組織家庭之權利應予維護， 也意識到立法彌補人權保障不足之必 要 ， 而國際人權專家更具體指出我國政府負有"
5,774,"引聯合國人權委員會 Joslin V. New Zealand —案判決， 認公政公約 (1 ) 民法第972條 、第 973條 、 第 980條 有 「 男」 、「 女」字 眼 ， 足認我 國民法對於結婚之當事人僅限於男女雙方為之，尚不包括同性者在 内 0 (2 ) 自憲法第2"
6,913,"自由權利。 查婚姻自由是人民人格發展與實現人性尊嚴之基本權利， 而 「 選 擇配偶之自由」乃婚姻自由之核心， 如國家例外地對於婚姻自由此一基本權 利予以限制， 必須符合憲法第二十二條、第二十三條所稱之「 社會秩序」 、 「 公共利益」及 「 防止妨礙他人自由」 、「 避免緊急危難"
7,717,"所應查驗下列證件 ： （ 一） 身分證明文件 ： 結婚當事人為國 内 現有戶籍 2 . 戶籍法第4條 、 第5條 、 第9條第1項 、 第33條第1項前段 戶籍法第4 條 ：「 戶籍登記， 指下列登記： 一 、 身分登記： … （ 四）結 婚 、 離婚登記。 . 」 戶籍法第5 "
8,906,"982條則僅稱「 雙方當事人」） ， 惟實務上之解釋適用最主要乃依據法務部及 内 政 部相關函釋限制結婚須為「 一男一女」當事人， 此等函釋見解最早可溯自法務部 8 3 年 0 8 月 1 日（ 83 ) 法律決字17359號函 釋 ， 其後函釋亦大抵不脫法務部83年 函釋所述範"
9,849,"上開函釋除完全未論及憲法有關平等權之保障， 其所執理由亦明顯具有重大論理 偏誤與缺陷， 而不應予以維持： 一 、 所引學者見解或因宥於時代限制， 該等見解基本上欠缺「 限制同性結婚」的 實質論證， 充其量僅能視之為學者當時個人立場與主觀上對於民法結婚制度 的認知表述。 二 、 縱"
10,700,"婚 ，因此同性戀結婚自由未受限制 j ， 違憲審查應該問的是： 人民 保障 。 1 . 首須說明者， 民法排除同性相婚乃依據性別、 性傾向而為之差別待 遇 ， 依據較嚴格之審查標準， 應先推定為違憲， 再探尋是否有正當 化此一差別待遇之憲法上正當理由（ 聲 證 5 ， 第 29頁"
11,809,"(因此重要的是雙方家長對於兩家聯姻所作的政治、 經濟與社會利 益的盤算， 婚姻當事人之意願不重要， 甚至往橫遭漠視） 、重視 傳 宗接代、香 火 傳 承 （ 古 代 「 七出」不生育構成「 休妻」理由之 一） ， 然而十九年公布的民法， 婚姻作為一種現代法律制度， 首重 當事人自"
12,799,"度 ， 誰不可以進入婚姻制度， 顯然不重要， 亦不具備實質關聯性。 換言之，「自然生育的機會」既然與婚姻制度存在的目的及意義無 關 ， 在審查婚姻當事人要件之時，自不應以性別、 性傾向作為區別 對待的理由。 也 因 此 ， 認為僅有一男一女的結合可以結婚， 排除同 性相婚之可能，"
13,858,"的疾病分類 International Statistical Clasification of D i seases and Re 1 ated Hea 1 th Prob 1 ems 也曾把同性戀列為疾病之 除 ， 其後5 月 17日被定為「 國際不再恐同日 」（ Inter"
14,981,"權委員會 （ Human Rights Comite ) 於 1994 年之 Tonen V. Australia 案即已清楚指出， 公 約 第 2 6 條禁止非合理客觀之差別待 遇 ，而基於性傾向 （ sexual orientation ) 而為的歧視即在本條禁止之 列 （ "
15,815,"Comunication No . 941/2000， CPR / C /78/ D /941/2000 ) ， 隨後 2007 年的 X v . Colombia 案亦再次確認此原則 （ X v . Colombia ， Comunication No . 1361/2005，"
16,825,"2 . 或謂同性相婚與「 人儉秩序」、「 公序良俗」有 違 ，因此應加以限制排 除 ？ 所 謂 「 人倫秩序」 、 「 公序良俗」之 内 涵 ， 詳究之無非就是「 傳 統」（ 習俗）。而 「 傳統」 ， 用白話來說無非是認為「 這是我們唯一 知道的方式， 事情一直是如此」 ， 但"
17,801,"的 財 產 ， 黑人依然是奴隸，而君王與貴族依舊統治凌駕於平民之 上 。「 傳統」不能構成限制同志結婚權的正當事由， 其理甚明。 2001年 ， 全世界近200個國家之中， 只有一個歐洲小國（ 荷蘭） 通過 同性婚姻， 2015年的今天， 地球上有分布於五大洲的二十一個國家 及若"
18,744,"「 維護 J 的 「 家庭價值」 ， 然 而 「 異性戀婚姻之保障」與 「 排除同 之法定生效要件， 且法律本來就無強制任何宗教組織證婚的義務， 因此允許同性婚姻自無妨礙宗教自由之可言。 人類歷史上婚姻與家庭的樣貌原本就是多元的， 把 「 家庭」或 「 一 夫一妻異性戀婚姻」當做"
19,772,"2 . 本件終審判決引聯合國人權委員會 Joslin v . New Zealand —案 ， (2 ) 查國際人權公約包括我國簽署的聯合國兩公約、 CEDAW 乃至我國 明確強制各國負有承認同性婚姻之「 具體義務 j ， 惟前開公約之 (四）限制同性相婚亦違反憲法增修條文第十條"
20,906,"實務發展還在持續演進過程中。 對比於2002年聯合國 Joslin v . New Zealand —案 ， 值得一提者， 歐洲人權法院甫於今（ 2015 ) 也沒汁/沒 （ Aplicationo . 30141/04 ) 案以來，已確立同性伴你 關係符合歐洲人權公約第八條意義"
