pdf_page,chars,preview
1,573,"釋字第六九六號解釋不同意見書 如果夫妻分居的人多的話，將會有更多美滿的婚姻—這是同 一舞台上演出的戲劇。 德國大哲學家‧尼采 我必須走回塵間人世，在你的身邊，我只能是奴隸一個。我 1 期盼的僅是自由、自由。為了渴望的自由，我起而抗爭與奮 鬥，直至死亡或沈淪，也在所不惜。 德國大音"
2,733,"度，宣告所得稅法第十五條第一項之規定（以下簡稱系爭規 定）：「納稅義務人之配偶，及合於第十七條規定得申報減除 扶養親屬免稅額之受扶養親屬，有前條各類所得者，應由納 稅義務人合併報繳。」為違憲，以及理由乃基於「……夫妻 2 合併計算所得淨額後，適用累進稅率之結果，其稅負仍有高 於分"
3,859,"合併報繳之理由（例如可節省家計單位之支出……），已失 附麗。從而要求立法者應當建立一套分居夫妻所得稅報繳之 1 。 另外，多數意見認為這種將已形成 「過去式」 的家庭與 婚姻之法益，作為保障對象，也以錯誤的方式來運用平等原 制度，是本號解釋未能有助於填補我國法制之中，對於分居 則"
4,714,"雜的財產分配、親子關係、社會價值、宗教因素（例如天主 教義即不准教徒離婚）……，而不能使分居者順利完成離婚 2 。 手續。故分居已成為現代社會一個常態現象，且為數甚多， 國家的法律秩序即應涉入此一領域。故德國學界普遍將這種 至於系爭規定之夫妻合併申報及適用更高稅率制度 ， 固 形"
5,736,"就此而言，本院釋字第五四號解釋援引的「人格自 由」，作為家庭與婚姻應受到憲法特別保障之依據。同樣的 人格自由，也更應當賦予婚姻破裂的分居夫妻之上。易言 之，分居夫婦比未婚單身者，可能因為曾經締結婚姻而背負 5 上更多的個人情感、財務、親子關係等的負擔，也可能要擺 脫更多的糾葛（例"
6,732,"質言之，系爭規定以夫妻必須合併申報，如果夫妻皆有收 入，自然收入總額增加，即會適用較高的稅率。而本院釋字 第三一八號解釋儘管承認這種可能造成加重稅負的結果，與 6 憲法精神有違，但並未宣布違憲（關於本院釋字第三一八號 解釋的解讀，與該號解釋何去何從，詳下述）。因此，對於 分居夫妻"
7,1004,"如以租稅法律主義的立場而言，前者當持否定解釋。除 非法律明文規定或是法律明白授權，否則系爭函不能具有確 3 。故上述夫妻也必 4 須承擔共同承擔所得稅繳納義務 。 既然夫妻可視為此公法上債務之連帶債務人 ， 是否債權 人—國家，即可享有自由選擇要求任一債務人履行連帶債務 定分居夫"
8,687,"故本號解釋同時也觸及到我國稅法此一重大 、 且未規範 之漏洞，宜指示立法者妥善予以填補之。 法律必須隨著時代進步，而經常因應演變。任何可以觸 發法制更新的動機案件，都不可以忽視之。故由本號解釋引 發之分居夫妻的法律關係，民法雖未對此有具體之規定，已 8 不符合法治國家原則的高度要"
9,747,"保障本即提供了立法者差別待遇的正當化依據。 首先 ， 凡檢驗一個法律規範是否在適用的案例中造成平 等原則之侵犯，恆以兩組 「比較組合」（Vergleichspare）， 作為評判的樣本，以比較是否出現差別待遇；且此一差別待 6 。我國則透過大法官的解釋中， 承認有此制度。本院釋字"
10,1334,"之懲戒，……，故系爭規定所形成之差別待遇，是否違反平 等原則，應受較為嚴格之檢驗……」。 由上述大法官的見解，昭然地認為儘管存在了差別待 遇，但僅許可對已婚者的「有利差別」為限，而不許可對其 7 。假如 夫妻同居共財，且可自由互贈財產，則結婚後雙方皆有所得 7 以過去大法官解釋中"
