pdf_page,chars,preview
1,54,"國家不能只為滿足情緒而動用刑罰 一刑法通姦罪釋蕙案言詞辯論意旨 台北地方法院刑事第十庭 發言代表： 林孟皇"
2,183,"聲請範圍： 刑法第2 3 9條部分之爭點題綱 > 1 . 刑法第2 3 9條之立法目的為何？ 其係為保障何 種法益或基本權利而設？ 又因此限制或侵害人民 何種基本權利？ 其審查基準為何？ > 2 . 刑法第2 3 9條處罰婚外性行為之手段， 是否有 助於所揭目的之達成？ 手段與目"
3,425,"前言： 當台灣多數民意支持通姦罪時， 法官為 何不依法審判， 仍聲請大法官宣告通姦罪違憲？ ♦ 中華民國台灣是一個民主國家， 同時也是一個共和國家： > 憲法規定的不是單一的民主， 而是一種共和體制， 政府櫂力分散由相 對獨立的部門行使。 共和制既保證公民的民主與積極性， 又被設"
4,468,"接續前頁 ♦ 背景襯托前景一通姦罪乃傳統中國法之道德法律化的餘緒： > 傳統中國法從《 唐律》訂頒， 採 行 「 一准乎禮」的立法原則以來， 开 丨 事法律一直呈現高度的倫理性， 法律道德化、 道德法律化。 > 清末變法， 在研議《 大清新刑律》草案時， 衍生「 法理派」與 「 "
5,366,"爭點1 : 刑法第2 3 9條之立法目的為何？ 其係為保障 何種法益或基本權利而設？ 又因此限制或侵害人民何 種基本權利？ 其審查基準為何？ ♦ 通姦罪的立法目的： > 1 般認為是為了確保配偶間性生活的純潔， 並保護一夫一妻的婚姻制 而設。 釋字第554號解釋指出： 國家為確保"
6,499,"接續前頁 ♦ 通姦罪限制或侵害的基本櫂利： > 通姦罪處罰已婚之人與他人為性行為， 限制人民自主決定是否、 與何人 發生性行為的自由 （ 性行為自主櫂而當事人為了追訴犯罪並舉證， 也勢必侵害個人生活秘密空間免受國家櫂力侵擾的櫂利 （ 隱私櫂） 。 ♦ 大法官審查通姦罪所應採行的審"
7,549,"爭點2 :刑法第2 3 9條處罰婚外性行為之手段， 是否有助於所 揭目的之達成？ 手段與目的間是否存有一定關聯性？ ♦ 為維持婚姻， 以通姦罪限制人民的性行為自主權、 隱私權， 目的欠缺正當 > 通姦罪僅是道德法律化結果， 目的在確保配偶間性生活的純潔、 保護婚姻 制度， 並未涉"
8,501,"爭點 3 :司法院釋字第554號解釋有無變更解釋之必要？ ♦ 法與時轉則治， 治與世宜則有功: > 大法官因應社會變遷， 變更其先前見解的情況， 所在多有 （ 如釋字第 784號變更第 3 82號解釋意旨； 釋字第771號變更第108號 、 第174號 解釋意旨）。 > 釋字第5"
9,362,"接續前頁 ♦ 釋字第748號解釋、 相關國際公約給我們的啟示： > 釋字第748號解釋已肯認同性伴侶在婚姻自由的平等保護， 雖然不能 因此推論出通姦罪違憲， 但確實提供我們一個得以重新思索刑法介 入婚姻家庭妥適與否的契機。 聯合國《 公政公約》第17條禁止對個人私生活的無理侵擾，"
10,368,"結論： 大法官應拿出捍衛人權的魄力 勇於承 擔 ， 讓台灣告別道德法律化的社會 大法官從事司法審查工作， 本質上是反民主、 反多數決的。 在 民主憲政制度下， 政策問題由多數人投票決定； 順從公眾意願 是立法者與行政部門的事情。 大法官的最主要職責， 則在於超 脫民意， 保障人民"
