pdf_page,chars,preview
1,455,"抄本 司法院 令 發文日期：中華民國 97 年 10 月 31 日 發文字號：院台大二字第 0970023522 號 公布本院大法官議決釋字第六四九號解釋 附釋字第六四九號解釋 院長 賴 英 照 司法院釋字第六四九號解釋 解 釋 文 中華民國九十年十一月二十一日修正公布之身心障礙"
2,724,"修正為「非視覺功能障礙者」 ，並移列為第四十六條第一項前段 ，規定意旨相同）係以保障視覺障礙者（下稱視障者）工作權為 目的所採職業保留之優惠性差別待遇，亦係對非視障者工作權中 之選擇職業自由所為之職業禁止，自應合於憲法第七條平等權、 第十五條工作權及第二十三條比例原則之規定。 查"
3,741,"摩為業。惟按摩業依其工作性質與所需技能，原非僅視障者方能 從事，隨著社會發展，按摩業就業與消費市場擴大，系爭規定對 欲從事按摩業之非視障者造成過度限制。而同屬身心障礙之非視 障者亦在禁止之列，並未如視障者享有職業保留之優惠。在視障 者知識能力日漸提升，得選擇之職業種類日益增加下，"
4,660,"摩業之需求市場範圍擴大，而依規定，按摩業之手技甚為廣泛， 包括「輕擦、揉捏、指壓、叩打、震顫、曲手、運動及其他特殊 手技。」 （九十七年三月五日廢止之視覺障礙者從事按摩業資格 認定及管理辦法第四條、現行視覺功能障礙者從事按摩或理療按 摩資格認定及管理辦法第四條第一款規定參照） ，"
5,469,"林子儀 許宗力 許玉秀 林錫堯 池啟明 李震山 蔡清遊 抄林 ○ 絨等三人釋憲聲請書 主 旨：請針對「身心障礙者保護法」第 37 條第 1 項之立法是 否有牴觸憲法第 7 條人民平等權及第 15 條人民之工作 權應予保障，而為解釋。 說 明： 一、聲請解釋憲法之目的 按依憲法第 "
6,705,"二十餘年經驗之理髮從業人員，其工作乃是為客人洗髮、理 髮；其於洗髮、理髮時，縱令有幫客人捏肩、敲背之行為， 表現親切服務態度，此坊間一般理髮業者都會有此服務。豈 料，此種普遍存在於坊間所有理髮業界之情形，聲請人三人 竟遭臺北市政府社會局以違反「身心障礙者保護法第 37 條 第 1"
7,662,"止，而毫無一個界定標準，顯已違反「比例原則」。 ２、本件問題之焦點，可以歸納為三項：一、視障者的就業機 會，應否及如何以特別立法予以保障？二、理髪業者兼做 按摩，是否有其設限的法理基礎？三、立法禁止理髪業者 兼做按摩，是否就能增加或保障視障者的就業機會？ ３、向來國家的福利政策，"
8,674,"中，其本身既然不具有「反價值」的行為色彩，就沒有在 立法上限定只許少數人可以從事，而排斥其他有能力從事 者之理，否則就是對於人民工作權的不當剝奪。 ６、以目前社會現實情況觀之，從事理髮業者達三十餘萬人， 而視障且得有按摩許可者不過二千四百餘人，此為公眾週 知之事實，則為「二千四百"
9,487,"鍾 ○ 日 撰狀人 許 文 彬 律師 蕭 嘉 甫 律師 周 欣 穎 律師 中 華 民 國 94 年 12 月 26 日 臺北高等行政法院判決 九十二年度簡字第八四七號 原 告 林 ○ 絨 訴訟代理人 許 文 彬 律師 被 告 臺北市政府勞工局 代 表 人 嚴 祥 鸞 局長 右當事"
10,715,"條規定，以九十二年四月十五日北市社三字第 ○ 九二三一 四七五 ○ 一號違反身心障礙者保護法案件處分書，處負責人 即原告罰鍰新臺幣（下同）四萬元。原告不服，提起訴願， 經遭駁回，遂向本院提起本件行政訴訟。嗣違反身心障礙者 保護法事件，自九十三年一月一日起移撥臺北市政府勞工局 辦理"
