pdf_page,chars,preview
1,776,"臺北市政府函 受文者： 内 政部 k 速別： 普通件 ； 主旨： 為本府所屬戶政事務所受理民眾申辦結婚登記案件時， j 適用民法有關限制同性別國民不得訂立婚約或結婚登記 I 之規定， 認有牴觸憲法之疑義， 爰依法提出釋憲聲請書1 I 份 ， 謹懇請惠轉司法院解釋， 請查照惠復。 "
2,47,"憲聲請書1份 ， 惠請轉司法院解釋。 m sk 正本： 内 政部 裝 第2頁 ， 共 2頁"
3,835,"臺北市政府解釋憲法聲請書 受憲法之保障 j ( 1 ) 民法第九七二條： 「 婚約， 應由男女當事人自行訂定 。 j 一 、 聲請解釋憲法之目的 按憲法第七條「 中華民國人民， 無分男女、 宗教、 種族、 階級、 黨派， 在法 1 律上一律平等」 、 第廿二條「 凡人民之其他自由"
4,840,"( 1 ) 釋字第三六五號解釋理由書： 「 ……由一男一女成立之婚姻關係…… j 。 ( 2 ) 民法第九八〇條： 「 男未滿十八歲， 女未滿十六歲者， 不得結婚。」 ( 3 ) 民法第九八二條： 「 結婚應以書面為之， 有二人以上證人之簽名， 並應由雙 方當事人向戶政機關為結婚"
5,932,"外 ， 不得以法律限制之。 J ， 另參酌大法官解釋六一四號、 六一八號、 六二四 多以「 夫妻 j 之稱謂等原因， 應可知悉異性婚制度係基於我國傳統觀念所 ( 二）聲請人對本案所持之立場與見解 1 . 按憲法第七條「 中華民國人民， 無分男女、 宗教、 種族、 階級、 黨派， "
6,394,"3 . 縱使限制人民婚姻自由符合憲法第廿三條規定之目的， 其手段亦不符合比例 原則： 有關現行婚姻制度制定顯係基於我國傳統之觀念及種族延續之目的， 惟現行 社會觀念已與過往有所差異， 現今異姓婚姻亦多不生育者， 故以限制人民自 由權做為維繫我國傳統家庭觀念、 種族延續之目的， 其"
7,501,"行政院函 襠 珑 保存年限 地址： 10058臺北市忠孝東路1段1號 受 文 者 ：司法院 發文日期：中華民國104年11月4日 發文字號： 院臺法字第1040052100號 速別： 最速件 密等及解密條件或保密期限： 附件： 如文（ 500000000 F 0 _ 104 G "
8,736,"法務部研析意見 104 . 10 . 3 0 . 關於臺北市政府為所屬戶政事務所受理民眾申辦結婚登記案件時， 適 用民法有關限制同性別人民不得訂立婚約或結婚登記之規定， 函轉請 司法院解釋乙案， 法務部意見如下： 一 、 程序部分： 按司法院大法官審理案件法（ 下稱大審法） 第7"
9,824,"此議題於現行實務上， 仍存在法律適用爭議， 應有由司法院統 一 解釋之實益。 ( 二） 關於民法限制同性別人民不得訂立婚約或結婚登記之規定是 否違憲部分： 查 「 婚姻自由」非為憲法明文列舉之基本權利， 而係透過司法院大法官解釋所承認， 例如：「 一夫一妻婚姻制 度之社會秩序」（"
10,818,"性保障」 （ 司法院釋字第554號 、 第620號 、第 696號 、第 712號解釋參照）。 準 此 ， 憲法解釋所承認之「 婚姻自由」及 「 婚姻」， 係以一夫一妻、 一男一女之結合為前提， 始受憲法 之保障。 ( 三） 次查憲法第22條規定：「 凡人民之其他自由及權利， 不"
11,850,"拿大、 美國等）。 且如上所述， 我國憲法解釋所承認之「 婚姻 自由」及 「 婚姻」 ， 係以一夫一妻、 一男一女之結合為前提， 「 選擇與同性別者締結婚姻之自由」 及 「 同性婚姻」尚難謂為 憲法第22條所保障。 是 以 ， 民法有關限制同性別國民不得訂 立婚約或結婚登記之規定"
12,840,"生理性別（ 或戶籍登記之性別）為分類標準， 形成與選擇同性 為婚姻對象者間之差別待遇。 民法有關婚姻之規定， 係立法者 考量「 一夫一妻婚姻制度之社會秩序」， 基於對婚姻制度之保 護所訂定， 適足以達成維護人倫秩序、 男女平等、 養育子女等 社會性功能（ 司法院釋字第554號解釋"
13,454,"( CEDAW ) 第 2 次國家報告總結意見與建議所 共 同關切。 本部作 法 。又此議題為行政院性別平等政策綱領、 兩公約國家人權初 次報告國際審查會結論性意見、 消除對婦女一切形式歧視公約 為民法主管機關， 就同性伴 侣 （ 同性婚姻）涉及民法親屬編部 分 ，自101年 8"
14,651,"I 外交國防法務處 保存年限 内 政部函 受文者： 行政院 主 有關臺北市政府函請本部層轉鈎院釋憲聲請書一案， 請鑒 核 0 說明 依據臺北市政府104年7月24日府授民戶字第10431966000 號函（ 如附件影本 ) 辦理° 按司法院大法官審理案件法第5條第1項第1款規定："
15,216,"大法官審理案件法規定聲請釋憲。 四 、 按戶籍法第9條第1項規定：「 結婚， 應為結婚登記。」僅 規範結婚應為戶籍登記之程序， 有關結婚登記之實質要件 及形式要件， 均依民法第2章有關婚姻相關規定， 本案依臺 北市政府解釋憲法聲請書所述聲請理由， 係指其適用民法 發生有牴觸憲法之"
