pdf_page,chars,preview
1,459,"抄臺灣花蓮地方法院刑事第五庭法官吳志強釋憲聲請書 壹 、 聲請解釋之目的 一 、 按憲法為國家最高規範， 法律牴觸憲法者無效， 法律與憲法有無 牴觸發疑義而須予以解釋時， 由司法院大法官掌理， 此觀憲法第 171條 、第 173條 、 第 78條及第79條 第 2 項有明文規定。"
2,510,"各該事件或案件之訴訟或非訟程序之裁定停止在 内 ， 裁定停止訴 訟或非訟程序， 乃法官聲請釋憲必須遵循之程序。 又所謂「 先決 問題」係指審理原因案件之法院， 確信系爭法律違憲， 顯然於該 案件之裁判結果有影響者而言； 所謂「 提出客觀上形成確信法律 办 I • * 違憲之具體理"
3,826,"入量刑事由之審酌1 ， 此 不僅乃因累犯之規定 ， 有 違反行為刑法 是聲請人審理107年度花原易字第7 號被告 〇 ， 妨害兵役案 上之罪者， 為累犯， 加重本刑至二分之一。 （ 第 2 項） 第九十八條 第二項關於因強制工作而免其刑之執行者， 於受強制工作處分之 執行完畢或一"
4,482,"下有期徒刑」， 故本件被告0 〇 Q 該當刑法第47條之適用。 意旨， 聲請司法院大法官解釋憲法。 懇請鉤院以解釋之方式， 實現憲法保障人民基本權利之意旨。 貳 、 M 義性質與經過， 及涉及之憲法條文 一 、 本院受理107年度花原易字第7 號被告0 0 ， 因妨害兵役案 件 "
5,627,"v 叁 、 聲請解釋憲法之理由及對本案所持之立場與見解 序 . 一 、 刑法第47條規定違反一事不再理、 一行為不二罰之正當法律程 1、 按司法院釋字苐168號解釋理由書指出： 按一事不再理， 為我刑 事訴訟法之基本原則。 次按司法院釋字第384號解釋理由書亦闡 明 ： 實質正當"
6,917,"規 定 與 「 行為貴任原理」不 一 致 〔 德 國 ： B G B U 1986 , S . 393〕 、 「 禁 止雙重處罰 （ 即一行為不二罰 ） 」 之 法 理 〔 瑞士 ： B 1 , 1 9 , S . 2060〕6。 並 且 ， 國 内 論者亦指明： 刑法第48條更"
7,599,"加重事由， 其後在科刑部分又再審酌刑法第57條第5款 時 ， 將 前科紀錄納入作為考量犯罪行為人之品行的依據， 已有違反「 禁 止雙重處罰 （ 即一行為不二罰） 」之法理 。 是刑法第47條規定均 違反一事不再理、 一行為不二罰之正當法律程序。 二 、 刑法第47條規定違反憲法第"
8,626,"之禁止原則， 即違反平等原則之 内 涵， 此乃違反平等原則之其一; 再者， 主管機關並未有提出充分的實證資料、 數據證明我國刑法 第47條規定何以「 5 年 内 再犯」有特別需要矯正之必要 ， 此均 無法通 過合憲性審查之檢驗9。 更甚者 ， 立法者所制定之累犯規 定是對執行完畢"
9,796,"成為一般量刑事由 I 其背後之緣由乃因19世紀後半葉， 資本主 1 、 又按憲法第23條規定的比例原則應該涵蓋 「目的正當性」、 「 手 段適合性」 、 「 手段必要性」及 「 限制妥當性」 ， 「目的正當性」宜 依照不同公益份量而有寬嚴不同的審查標準， 而在「 手段適合性」 、"
10,717,"德國就刑法第48條 「 累犯」規定一律予以删除13。 刑法既以「 行 為貴任」為 原 則 ， 一旦符合我國刑法第 47 條之累犯規定， 該罪 之法定刑上限即可增加至二分之一， 實難謂目的具有正當性。 3 、向來主張累犯規定應該存在之理由， 多 . 半考量的是「 前刑 . 警告」 "
11,864,"肆 、 結論 從東洋、 西洋的刑罰歷史觀察， 對於累犯或再犯者給予較重的刑 罰似乎符合一般民眾的直覺情感， 但是從法治國的觀點來看， 則 未必合乎法治國的要求， 從審判實務的現實面觀察， 其實大多數 符合刑法第47條規定之累犯， 只是如同我國學說所指出的「 微 罪之累犯」 ， 只"
12,541,"人滿為患， 亦凸顯我國刑事政策之失當， 況且我國刑法第47條 '關於累犯之規定已有前述三種違反平等原則之情形； 刑法第47 條規定不僅欠缺目的之正當性， 同時也無法達到立法者原本想要 之目的； 刑法第47條違反一事不再理 • 、 一行為不二罰之上位原 則 。 基此， 如前所述， "
13,640,"1 . 佐藤由梨， 「 7 / ' 力刑事手 続 ( C 拓汁 S 瑕疵 态 乙無罪判決七二重 1 . htp ： / kokai . ndl . go . jp / SENTAKU / sangin / 001 / 1340 / 00108061 340009 a . html"
14,56,"此 致 司 法 院 聲請人： 臺灣花蓮地方法院法官吳志丨鐵 中 華 民 國 ） 0 ] 年 沴月 4 曰 14"
