pdf_page,chars,preview
1,1011,"正 本 ORIGINAL 釋憲聲請書 聲 請 人 ： 孫 洪 濱 代 理 人 ： 駱 怡 雯 律 師 壹 、 聲請解釋憲法之 t 的 〜 、 國軍老舊眷村改建條例第二十二條第一項牴觸 例）第二十二條第一堉^規劃改建之眷村， 其原眷戶有四分之三以上 N 憲法 九十六年一月為日修正前"
2,1065,"因聲請人等之眷舍居住憑證及原眷戶權益遭主管機關國防部註銷， 致 其憲法保障之基本權利（ 財產權、 平等權）受到侵害， 經依合法程序提起 訴 訟 ， 仍未能獲得救濟， 唯有透過鈞院大法官解釋憲法， 確認註銷處分 及確定終局判決所適用之處分時眷改條例第二十二條第一項（ 系爭規定） 牴"
3,1349,"配眷舍、 輔助貸款、 輔助購宅者， 得申請分配眷舍。 在九 H — 年十二月三 ( 一） 司法院大法官解釋建立之審查標準 按照歷來有關財產權保障之大法官解釋見解， 國家基於公益目的， 非 不得以制定法令限制人民財產權， 惟法令文字本身必須遵守法律明確性原 則2， 如由法律授權訂定"
4,1381,"a . 憲法學理與比較法觀點 給付之房租補助費具有替代關係。 另 外 ， 配住眷舍之權益亦得經軍眷業務 權責機關核定後交換或轉讓（ 第陸之二點） ， 實務上將配住眷舍的權益轉 讓予未獲得配住者時， 多約定有對價， 此項對價亦足以證明眷舍居住權具 有財產價值。 2 . 系爭規定中「"
5,1855,"邦憲法院將社會性給付是否以權利人「自己的給付 （ eigene Leistungen ) 」 為基礎做標準， 來劃定憲法財產權在此脈絡下的保護範圍。 (nicht unerheblich ) 以請求權人自己的給付為基礎， 並以保障其生存 基 礎 （ Existenzsicheru"
6,1437,"b . 司法院大法官解釋採取之標準 關拒絕， 將影響其憲法所保障之財產權 j ( 解釋理由書）17。 至釋字第五 憑證與眷改條例規定的原眷戶權益是否可納於憲法財產權的保護範圍 中 ， 亦有參考的價值。 蓋眷舍配住或眷村改建為國家對現役軍人、 軍眷與 遺眷的照顧性措施， 屬於給付行"
7,1295,"否有意藉此表示因為被保險人的「 自身給付 J ( 保險費） ， 故勞保給付請 保險之養老給付請求權， 採取類似「自身給付 J 理論作為解釋基礎。 此號 該函釋限縮適用範圍是合憲的限制聲請人的財產權， 並不牴觸憲法且屬於 正確適用法令。 顯然對於憲法財產權保護範圍的認定， 大法官仍"
8,1238,"c . 小結 給付」標 準 ， 相同之處僅為二者均以當事人過去的財產給付作為推論憲法 財產權保障的出發點， 其餘 内 涵則有相當的差異。由於解釋對象的特殊 性 ， 使釋字第434號解釋採用的「 存款」觀 點 ， 較前述德國「自身給付」 標準更為狹窄， 後者只要求請求權人對給付的資"
9,1202,"八號解釋後， 大法官並直接將「 比例原則 j 的憲法依據定位於憲法第二十 寬鬆的標準， 將 所有「 法令所定的財產性權利」均納入憲法財產權的保護 範 圍 。 ( 2 ) 原眷戶居住憑證與原眷戶權益均立於憲法財產權之保護範圍 中 回到本聲請案之爭點。 眷舍居住憑證代表眷戶獲得核准配"
10,1271,"濟 、 以及憲法增修條文第十條第九項國家對軍人的尊重、 對退役軍人的照 顧等規定中， 找到其憲法上的依據， 而即使在憲法文字並無直接依據， 眷 村改建的目的亦為符合憲法精神的公益目的。 是以註銷原眷戶居住憑證與 權益以實現上述合憲目的為出發點， 在比例原則審查的第一步驟並無疑 義"
