pdf_page,chars,preview
1,547,"侧 1 、 狀 齡 K 0011474 f l V ^ 案 號 年度 字第 號承辦股別 訴語標的 元 金額或價額 依 序 填 寫 ：國民身分證統一編號或營利事 業 統 一 編 號 、 性 別 、出生年月日、 職 業 、 稱 謂 住 居 所 、就 業 處 所 、公 務 所 、事務所"
2,0,""
3,472,"腳憲法聲請書 聲請人 為刑法第79之 ； !條 . _ 赏 ， 涉有抵觸憲法第8 條人身自由及第23條比例原則 等 疑 義 ， 爰依司法院大法官審理案件法第5 條 第 1 項 第 2 款及第8 條 第 1 項規 定 ， 聲請解釋憲法事： 壹 、 聲請憲法解釋之目的 ― 、請求宣告"
4,940,"十 五 年 ， 有期徒刑於全部執行完畢後， 再接鑛執行他刑， 第一項有關合併計算 執行期間之規定不適用之。」 參 、 聲請人之主張及立場 一 、 刑 法 第 79之 1 條 第 5 項所涉及之憲法上基本權利 受假釋者若遭撤銷假釋時， 則須人監服其原來因假釋而未執行完之殘刑。 也就"
5,1069,"第八條設有明文。 限制人身自由之法律， 其 内 g 符合憲法第二+ 經濟社會文化權利國際公約第1 0 條規定「 家庭為社會之自然基本 團體單位， 應盡力給予保護與協助， 其成立及當其負責養護教育受 扶養之兒童時， 尤應予以保護與協助」 。 我國釋字第712號解釋有 謂 「 基於人"
6,1163,"之嚴重性、 行 為 人 所 ^之 危 險 性 ， 及尉於行為人未來行為之期待 性相當■■槍砲彈藥刀械管制條例…不問對行為人有無預防矯治其社 會危險性之必要， 一律宣付強制工作三年， 限制其中不具社會危險 性之受處分人之身體、 自由部分， 其所採措施與所欲達成預防矯治 之目的及所需"
7,1106,"目的而侵害較小之手段可資運用， 雖得以刑铜規範限制人民身體之 自由， 惟刑箭對人身自由之限制與其所欲睢謎之法益， 仍須合乎比 例之關係， 尤其法定刑度之高低應與行為所生之危害、 行為人 责 任 之輕重相稱， 始符合憲法罪刑相當原則， 而與憲法第23條比例原 則無違(本院釋字第54"
8,1092,"一定條件之例外確有其必要。 系爭條文於藥師不違反前揭立法目的 之情形下， 或於有重大公益或緊急情況之需要時， 一律禁止藥師於 其他處所執行各種不同之藥事業務， 未設必要合理之例外規定， 已 對藥師執行職業自由形成不必要之限制， 有違憲法第二十三條比例 原 則 ， 而與憲法第十五條"
9,1173,"服殘刑25年 過 苛 ， 故裁量不撤銷假釋， 但對原犯輕罪所餘殘刑幾月或 幾年者不過苛， 而撤銷假釋之情形， 反生輕重失衡更大不公平！」、 「 除了刑法第79條 之 1 才 是 本 件 原 因 案 件 之 ， 應併納入考量， 才 能公平解決問題外， 另假釋制度最為人詬病者在相關程"
10,1325,"按公政公約第7 條 明 文 ： 「 任何人不得施以酷刑， 或予以殘忍、 不 人道或侮辱之處遇或懲罰。 非經本人自願同意， 尤不得對任何人作 醫學或科學試驗。」且 按 《 公民與政治權利國際公約及經濟社會文 化權利國際公約施行法》 （ 下稱「 兩公約施行法」 ） 第 2 條規定： "
11,1092,"Brenan 則以死刑犯於執行前漫長等待所造成之精神痛苦， 構成死 刑不可分割之一部分， 作為認定死刑制度違憲之理由。 4 . 本案及其他遭到撤銷假釋之無期徒刑受刑人， 雖並非死刑犯， 實務 上長期監禁之情況， 卻猶如讓這群無期徒刑受刑人在監所等待老死、 病 死 。 對未來毫無希"
12,945,"此致 司法院公鑒 2 . 刑法第2條第3項之立法精神 刑法第2 條 第 3 項規定，處罰或保安處分之裁判確定後， 未執行 或執行未完畢， 而法律有變更， 不處罰其行為或不施以保安處分者， 免其刑或保安處分之執行。」如法律變更， 仍處罰其行為但法定刑 減輕者， 得否有刑法第2 條第"
13,10,"年 民 國 聲請人"
14,8,"0011474"
