pdf_page,chars,preview
1,460,"抄臺灣臺北地方法院刑事第二十庭法官廖晉賦釋憲聲請書 壹 、 聲請解釋之目的 一 、 按憲法為國家最高規範， 法律牴觸憲法者無效， 法律與憲法有無 牴觸發疑義而須予以解釋時， 由司法院大法官掌理， 此觀憲法第 171條 、 第 173條 、 第 78條及第79條第 2 項有明文規定"
2,492,"各該事件或案件之訴訟或非訟程序之裁定停止在 内 ， 裁定停止訴 訟或非訟程序， 乃法官聲請釋憲必須遵循之程序。 又所謂「 先決 問題」係指審理原因案件之法院， 確信系爭法律違憲， 顯然於該 案件之裁判結果有影響者而言； 所謂「 提出客觀上形成確信法律 遠憲之具體理由」， 係指聲請"
3,600,"應否以罪刑相加， 各國情不同， 應由立法機關衡酌定之。 刑 法第二百三十九條對於通姦者、 相姦者處一年以下有期徒刑之規 定 ， 固對人民之性行為自由有所限制， 惟此為維護婚姻、家庭 制度及社會生活秩序所必要。 為免此項限制過嚴， 同法第二百四 十五條第一項規定通姦罪為告訴乃論， "
4,634,"立要件， 除了在「 行為態樣」方面應限縮至「 性器接合」， 而不 及於刑法第10條第5 項規定之「 以性器進入他人之肛門或使之 接合 （ 即肛交） 」 、 「 以性器進入他人之口腔或使之接合 （ 即口交） 」 或 「 以性器以外之身體部位 （ 口交、 肛交以外之身體交）或器物 進"
5,645,"通姦罪。 德國原先亦有通姦罪規定， 其規定：「 由於通姦而惹起 離婚者， 有罪責配偶之一方及其共同負責人， 處 6 月以下懲役。 其刑事訴追， 非經告訴不開始。」， 相較於我國僅以通姦行為 成立要件， 德國通姦罪尚以「 因通姦導致離婚」作為限縮要件， 然即便如此， 德國亦於196"
6,596,"「 婚姻及家庭制度之價值」 之權衡判斷中， 例如與保障個人私密 領域免於他人侵擾及個人資料之自主控制攸關之「 隱私權」 業經 司法院釋字第603號解釋認為： 「 維護人性尊嚴與尊重人格自由 發展， 乃自由民主憲政秩序之核心價值。 隱私權雖非憲法明文列 舉之權利， 惟基於人性尊嚴與"
7,598,"法第十二條保障之秘密通訊之自由、 憲法第十五條所保障之營業 秘密、 隱私權……等。 其中隱私權雖非憲法明文列舉之權利， 惟基於人性尊嚴與個人主體性之維護及人格發展之完整， 並為保 障個人生活秘密空間免於他人侵擾及個人資料之自主控制， 隱私 權乃為不可或缺之基本權利， 而受憲法第二"
8,593,"某時許， 在位於臺北市 〇〇區〇〇 珞 〇 號 之 「 〇 Motel - 〇 法保障人民基本權利之意旨。 貳 、 疑義性質與經過， 及涉及之憲法條文 一 、 本院受理107年度審易字第2901號妨害婚姻案件， 該案係臺灣 臺北地方檢察署檢察官以107年度偵字第17044號提起公"
9,587,"我國為重視個人基本權利保障之民主國家， 通姦罪存在不僅將導 致國家以刑罰權強加「 犯罪人之烙印」於通相姦人， 使其等永生 難以抹滅其等曾為犯罪人之記憶， 且參諸司法實務將通姦罪之成 罪限定為「 異性間之性器接合」， 導致通姦罪之成罪標準甚嚴， 此不無鼓勵私人以侵害隱私權深刻之方式"
10,626,"之依據， 配偶一方即非無救濟之途， 通姦罪即已無存在之必要。 綜上， 職本於自己之法律確信後， 認為本案判決所應適用之刑法 第239條規定， 確有牴觸憲法第7條、 第 22條及第23條之疑義， 是已於108年 1 月 10日裁定停止本案訴訟程序。 叁 、 聲請解釋憲法之理由及對本"
11,754,"htp : / w . r i sd . m o j, rov . tw / RJSDfEB / com iTion / WebListFile . ashx?list id = 13 htps : / tw . apledai ly . com / headline/dai l"
12,572,"s 張明偉， 前揭註4 ， 第62頁。 一般而言， 不當然導出可論處刑罰之結論4。 何 況 ， 刑法上與 民事契約較相關之刑法第339條之詐欺罪或刑法第342條之背 信罪之成立， 在背景事實上， 雖多以雙方當事人成立民事契約 為前提， 然並不非以違反民事契約為成罪之唯一要件， 主"
13,616,"之目的， 成立具有親密性及排他性之永久結合關係， 於此範圍 内 ， 與憲法第2 2 條保障人民婚姻自由及第7 條保障人民平 等權之意旨有違。 有關機關應於本解釋公布之日起2 年 内 ， 依本解釋意旨完成相關法律之修正或制定。 至於以何種形式達 成婚姻自由之平等保護， 屬立法形成之"
14,534,"為 ， 依照司法實務見解， 似無論處通姦罪之可能， 如此一來將 形成異性伴 侣 與同性伴 侣 間之不平等對待。 二 、 刑法第2 3 9 條規之處罰及蒐證程序將侵害憲法第22條之隱私 權及自主決定權 (一） 通姦行為亦屬自主權之行使， 自主之核心概念在於， 個人有權 定義自己存在"
15,670,"印於通相姦者身上， 而永生標記， 此種污名化人格一輩子之標 籤化作用， 有時難免影響該感情違犯者之人生。 是通姦罪之法 律如果只有充當象徵性之教育意義， 並給通姦者一個污名之恥 辱 ， 通姦罪之刑罰規定無疑地將欠缺法律上立足之理由6。 (三） 再者 ， 因我國司法實務曾對口交是否"
16,519,"是 ， 將來為夫妻一方為證明他方有通姦之事實， 當極盡所能採 取諸如裝設針孔攝影機、 竊聽器或破門而入之舉證方式證明他 方配偶有通姦行為， 如此一來形同鼓勵國人以重大侵害隱私權 之手段， 協助檢察官履行刑事訴訟法上之舉證義務。 爰此， 刑 法第239條規定實已違反憲法第22條隱私"
17,670,"ID 王皇玉， 刑法總則， 新學林， 2018年8月， 第29頁 9。 然論者認為通姦罪所要保護的婚姻美滿或配偶對婚姻之忠 誠性等法益， 原則上僅是一種「 道德上的訴求」， 法律無法要 求每一對配偶都應該努力經營婚姻， 也不應要求即使配偶個性 不合或婚姻暴力， 其中一方不得與他人"
18,605,"制 ， 用以彌補無辜配偶所受到之傷痛及損失 u 。 是雖有論者主 化 ， 更何況當配偶一方對他方提出通姦罪之刑事告訴， 通常雙 方感情已幾無感情基礎， 國家當無以刑罰強制挽回之必要性。 (三） 又倘就「 適當性原則」而論， 有文獻指出以刑罰手段達到刑法 通姦罪預防通姦、 維繫婚姻"
19,579,"1 S 謝如媛， 前揭往9 ， 第316頁。 張事實上有許多妻子處於經濟上弱勢， 通姦罪之規定可以對丈 夫有所警惕， 使處於弱勢地位之妻子有所保障， 然倘妻子之社 會地位及經濟地位薄弱， 恐怕也不敢提起通姦罪告訴， 從而為 保護處於弱勢地位之妻子， 最有效的方式理應係協助其在「 "
20,578,"M 許玉秀’「 夫妻間保證人地位一兼論通姦罪」， 台灣本土法學雜誌第39期 ， 資源的制度， 婚姻的公開宣示， 同時宣示婚姻當然享用性資源 的權限範圍， 性忠誠便是為了鞏固這種性資源使用權而生」 16， 是以倘已意識到傳統婚姻觀與性道德的社會意義僅在維護傳 統並穩定父權思惟下之性"
21,571,"度侵害 （ 性行為自由之過度限制）17。 何 況 ， 即便承認國家得 以婚姻制度限制與規範配偶一方與其他人發生性行為， 然該限 制亦應僅限於短期限制 （ 例如 100天冷卻期） ， 任何長期限制正 常人從事性行為的法律 （ 例如在離婚訴訟長期不能定瓛之情形 中 ， 以通姦罪處罰離"
22,605,"害 ， 可能僅是因配偶之變心感到憤怒或悲痛， 而找不到處罰之合理依 據 。又即便認為通姦罪之保護法益為「 婚姻及家庭制度」， 然因通姦 罪之處罰不僅無法挽回破綻百出之婚姻關係， 實際運用狀況， 只會惡 化婚姻， 甚至成為以刑逼民之工具， 且依人性以觀， 亦難排除通姦者 與相姦者因"
23,54,"此 致 司 法 院 聲請人： 臺灣臺北地方法院法官廖晉 中 華 民 國 108 年 1 月 17 日 23"
