pdf_page,chars,preview
1,579,"魏○安聲請書 茲依司法院大法官審理案件法第五條第一項第二款及 第八條第一項之規定，聲請解釋憲法，並將有關事項敘明如 下 ： 壹、聲請解釋憲法之目的 請求解釋最高行政法院八十九年度判字第三二三號 判決所適用之就業服務法第四十三條第五項之規定違憲，俾 便聲請人依據 大院釋字第一七號及"
2,563,"二、查系爭就業服務法第四十三條第五項之規 定，僅以國 籍為判斷準據，對於依據勞工保險條例參加勞工保 險，依法繳交勞保費，並依法繳納所得稅等稅捐，與 中華民國民履行相同義務之外國人，竟於保險事故 發生時限制其請領保險給付之權利，此顯係無正當理 由而為差別待遇，並對於聲請人憲法第七條"
3,597,"授權之內容及範圍應具體明確，然後據以發布命 令，始符合憲法第二十三條以法律限制人民權利 之意旨…… 。 」 （聲證一號） 顯見 大院認為 ： 一 、 外國法人亦為憲法基本權利保障之主體；二、外 國法人之財產權受 貴國憲法保障；三、外國法 人之財產權與本國人之財產權同受憲法保障，法"
4,576,"觀諸是號解釋， 大院大法官顯然認為「解 散中之法人」其財產權亦受憲法之保障，亦即肯 認「人格消滅中」之法人亦為憲法上權利保障之 主體；準此，舉輕以明重，人格消滅中之法人尚 且受憲法上基本權利之保障，又豈有僅因國籍因 素即將外籍之「自然人」排除於基本權利保障主 體之外之理？ ( 二"
5,623,"章 「人民之權利義務」 之首條 ， 次年三月一日 ， 國 民政府立法院正式發表之憲法草案初稿第七條， 以及民國二十三年七月九日立法院發表之憲法草 案初稿審查修正案第八條，均仍續採用之（聲證 五號） ，民國二十三年之審查修正稿第三條，則開 始使用 「國民」 之定義 ， 當時列為第八"
6,590,"亦無從適用於聲請人等外籍人士。 ( 三 ) 從憲法文義解釋以觀 實則，憲法第七條 「中華民國人民，無分男女、 宗教 、 種族 、 階級 、 黨派一律平等」 之規定 ， 有無 「非 國民即不受平等權保障」之意旨，為本案應予正面 解釋之問題。憲法第七條所稱 「中華民國人民」 者， 純"
7,562,"憲法第五條之 「中華民國」 既做 「中華民國境內」 解，憲法第七條之「中華民國」 ，基於體系而言， 當亦得做相同之解釋。如此關於外國人權利限制 之事項，立法者仍得循憲法第二十三條規定意旨 以適當之立法為之，自屬妥當。亦即憲法第七條 及第五條均指在中華民國管轄範圍所及，各民族 一律"
8,570,"之重心， 貴國學者劉慶瑞氏即已主張： 「在國際 法上，國家有保護外僑生命與財產的義務，而現 代國家，又常用國際條約承認外僑得享受與本國民相同的自由權與經濟權，在這範圍之內，外 國 人 之 得 享 受 與 本 國 人 平 等 的 權 利 ， 自 不 待 言……且在國內法上，亦有不少"
9,606,"民』 之生存權、工作權及財產權，應予保障」 ，是 純從文義進行觀察，憲法第十五條生存權、工作 權及財產權之保障範圍亦顯不以 「中華民國人民」 為限，從而外國人民之財產權自亦應屬憲法所保 障之範圍，而非立法者得恣意予以剝奪，如林紀 東氏即認為外國人至少亦應享有憲法第十五條對 財產權"
10,568,"階級、黨派一律平等之規定」 ，由其中「男女、種 族 、 階級」 之規範可知 ， 制憲者有意禁止國家基於 任何人與生俱來、自己所無法控制之因素而予以 差別待遇 。詳言之 ，性別 、 種族 、 階級皆係任何個 人與生俱來、自我所無法控制之事項，倘國家基 於此等因素而對於人民為 所許。"
11,575,"貴國憲法下則不被視為 「人」 ，此與美國法制史上 曾將黑奴排斥於「人」外，而不予憲法保障之謬 誤，了無不同（詳後） 。 4. 退步言之，縱認為法律有時仍需以「國籍」為標 準，而區分內國與外國人民基本權利之保障，亦 應本於合理差別待遇原則，就各別權利加以檢討 內 、 外國人之保障範"
12,564,"民基本權利保障之態度，而予以同等之保障；進 而，則賦予外國人民 「國民待遇」 ，亦即外國人民 所享有之 權利與本國民原則上相同；再者，則 係 「最惠國待遇」 ， 亦即國家對於外國人民基本權 利之保障，不低於任何第三國公民所得享有之權 利 （聲證十七號） ， 貴國於探討外國人民基本"
13,582,"並作成建議： 『 （二）以促進經濟、社會、文化、 教育及衛生各部門之國際合作，且不分種族、性 別、語言 或宗教，促成全體人類之人權及基本自 由之實現』 （第十三條第一款第二目） 」 ， 「為造成 國際間以尊重人民平等權利及自決原則為根據之 和平友好關係所必要之安定及福利條件起見，"
14,590,"而對 「普世人權」 訂有以下之規範： 「人皆得享 受本宣言所載之一切權利與自由 籍……或他種身分 （第二條第一項） 」 、 「人於任 何所在有被承認為法律上主體之權利 （第六條） 」 、 「人在法律上悉屬平等，且應一體享受法律之 平等保護。人有權享受平等保護，以防止違反 本宣言之"
15,580,"退而言之，參酌前揭 貴國憲法第一百四十 一條 ： 「中華民國之外交 ， 應本……平等互惠之原 則……，促進國際合作，提倡國際正義」等語， 當可知 貴國至少亦基於「互惠原則」而承認對 於外國人民基本權利之保障；而參酌德國憲法之 規定，其亦係依基本權利之性質而賦予外國人民 不同程度之"
16,586,"納稅、服兵役 等義務為給予人權保障之前提」的錯 誤，為缺陷之二；適格否定論難以解釋參政權是否 為基本人權之必要項目的問題，為缺陷之三；適格 否定論易陷入 「主權重於人權」 、 錯置憲法基本目的誤謬 ， 為缺陷之四 ， 以下分述之 （聲證二十一號） ： 1. 國籍為出生即決定之事項"
17,556,"種之需要 ， 許其進入聯邦的大家庭？」 （聲證二十 三號） 前揭荒謬的判決直到美國一八六五年修憲增 訂憲法增修條文第十三條禁止奴隸制度、一八六 八年修憲增訂憲法增修條文第十四條、第十五條 確保黑人亦得平等享受基本人權 、 並享有投票權 ， 才終於在制度上矯正了 Scot 人非憲法"
18,563,"之（聲證二十四號） ： (1) 外國人民未盡國民義務 ， 故不應受憲法基本權 利保障之迷思 此說之理論缺陷在於各國民義務本非全 體國民之義務 ， 故以外國人民未盡國民義務否 定外國人民基本權利之保障即有未恰。簡言 之 ， 納稅與服兵役原本均非所有國民均應負擔 之義務 ， 就不須付"
19,561,"豈可輕忽？ (2) 效忠關係無法作為排除外國人民受基本權利 保障之基準 國民對於國家具有效忠關係 ， 原是 「國籍」 觀念裡的一種假設 ， 但也往成為區別本國人 與外 國人之一種根據 ， 然而在現實的憲政生活 中 ， 並沒有任何具體 、 常設的機制檢驗效忠關 係果然存在於每一個國"
20,570,"本國人將有可能被排除於基本權利之保障 ， 對 於效忠於 貴國之外國人民又如何解釋不予 保護？ (3) 內國人對於國內經濟資源之優先分配與分享 或得作為差別待遇之理由 ， 但非謂得以全面排 除外國人民基本權利主體之適格性 ， 且此一思 考實牴觸人性尊嚴之思想適格否定論的一種 不言可"
21,539,"或 「同胞」 而已？經濟資源與人性需求，究竟 誰主誰從？（聲證二十八號） 進而言之 ， 本案中所涉及者非僅受益權之 爭議 ， 而係平等權之原 則 。 姑不論聲請人等外 籍人士有無權利主張分享 、 分配吾國之經濟資 源 ， 然系爭就業服務法卻反更是進而剝削聲請 人等外籍人士所享有之"
