pdf_page,chars,preview
1,111,"解釋憲法聲請書 聲 請 人 ： 黃克正 韓行作 安希平 殷洪希 鄭'洪 徐忠國 王蘭康 王蓓 王薇 薛亞姍 涂春根 張凱溱 卓 群 卓 筠 鍾寶龍 鍾寶霖 鍾寶霓 譚自明 張陳杏 鄭玉華 江 鶩 第 1頁， 共 27頁"
2,428,"朱順德 _ , 代 理 人 ： 林石猛律師 張宗琦律師 蔡坤展律師 一 為聲請人受最高行政法院100年度判字第198號判決、 第295 號判決， 適用國軍老舊眷村改建條例第22條 第 1項規定， 不法侵害聲請人財產權， 依法提出聲請事： 壹 、 聲請釋憲之目的 請鈞院大法官解釋民"
3,588,"使聲請人得據以提起再審。 貳 、 疑義之性質與經過， 及所涉及之蕙法條文 一 、 聲請人黃克正等21人屬位於高雄市左營區崇實新村之原 眷戶或其繼承人； 聲請人朱順德為同區合群新村之原眷 戶 。因國防部轄下所屬總政治作戰局， 規劃將含聲請人 所在之崇實新村、 合群新村等十個眷村納入"
4,512,"改建之同意書與認證書， 經國防部所屬單位依照眷改條 例第22條之規定， 以96年12月6日昌易字第09600238612 號函註銷眷舍居住憑證及原眷戶權益。聲請人不服， 提 起行政救濟。 惟歷經訴願決定及行政訴訟（ 台北高等行 政法院97年度訴字第2051號判決、 最高行政法院1"
5,617,"一 、 確定判決所適用之眷改條例第2 2 條 第 1 項規定， 明顯 牴觸憲法平等原則及比例原則 (一 ） 憲法第7條平等原則之意義 按憲法第7條平等原則， 其意旨在要求等者等之、 不等者 不等之； 對不同之待遇， 必須斟酌規範事務性質之差異， 提 出合理區別待遇理由， 始無悖於"
6,624,"號 、 593號 、 62&號解釋亦著有明文。 如上開司法院釋字第 626號解釋， 大法官即認中央警察大學招生所以對色盲者設 限 制 ， 係 在 ： 「 求教育資源之有效運用， 藉以提升警政之素 質 ， 促進法治國家之發展， 其欲達成之目的洵屬重要公共利 益 ； 因警察工作之範圍"
7,639,"景觀。 雖然如是， 由於台灣的政治、 社會與經濟環境， 在解 嚴後之十數年間急速變化， 在國防部提案下， 由立法院制定 通 過 ， 總統於民國85年 2 月 5 日公布之眷改條例， 在該條 例 第 1條中即強調其進行老舊眷村之改建， 係為「 提高土地 使用經濟效益， 興建住宅照顧"
8,664,"條參照 ） 等 。 兩者眷戶權利天壤之別， 然其採行差別待遇之 原 因 ， 僅在於「 是否有辦理改建認證」而已。申言之， 眷改 條例第22條 第 1 項規定不區別眷戶「 未同意改建」之原因 ， 尤 其 「 完全不同意改建， 希望繼續居住原址即崇實新村」 、 「 同意改建但不同意認"
9,652,"規定辦理'。」之規定， 眷村改建即無法進行。 足見眷改條例 之立法意旨，自始即以尊重眷村文化為原則， 由原眷戶自我 評 估 、 利益衡量是否同意改建。 如眷村認證（ 投票 ） 結果為 維持原狀、 不進行改建， 亦為之所許， 並為法律所保障； 換 言 之 ， 法律係尊重原眷戶之意願"
10,652,"後矛盾。 眷改條例復予有辦理改建認證之原眷戶諸多權益照 顧 ， 不區分與未辦理改建認證眷戶之關係， 亦不區分「 與一 般國民間之平等關係， 就福利資源為妥善之分配， 並應斟酌 受益人之財力、 收入、 家計負擔及須照顧之必要性為妥善之 分配」 ， 未 採 「 關於給付方式及額度之規"
