pdf_page,chars,preview
1,964,"釋字第七０九號解釋協同意見書 大法官 李震山 在錯綜複雜的都市更新事務且涉及重要公私利益糾葛情況 下，本件解釋選擇憲法「正當法律程序」原則作為規範審查的主 1 謹另提幾點補充意見藉供參考。 壹、都市更新條例之立法目的具濃厚開發與公益取向，易過度制 約其他價值而欠缺包容，為都 市更"
2,1079,"稱本條例），於第一條第一項所揭櫫之立法目的：「促進都市土地 有計畫之再開發利用，復甦都市機能，改善居住環境，增進公共 利益」，其除呈現濃厚公益優先取向，且為開發主義者預留甚為寬 廣的政策詮釋空間外，在經濟掛帥汲創造市場產值意欲的推波 助瀾下，都市更新事件中應尊重自我決定、人性關懷"
3,725,"使執法陷入空轉或民粹化之結果，卻腐蝕不易建立之實質法治國 的裏子。尤有進者，都市更新中若涉及重建之重大爭議時，該現 象就更為明顯。此時，採以對話取代對立，且對個人社會依存關 4 貳、本條例允由私人參與都市更新任務，於該「公私協力」之行 政中，形成國家、願意參與都 市更新者及不願參"
4,1193,"作為都市更新中政府強力介入私人財產權、居住自由之支配性理 念，極易於資訊欠缺公開透明、關係人缺乏理性參與管道之下， 5 形成威權式藍圖規畫； 伴隨而至的是強制徵收補償、大規模夷平 式的拆屋而摧毀舊城市、未有妥適安置計劃而剷除底層生存空間 後的流離失所，以致斲喪都市有機成長的多元風"
5,1247,"一、「公私協力」下都市更新的三面權益關係，有失衡之虞 本條例一方面容許私有土地及 私有合法建物所有權人在一定 條件下得自組更新會，另一方面亦同意得由其他私人更新機構作 為都市更新實施者，其除尊重人民於私領域自治、契約自由精神 並有助於營造社區意識外，亦可適度舒解國家財政、人力資源"
6,1739,"10 的「胡蘿蔔」誘因，同時並未放鬆手握的監督、管制、干預、執 行等「棒子」，此已成為創造市場產值為優先考量的實施者，甚至 財團競逐龐大商業利潤的沃壤。該等實施者能在都市政策與法規 一項建築容積獎勵辦法，由中央主管機關定之。（第 3 項）」 9 本條例第 46 條規定：「更新地區"
7,803,"益機制更加失衡。該等實施者，在自由市場經濟的資本輪盤上， 無法抗拒經濟利益掛帥的籌碼，自難顧及多元社會應有的人文關 1 懷理念， 遑論對基本權利之均衡保護，使對立衝突轉為對話而和 諧共生的都市更新可能性，益形渺茫。 二、贊成與反對自有土地或建物被劃入都市更新單元者，各涉基 本權利"
8,1202,"法建物被劃入更新單元者 ， 其至少有如下的權益受到限制 ： 首先， 事業概要一經核准，關係人就必須捲入後續都市更新程序，因違 反個人意願而必須成為行政程序當事人者，其自我決定的行為自 12 在無適當且具體替代方案或安置措施下，得拆 13 除住屋而被迫遷移； 不履行本條例規定之義務"
9,1045,"15 更新而成為無家可歸者的生存尊嚴等 「社會面向」 的權益； 前曾 述及行為自由而屬「人格面向」的權益。最關鍵的是，作為本件 16 解釋重心且逐漸主觀化與原則化的 「程序面向」 權益， 其已同時 涵括個人權利與集體權利。由上可知，基本權利保障並非冰冷的 教條，而有其多元的人性關"
10,978,"至從基本權利客觀功能以觀，在課予國家給付義務時，尚須考量 國家財政及整體資源之分配。不論如何，願意參與都市更新的所 有權人仍可依具有國內法效力之經濟社會文化權利國際公約第十 17 主張其權益，殆無疑義。 前述經內國化之國際人權公約 ，若其規定中，有與我國憲法 明文列舉或經憲法解釋"
11,709,"三、本件解釋以正當法律程序原則作為調節機制，堪稱運用理性 違憲審查工具 「公私協力」的行政模式，固 不失為中庸且合乎潮流的立法 選項，但若無公正、公開與民主的程序法制配套作為調節機制， 難收允執厥中之效 。 就再以本條例第十條為例 ， 該規定未分重建、 整建或修護，在通過都市更新"
12,1138,"並觸及國家保護基本權利不得低於必要標準之所謂 「不足之禁止」 18 (Untermasverbot) 原則， 從而指出：「同意比例太低之規定，尚 難與尊重多數、擴大參與之民主精神相符，顯未盡國家保護人民 19 財產權與居住自由之憲法上義務，即不符都市更新正當行政程序 若再忽略程序"
13,364,"觀外，更遑論有餘裕能「為最不利的人帶來最大的利益」的理想 而努力。主管機關在此種法制格局下，若仍只標榜「依法行政」 而僵化任事，毋寧更凸顯相關規定的粗糙與短視面向；若消極的 不作為，而任令價值對立的各方陷入好惡兩極分明的拉鋸中，亦 非負責任政府應有的態度。若因而失去人民信賴，形成"
