pdf_page,chars,preview
1,676,"亟 蕪 ︴ 憲法訴訟言詞辯論 意 旨書 功 號 l09年 度 憲二字第 (主 案 l09年 度 憲二字第 333號 ) 案 326號 聲 請 人 傳 新生等 均詳卷 訴訟代理人 林 家慶律師 慶鴻法律事務所 陳思愷律 師 (其 餘訴代詳如附表 ) 為上 聲請法規範 憲法審 查暨裁"
2,830,"2 撤銷假釋執行殘餘刑期者， 無期徒刑於執行滿二十年， 有期徒刑於全 3 部執行完畢後， 再接續執行他刑， 第一項有關合併計算執行期間之規 4 定不適用之 D 」 。 5 二 、 8 6年 11月26日修正公布之刑法施行法第7條之1 第2 項 ： 「 因撤銷假 6 釋執行殘餘刑期"
3,813,"2 三 、 憲法第22條 ： 「 凡人民之其他自由及權利， 不妨害社會秩序公共利益 3 者 ， 均受憲法之保障。」 4 四 、 憲法第23條 ： 「 以上各條列舉之自由權利， 除為防止妨礙他人自由、 5 避免緊急危難、 維持社會秩序， 或增進公共利益所必要者外， 不得以 6 法律"
4,934,"2 (二 ) 依前揭司法院大法官釋字第6 8 1號解釋之意旨而言， 全然肯認假釋 3 (權） 是一憲法上所保障之權利， 除涉及憲法第 8 條之人身自由限制 4 外 ， 對於其餘因復歸社會所得享有之各種權益亦生重大影響。 雖我 5 國學者關於假釋權是否為人民蕙法第 8 條之基本權利"
5,1007,"3 徒刑之執行， 以促使受刑人積極復歸社會。 在前述肯認假釋權係屬 4 憲法第 8 條人身自由抑或憲法第22條概括基本權之前提下， 假釋制 5 度不應再是特別權力關係下的「 恩賜 」( privilegeX 釋 字 第 691 號 6 解釋湯德宗大法官提出、 李震山大法官加入之協"
6,952,"3 重侵害聲請人於憲法所保障之人身自由權， 且如此嚴苛之手段， 亦 4 難謂合乎憲法第23條之比例原則， 此亦有釋字第796號解釋黃虹霞 5 大法官不同意見書中指出： 「 本件原聲請意旨係以過苛違反比例原則 7 之假釋撤銷。 但所謂過苛與其說是假釋撤銷條件過苛， 毋寧為 考 量 "
7,836,"3 而侵害較小之手段可資運用， 雖得以刑罰規範限制人民身體之自由， 4 惟刑罰對人身自由之限制與其所欲維護之法益， 仍須合乎比例之關 5 係 ， 尤其法定刑度之高低應與行為所生之危害、 行為人責任之輕重相 7 9 10 (一） 本案之「 差別待遇」與 「 區別標準」 ： 1 我國"
8,856,"3 (三） 系爭規定「 规 範目的」 ： 4 參酌我國刑法第79條之1 第 5頊絛訂時， 立法院公報第八十六 5 卷第四十八期院會紀錄中之說明可知， 系爭條項之增訂目的乃為避 7 案件之刑期合併計算其執行期間， 將使殘刑部分不能完全執行， 反 9 徒刑者尚堪稱合目的性， 惟對於受"
9,973,"5 銷假釋時， 須一律「 執刑滿25年（ 或 20年） 」後再接續執行他刑， 7 刑執行併受假釋出獄， 理應具有刑罰反應力， 而能更遵守法律， 不 10 聲請假釋) 。 然此種復為無期徒刑25年（ 或 20年） 之理由， 並非著眼 1 於所遑犯後罪行為本身之不法輿罪貴程度， 而係"
10,887,"3 其入監執行前罪之殘刑， 以達到預防犯罪之效果。 故依本號解釋， 4 檢察官及法官對於受假釋者再犯罪而受6 月以下有期徒刑或緩刑 5 之宣告時， 是否撤銷假釋， 具有裁量之空間。 本席認為檢察官及法 7 的生活是否已違背假釋之初衷、 其更生計晝之執行是否可認為已經 9 修法以擴"
11,970,"3 止不法行為之不得已手段， 對於不法行為之遏止， 如以較輕之處罰 4 手段即可達成效果， 則國家即無須動用較為嚴厲之處罰手段， 此為 5 憲法第二十三條規定之本旨。易科罰金制度將原屬自由刑之刑期， 7 流 弊 ， 並藉以 缓 和自由刑之嚴厲性。 刑法第五十一條第五款數罪併 9 "
12,891,"3 95年 7 月 1 日施行之刑法第79條之1 第5項就原據以判處無期徒刑之 4 法律如於判決後經廢止（ 如懲治盜匪條例） 或經修正（ 如 10 8 年 5 月 29 5 曰修正公布前之刑法第272條） 未就應執行殘餘之 规 定為特別 考 量， 是 7 一 、 我國新舊刑法第7"
13,958,"3 止之同時， 為求刑罰均衡， 而用以取代之修正後現行刑法關於強盜 4 罪之法定刑， 二者輕重懸殊之情形即明。 盜匪條例施行五十餘年後 5 於 91年間廢止，自其立法迄今已逾半世紀， 歷經社會變遷， 尤其近 7 主化 ， 人權意識也隨之高漲， 在政府與民間共同努力下， 於各事務 "
14,932,"2 重於治安 考 量之特殊情勢使然， 與解嚴後之現在講究人權法治之社 3 會償值觀， 南轅北轍， 自非合理而顯失公平。 上開執行殘刑之規定， 4 未顧及舊法盜匪條例中之嚴刑峻罰， 於時移勢轉後已造成明顯失當 5 之不公平狀態， 若予以適度調整， 在社會通念上非但係可以認知， 9 "
15,932,"2 形成空間， 惟仍應注意人民對於舊法有無值得保護之信賴及是否符 3 合比例原則。」 。 4 (二） 以本案聲請人傅新生為例， 其前因違反肅清煙毒條例案件於 8 3年判 5 處無期徒刑確定時， 我國刑法尚未增訂第79條之1 第5 項之 规 定， 6 依舊法( 8 6年 11月 2"
16,996,"2 區分撤銷假釋原因事實之時點作為法律適用上切割之依據。 是本案 3 聲請人於原無期徒刑執行及申請假釋時所信賴並應享有者自非現行 4 我國刑法上之規定， 而應係舊法時代之假釋制度， 又該假釋（ 包括假 5 釋經撤銷後如何執行殘刑及再度申請假釋） 之信賴利益， 係涉蕙法第 6 8 "
17,914,"2 後再接續他刑， 然細繹該規定關於執行滿25年刑期實仍係源於聲請 3 人所犯前罪而生之無期徒刑， 且聲請人重歸獄中既係執行前罪所生 4 之無期徒刑， 則何以須設置執行滿25 年後再接績他刑之門檻（ 蓋無 5 期徒刑本身即無如有期徒刑般有限定之刑期， 當無有所謂「 殘餘刑 6 期"
18,914,"2 基於法治國的理念， 主要是為了維護法秩序的安定並保護人民的信 3 賴 。 國家既不能期待人民現在的行為合乎未來法令的要求， 便不能 4 要求新的法律規 定適用 k 之前已經發生的事件 （ 諳參見 釋字第 71 4 號 5 解釋蘇永欽大法官協同意見書 ) 〇 次按刑罰法規涉及人"
19,799,"2 念及所欲維護之法秩序安定， 更係嚴重背離。 3 (西） 復以比較法之觀點， 德國學理上將不溯及既往原則分成三個等級， 4 其申第一個等級， 也就是無法推翻的， 乃刑法上罪刑法定原則所衍 5 生的 「 絕對不溯既往原則」(請參見釋字第57 4 號解釋許玉秀大法官 6 部分協同意"
20,128,"林羣期律 I 中律師 S 陳 I i I 律案 ! 師遂 rni 中 華 民 國 具狀人 傅新生等 撰狀人 林家慶律師 翁國彥律師 陳才加律師 周宇修律師 _ 寨 m 20 1 2 年 1 2 月 曰 東思愷律師 黃 郭皓仁律師 石志堅律師 陳偉仁律師"
21,1327,"附表： _________________( 聲請裁判違憲審查之確 聲請人 確定終局裁判所涉法規範（ 系爭規定） 定終局裁判 傅新生 最 高 法 院 10 8 年度台抗 * 9 4 年 1月7 曰修正、 9 4 年 2 月2 曰 林家慶律師 109年度憲二 字第7 S 號刑事裁定"
