pdf_page,chars,preview
1,914,"釋字第七三九號解釋 部分協同意見書 湯德宗大法官 提出 黃虹霞大法官 加入 蔡明誠大法官 加入 林俊益大法官 加入 緣臺中市政府於中華民國九十五年十一月十三日 1 及同 年月十五日 2 核准臺中市整體開發地區內之土地所有權人李 錦佃等七人發起成立之鑫新平自辦市地重劃區籌備會（下稱"
2,742,"判決（最高行政法院一００年度判字第一七九０號判決）所 適用之平均地權條例第五十八條第三項、獎勵重劃辦法第八 條及第二十條等規定，有違憲疑義，聲請本院解釋。另，臺 灣桃園地方法院民事庭為審理該院一０三年度訴字第二一 八四號撤銷會員大會決議事件，認應適用之平均地權條例第 五十八條第三"
3,792,"率 ， 亦未規定發起人 於擬辦 重劃 範圍 內 所有 土地面積之總和 占 擬辦重劃範圍內土地總面積之比率 ， 難謂實質正當，不符 憲法要求之正當行政程序 （解釋理由書第四段參見，釋字第 七０九號解釋理由書第六段對照）。 2 ）獎勵重劃辦法第九條第三款（籌備會 主管機關 核定 擬辦"
4,853,"書第六段參見，釋字第七０九號解釋理由書第五段及第 七段對照）。 4 ）平均地權條例第五十八條第三項 10 關於申請核准實施 市地重劃之「同意比率」規定，如非太低而違反憲法要求之 正當行政程序，當屬立法形成之自由（本院釋字第七０九號 解釋參見）。其縱未如都市更新條例第二十二條第一項"
5,995,"「同意比率」 過低 ， 不符 「 憲法要求之正當行政程序 」 一節 ， 乃 誤將 「 實質正當」 與 「程序正當」 混為一談 ，致誤以「嚴 格審查基準」（ strict scrutiny ）為審查，而指摘該項規定「 顯 未盡國家保護 人民財產權與居住自由之憲法上 義務 ， 即不符"
6,1054,"性問題，實務上係採「利益衡量標準」 （ a balancing test ），即 13 法院應綜合權衡個案相關因素以為判斷； 至於某法規之內 容是否合理（ 「實質正當」 ），則涉及立法與司法（違憲審查） 兩權之劃分，為避免 「法官治國」 (judiciary government"
7,640,"土地面積之總和占擬辦重劃範圍內土地 總面積之比率 」時， 特別指明其乃「有違 實質正當 」， 而「 不符憲法要求之正當 行政程序 」；又，其指摘之重點在於該項規定「 定 」 同意比例 ， 而非所定 同意比例「 過低 」。釋字第七０九 號解釋理由書第六段之論理缺失爰於斯改正。 解釋"
8,684,"市地重劃辦法」，於第二十條規定自辦市地重劃應經全體（含 公有及私有）土地所有權人之同意。惟因門檻過高，推動不 易，並為促進土地利用、加速公共建設，乃於民國七十五年 修正同條第二 項增訂： 「重劃會辦理市地重劃時，應由重劃 區內 私有 土地所有權人半數以上，而其所有土地面積超過重 "
9,1135,"由各級主管機關發動辦理市地重劃（公辦市地重劃，第五十 六條參見 ）者外，並規定得由土地所有權人自行組織重劃 會，申請主管機關核准辦理之（第五十七條及第五十八條參 見）。 市地重劃對於人民財產權與居住自由之影響，較之都市 更新，可謂有過之而無不及。然兩相對照，市地重劃法治化 的程度"
10,874,"業者 或特殊利益團體之 代言人，而 出現 所謂 「管制俘虜」 17 （ regulatory capture ） 現象，相關法制亟需更新補強。 各種 管制 先 應 該 慎始 非經「成本 - 效益分析」 (cost -benefit analysis) ，確認管制之預期效益高於管制"
