pdf_page,chars,preview
1,765,"ORIGINAL 釋憲聲請書 裁定後強制執行 。 j (下稱系爭規定 ） 1。 然 而 ， 此項規定牴觸憲法第十 例 原 則 ， 並牴觸憲法第十 i 條保障人民財產權之意旨。 正 ， + 、 聲 請 人 ： 張 珍 代 理 人 ： 駱怡雯律師 為提出解釋憲法聲請事： 壹 、聲請解"
2,815,"改建眷戶的居住憑證與權益。 然而此項註銷權限發動之構成要件 僅 為 「 原眷戶不同意改建」以 及 「 其他同意眷村改建之人數超過 法定比例」， 對不同意改建眷戶個別權益情狀的差異， 卻完全未 予考量。 此等粗略規範亦導致主管機關實務上對所有不同意改建 之眷戶， 一律註銷其居住憑證"
3,871,"於最高行政法院九十九年度判字第二四二號判決中， 該院認定自治 新村眷村改建計晝已通過系爭規定之改建門檻， 且聲請人(1 ) 至聲請人 (6 ) 確未同意改建計畫， 故國防部依該條規定註銷上訴人之原眷戶權益 及 身 分 ，自屬於法有據。 另外， 該院亦認定國防部適用系爭規定未違反 "
4,1002,"作業注意事項 J 6 作為處理軍眷業務之作業規定及書表格式的依據。 該 審查 ） 時 ， 僅需進行下述兩層次之檢驗： 憲法財產權之保護範圍是否及 於聲請人遭註銷之眷舍居住憑證及原眷戶權益， 如本項命題之結論為 是 ， 則需進一步檢討， 系爭規定剝奪聲請人此部分財產權是否合乎比例 "
5,902,"2. 系爭規定 t 「 原眷戶權益」 係指原眷戶享有依據眷改條例第 助費具有替代關係。 另外， 配住眷舍之權益亦得經軍眷業務權責機關核 定後交換或轉讓（ 第陸之二點 ） ， 實務上將配住眷舍的權益轉讓予未獲 得配住者時， 多約定有對價， 此項對價亦足以證明眷舍居住權具有財產 價 "
6,1307,"a . 憲 法 學 理 舆 比 較 法 觀 點 聯邦憲法院將社會性給付是否以權利人「自己的給付 （ eigene Leistungen ) 」為基礎做標準， 來劃定憲法財產權在此脈絡下的保護範 道地 」（ nicht unerheblich ) 以請求權人自己的給付為基礎， 並以"
7,1388,"法院法官 W . Rup - v . Brineck 在 1971年提出的不同意見書， 認為重 b .司法院大法官解釋採取之標準 業執照或建築許可， 由於與私法性財產權的緊密關係， 學理上多認為屬 於憲法財產權之保護範圍 内 12， 但如果採取前述聯邦憲法院之劃分標 準 ， 此類"
8,1230,"其以眷舍居住憑證作為表徵， 以及基於原眷戶的身分、 依據眷改條例得 享有的財產性給付請求權（ 承購住宅、 領取輔助購宅款 ） ， 二者均為公 法性財產權益， 已如前述。 是 以 ， 在大法官解釋中整理公法性財產給付 請求權受憲法保障之範圍時， 應先排除以人民私法上財產權為基礎的公"
9,993,"員聘用條例」以契約聘用之專業或技術人員， 不適用公務人員俸給法、 退休法、 撫卹 法 ， 亦不得主張公務人員俸給銓敘之權利（ 該條例第六條 參照 ） 。 因此大法官認為， 公務人員俸給法施行細則將公務人員未具任 用資格前、 依前開條例受聘用之年資， 於依法任用為公務人員後酌予核 "
10,1220,"C .小結 類 型 。大法官以類似民事消費寄託關係1 8 下的返還請求權解釋公保的養 老給付請求權， 以此論斷其受憲法財產權保障， .則本案的推論能否成為 公法性財產給付在憲法上保障範圍的一般性判斷標準，即不無疑問19 2 0 。 — 最後在釋字第五七一號解釋， 大法官認定九二一"
11,906,"人員退休法自八十一年修正後， 公務人員退休撫卹之經費從完全由國家 負擔之「 恩給制」， 改由公務人員與政府共同撥繳費用建立之「 公務人 員退休撫卹基金」負擔21。 但是此項財政結構的轉變對大法官審查退休 金或相關請求權是否屬於憲法財產權之保護範圍並無影響， 亦未引入解 釋論理的構"
12,925,"(釋字第五四號解釋參照 ） 。 比例原則的功能在於檢驗限制人民權利 手段的合憲性， 同時透過此項檢驗提供限制手段的正當性基礎。 具體而 言 ， 比例原則檢驗分為四個步驟， 首先須先確定限制權利係基於合憲目 的而為（「目的正當性」 ） 。 其 次 ， 必須確認限制人民權利之公權力手"
13,919,"住宅的權利， 乃是其基於原眷戶身分所擁有的權利， 與原眷戶是否同意 改建計畫並無關聯， 亦與眷村改建工程的進行無涉， 自然不需要一併註 銷 ， 因此系爭規定顯然已經超越實現眷改計畫之必要程度。 此外， 眷改 條例並未要求主管機關必須改建所有的老舊眷村， 此由眷村改建以一定 時間 "
14,1014,"( Sonderopfer ) 的概念。 該案涉及經都市計畫劃為公共設施保留地之土 在本案檢討系爭規定是否牴觸狹義比例原則， 亦應從上述兩方面進 行審查。 若在前一步驟認為註銷權益屬於對原眷戶權利侵害最小的必要 性手段， 則眷村改建的公益目的與原眷戶因不同意改建被註銷之權益進 行"
15,1024,"及維護尊嚴。 惟個人行使財產權仍應依法受社會責任及環境生態責任之 限制， 其因此類責任使財產之利用有所限制， 而形成個人利益之特別犧 牲 ， 社會公眾並因而受益者， 應享有相當補償之權利。 至國家因興辦公 共事業或因實施國家經濟政策， 雖得依法律規定徵收私有土地（ 參照土 地法第"
16,986,"原 眷 戶 的 「 特別犧牲」，國家應對此等眷戶給付合理適當之補償， 始符 合憲法保障人民財產權之意旨。 然而， 不僅眷改條例自立法以來至今從 未有提供補償之設計， 主管機關對不同意改建之眷戶亦不曾提供任何補 償性措施，因此系爭規定牴觸憲法之情事，自屬明顯。 於此尚應附帶指出的是"
17,1104,"其除了反對改建， 再無其 / to 選 擇 。 再如少數眷戶原則上不同意改建計 此 項 「 法律地位實質平等」之 要 求 ， 在系爭規定中完全未獲遵守。 系爭規定雖然授權主管機關行使「 決定裁量」， 以決定是否註銷不同意 改建眷戶的居住憑證與權益。然而此項註銷權限發動之構成要件僅"
18,588,"侵害不同意眷村改建之原眷戶受憲法保障之財產權， 已牴觸憲法第十五 條與第二十三條 。 又 不同意改建者之眷舍居住憑證與相關權益被主管機 關註銷， 屬於為實現公益目的而特別犧牲其財產上之利益， 國家應給予 合理之補償， 系爭規定及眷改條例均未就此有所規範， 亦違反憲法保障 人民財產"
19,1004,"最高行政法院-行政 -99 判 9 86 1 of 1 最高行政法院裁判書- 行政類 【 裁判字號】 9 , 判， 9 8 6 【 裁判日期】 9 0 9 30 【 裁判案由】眷舍 【 裁判全文】 最高行政法院判決 99年度判字第986號 上訴人張珍 訴訟代理人林敏澤律師’ 林綉"
20,1423,"最高行政法院-行政 -99 判 9 86 2 of 1 月 艮 ， 提起訴願。 旋陳漢三於95年 L 2月,25日死亡， 由上訴人聲 明承受其訴願， 嗣遭決定駁回， 遂提起本件行政訴訟。 二 、 上訴人起訴主張： （ 一 ) 依眷改條例第6條之意旨， 應係以運用 被上訴人相關機關"
21,1426,"最高行政法院-行政 -99 判 9 86 3 of 1 後強制執行。 （ 二 ) 系爭眷村改建計畫係依據眷改條例、 眷改條 例施行細則、 國軍老舊眷村改建融資計畫之規定辦理， 上訴 人稱本案與眷改條例無涉， 於法無據 。（ 三 ) 由說明書第5條第2 項及本軍列管高雄市眷村輔導遷"
22,1460,"最高行政法院 - 行政 -99 判 9 86 4 of 1 人之被繼承人 爲 不同意改建， 故註銷原眷戶權益， 應屬於法 有據 爲 是 。（ 七 ) 查上訴人主張眷改條例第21條及眷改條例施行 細則第19條係「 改建意願收集程序」與 「 輔導遷購程序」 ， 不可混 爲 一談。 惟"
23,1464,"最高行政法院-行政 -99 判 9 86 1 遷購翠華二期國宅說明會及備具說明書， 輔導該村原眷戶購 置翠華二期國宅， 或領取輔助購宅款購置民間市場成屋或另 外提供之國宅， 說明如原眷戶同意遷購， 應於說明會後3個 月 （ 即92年5月24日至92年8月23日 ） 內 ， 塡 具"
24,1462,"最高行政法院-行政 -99 判 9 86 6 of 1 28號令， 授權所屬各級機關辦理眷改條例內原眷戶法定說明 會事宜。 是以， 前被上訴人所轄海軍後勤司令部所辦理之輔 導遷購翠華二期國宅說明會及提供說明書說明後續程序， 均 屬下級機關依上級機關之指示所 爲 之職務協助事項， "
25,1413,"最高行政法院-行政 -99 判 9 86 7 of 1 推動對象。」 ， 亦即以原眷戶百分之百同意改建之老舊眷村 爲 優先推動改建之標的， 故老舊眷村經4分之3以上原眷戶之 同意後， 如經辦理改遷建說明會後， 又獲該村眷戶百分之百 同意配合者， 即優先予以續行辦理購 P 民間市場"
26,1413,"最高行政法院-行政 -99 判 9 86 8 of 1 定予以維持， 亦無不當。 上訴人訴請撤銷原處分與訴願決定 ， 爲 無理由， 應予駁回。 又兩造其餘陳述於判決結果不生影 響 ， 自無庸一論列， 倂 予敘明。 因將訴願決定及原處分均 予維持， 駁回上訴人之訴。 ， . 」 五"
27,1370,"最高行政法院-行政 -99 判 9 86 1 實情不符， 原判決認定事實似有違誤。 故原判決應適用行政 程序法第7條及第10條規定而不適用， 顯有判決不用法律之 違法等語。 六 、 本院查： (一 ) 按行 爲 時眷改條例第2條第1項規定：「 本條例主管機關 爲 國 防部。」、 "
28,1431,"最高行政法院 - 行政 -99 判 9 86 10 of 1 分配總額計算， 其實際可獲輔助購宅款由本部另 爲 核定。」 (見原審卷第45頁 ） 則係被上訴人係表明對未達百分之百同 意遷購本國宅之「 眷村」 ， 其國有可計價土地不列入分配總 額計算， 其實際可獲輔助購宅款， 因 "
29,791,"最高行政法院-行政 -99 判 9 86 1 of 1 數同意改建眷戶之權益， 應認其裁量權之行使並無任何逾越 權限或濫用權力之處， 更無違於比例原則， 乃原判決所確認 之事實（ 見原判決第40-41頁 ） ， 並無上訴人所稱認定事實 錯誤有違論理及經驗法則， 或違反憲法平等， "
