pdf_page,chars,preview
1,549,"% - u 7 性 別 ： 生 a 職業： 性 別 ：男 / 女 生 日 ： 職業： 傳美： 0011475 案 號 年度 訴訟標的 新臺幣 元 金額或價額 依 序 填 寫 ：國民身分證統一編號或營利事 業 統 一 編 號 、 性 別 、 出 生 年 月 日 、 職 業 、 稱 "
2,0,""
3,404,"■ v - 解 纖 法 聲 請 書 聲 請 地 為刑法第79之 1條第5 項 ， 涉有抵觸憲法第8條人身自由及第23條比例原則 等疑義， 爰依司法院大法官審理案件法第5 條第1項第2 款及第8 條第1項規 定 ， 聲請解釋憲法事： 壹 、 聲請憲法解釋之目的 一 、 請求宣告刑法"
4,945,"刑法第79之 1 條第5 項 ： 「 經撤銷假釋執行殘餘刑期者’ 無期徒刑於執行滿二 十五年， 有期徒刑於全部執行完畢後， 再接續執行他刑， 第一項有關合併計算 執行期間之規定不適用之。」 參 、 聲請人之主張及立場 一 、 刑法第79之 1條第 S 項所涉及之憲法上基本權利 受"
5,985,"2 . 婚姻與家庭權利 經濟社會文化權利國際公約第1 0 條規定「 家庭為社會之自然基本 圃體單位， 應盡力給予保護與協助， 其成立及當其負責養護教肓受 扶養之兒童時， 尤應予以保護與協助」。 我國釋字第712號解釋有 謂 「 基於人性尊嚴之理念， 個人主體性及人格之自由發展， "
6,1180,"本諸法治國家保瞳人權之原理及刑法之保護作用， 其法律規定之內 嵙 ， 應受比例原則之規範， 使保安處分之宣告， 與行為人所為行為 之嚴重性、 行為人所表現之危險性， 及對於行為人未來行為之期待 性相當。 槍砲彈藥刀械管制條例 • * 不問對行為人有無預防矯治其社 會危險性之必要，"
7,1105,"係不得已之最後手段。 立法機關如為保護合乎憲法價值之特定重要 法益， 並認施以刑罰有助於目的之達成， 又 S ! 1 無其他相同有效達成 目的而侵害較小之手段可資運用， 雖得以刑翻規範限制人民身體之 自由， 惟刑前對人身自由之限制與其所欲維護之法益， 仍須合乎比 例之關係， 尤其"
8,1059,"且參諸現行實務， 主管機關於有上揭情形時皆對系爭條文為彈性解 釋 ， 有條件允許之。 足見就藥師執業處所僅限於一處之規範， 設置 3 . 鈞院釋字第754號解釋理由書： 「 國家基於不同之租稅管制目的， 分別制定法規以課徵進口稅、 貨物稅及營業稅， 於行為人進口貨物 未據實申報時"
9,1165,"將再滋生目前已常見之等者不等、 因法官或裁量者不同而准否撤銷假釋 結果不同之不公外， 更可能另生對原被處無期徒 开 ! I 之重罪者撤銷假釋令 服殘刑25年過苛， 故裁量不撤銷假釋， 但對原犯輕罪所餘殘刑幾月或 幾年者不過苛， 而撤銷假釋之情形， 反生輕重失衡更大不公平丨」 、 "
10,1306,"(International Covenant on Civil and Political Rights > 下 稱 「 公政 公約」 } 之虞 1 . 按公政公約第7 條明文： 「 任何人不得施以酷刑， 或予以殘忍、 不 人道或侮辱之處遇或懲罰。 非經本人自願同意， 尤不得對"
11,1101,"實足已構成殘忍、 非人道或侮辱待遇。 禁止酷刑委員會即認定待死 現象之所以構成酷刑， 不單係因為惡劣之監所條件， 更可能是長期 監禁所造成之精神痛苦。 前美國聯邦最高法院大法官 Wiliam J . Brenan 貝丨似死刑犯於執行前漫長等待所造成之精神痛苦， 構成死 刑不可分割"
12,958,"史 ， 由刑法、 組織犯罪防制條例等法律來實現該條例維護社會秩 序的立法初衷， 也讓諸如此類犯行之法律評價， 更能切合罪刑相當 之原理原則。 2 . 刑法第2條第3項之立法精神 刑法第2 條第3 項規定： 「 處罰或保安處分之裁判確定後， 未執行 或執行未完畢， 而法律有變更， "
13,6,"司法院公鑒"
14,8,"0011475"
