pdf_page,chars,preview
1,397,"法務部函 受文者：司法院秘書長 主 旨 ： 大院大法官為審理會台字第12771號聲請人臺北市政府及 會台字第12674號聲請人祁家威聲請解釋案， 檢送本部書面 補充意見乙份， 請查照。 保存年限： 地址： 10048 臺北市中正區重慶南路 1 段 130 號 承辦人： 賴俊兆 電"
2,755,"司法院大法官審理會台字第12771號聲請人臺北市政府及會台字第 12674號祁家威聲請解釋案 法務部書面補充意見 壹 、 就爭點一「 民法第4 編親屬第2 章婚姻規定是否容許同性別二人 結婚？」， 本部認為： 不論從立法之文義解釋、 歷史解釋、 體系 解釋等解釋方法， 實在難以導"
3,1018,"(二 ） 司法實務相關判決及本部函釋均採相同之見解， 認為我國民法 對於婚姻之定義係採「 以終生共同生活為目的之『 一男一女』 適法結合關係」 。而司法院大法官解釋字第242號 、第 362 號 、 第 552號解釋亦肯認民法之婚姻係「 一夫一妻婚姻制度」， 且 「 夫妻」 、 "
4,965,"貳 、 就爭點二「 第一題答案如為否定， 是否違反憲法第22條所保障 婚姻自由之規定？」， 本部認為： 依歷年來大法官解釋所認定憲 法第22條所保障之「 婚姻自由」 ， 係以一夫一妻、 一男一女之結 合為前提，因 之 「 同性別二人結婚」尚難謂係憲法第22條所保 障婚姻自由之範疇"
5,839,"權之立法者所訂立。 (二 ） 從外國及國際法關於婚姻之規範意旨觀察， 僅肯定「 男女」有 結婚之權利， 並將婚姻和家庭權並列。 家庭權雖尚非大法官解 釋承認之基本權利， 僅於釋字第712號解釋指出「 家庭制度植 基於人格自由， 具有繁衍、 教 育 、 經 濟 、 文化等多重功能，"
6,826,"婚姻自由與憲法其他自由在意義上不完全一致， 其他自由的本 意是自由於國家公權力之外， 婚姻自由則著重在制度性的保障。 換言之， 婚姻自由必須是法律上的婚姻， 所謂自由也只是在法 定婚姻制度下的自由，因此可得出以下定義： 「 婚姻自由是對 『 合法』婚姻受制度性保障， 及 『 法律"
7,865,"Obergefel et al . v . Hodges 案判決， 首席大法官 Roberts 之不同 夠 、 也更能使人民發揮其自我決定權利、 因而達自我統治的規 範理想。 因此司法違憲審查的功能應該是要「 補強」 或「 促進」 民主政治， 而不是在對抗民主政治。 此理論係從民"
8,889,"(七 ） 本部認為同性婚姻非屬憲法第22條所保障之「 婚姻自由」 ， 係 考量個人追求幸福組織家庭之人格權或家庭權與婚姻自由有 別 ， 且主張同性婚姻宜由立法決定。 至於同性婚姻是否符合憲 法第22條 「 不妨害社會秩序公共利益」 之討論， 有學者指出， 承認同性婚姻不會危害傳統"
9,1898,"訂有所謂「 宗教豁免」（ religious exemption ) 之條款。 例如 佛蒙特州於 2 0 9 年 4 月立法承認同性婚姻， 制 定 「 保障宗 教自由與承認公民婚姻平等法」（ An Acto Protect Religious Fredom and Recogni"
10,2145,"2 、 同性婚姻亦可能衝擊祭祀公業制度。 按台灣的祭祀公業， 其 存在的目的在於教化子孫慎終追遠， 即以一人或多人共同捐 獻的不動產每年所生孳息供祭祀活動的開銷， 對於宗族制度 的維繫， 有其物質與精神兩方面的實質功能。 14祭祀公業充 分顯示台灣先民社會慎終追遠、 尊祖敬宗優良"
11,808,"(八 ） 憲法第 2 條所保障之「 婚姻自由」 ， 依歷來大法官解釋係以 人格權或家庭權等， 是否受憲法第 2 條 保 障 ， 則有討論空 屬憲法第 2 條人格發展權的範疇， 應受憲法的保障。 大法 官如認為同性二人追求幸福組織家庭之權利， 係屬憲法第 2 字第 6 4 7 號解"
12,749,"法保障平等權之意旨並無牴觸， 蓋因立法機關基於憲法之價值體 系及立法目的， 自得斟酌規範事物性質之差異而為合理之差別待 遇 。 (一 ） 生育是否為婚姻的本質， 容有仁智之見。 惟不容否認， 生育 係婚姻的原有功能之一。 例如公民與政治權利國際公約第23 條規定， 家庭作為社會自"
13,787,"(三 ） 民法僅規定一男一女之異性婚姻， 有其歷史脈絡， 非能以現 今環境去評論， 隨著社會變遷， 雖產生同性伴 侣 無法組織家 庭 之 「 保護不足」之情形， 立法者仍得加以調整， 但不能因 此認為民法婚姻規定違反平等權。 蓋國家基本權保護義務之 「 不足禁止」 ， 係課予國家"
14,895,"肆 、 就爭點四「 如立法創設非婚姻之其他制度 （ 例如同性伴 侣 ）， 是 否符合憲法第7 條保障平等權以及第2 2 條保障婚姻自由之意 旨？」， 本部認為： 立法者是否斟酌社會之變遷及文化之發展等 情 ， 在無損於婚姻制度或其他相關公益之前提下， 分別情形給予 其他制度之法律"
15,799,"而言， 民法中的婚姻制度是否為同性伴 侣 唯一可欲（ desirable ) 等 國 ， 在承認同性婚姻之前， 都先採同性伴 侣 制度。然 而 ， 未見這些國家的憲法院認定同性伴 侣 法違憲。 (二 ） 從平等理論的歷史演進來看， 平等其實有兩組相互競爭的典 範 ： 其 一 ， "
16,809,"伍 、 結語 度之 内 涵。 1 8 2、 吳煜宗教授： 如欲同性間的結合成為民法上承認的法律關係， 可能途徑有二種。 其一是要求承認同性婚姻， 直接挑戰千百 年來人類社會維繫至今的婚姻本質， 顛覆以生殖繁衍子孫為 目的而存在的傳統家庭型態， 其性質上屬於一項人類文化的 大革命。"
17,982,"前大法官 Albie Sachs 曾深刻地指出，同性婚姻合法化的議題， 不應 姻之義務， 認為尚有審慎斟酌空間， 從而主張現行民法婚姻之規定尚 無違憲， 並認為受全體國民託付選出之立法者對於同性伴 侣 權益之保 障 ， 應有立法形成自由。 必須特別強調者， 本部於「 憲法層次」主"
