pdf_page,chars,preview
1,681,"釋字第 7 5 林俊益大法官 提出 蔡 烱燉大法官 加 入 壹、前言 本 件 解釋係 【 累犯加重本刑及更定其刑 案 】 。 4 ， 9 聲 請案涉及 刑法第 條第 （ 下 依 序 稱系爭規定 一 至三 ） 是否違憲 的 爭議，有其共 通性，因此 大法官 併案審理 ，作成本解釋 "
2,703,"本席敬表贊同。 對於 本解釋 的 解釋理由及第 明之處，因此 提出 本 協同意見書 ， 以為補充 。 以 下 「 貳 、本件解 釋 的 特色」 ，簡 要 介 紹 本件解釋 的 重點 。 「參、累犯者加重本刑 的 司法實務操作」 、 「肆、對解釋文第一段 的 意見」 、 「伍、本席"
3,601,"630 量其所欲維護法益 的 重要性、防止侵害 的 可能性及事後矯正行為 人 的 必要性，綜合斟酌各項情狀，以法律規定法官所得科處 的 刑 罰種類及其上下限，應與該犯罪行為所生 的 危害、行為人責任 的 輕重相符 ， 始與 憲法罪刑相當 原則 及憲法第 二、 確立憲法一事不再理原"
4,694,"所 稱 再犯有期徒刑以上之 罪 者 ， 是 指刑事法律規定 的 犯罪， 其法定刑 包括有期徒刑在內而言， 法條規定的 法定刑 ， 可能 只規 定 有期徒刑， 亦 可能包括選科或併科 拘役或罰金。例如： （ 一 ） 法定刑 只規定 有期徒刑 者 ：如刑法第 （ 通姦罪 ） 規 定："
5,954,"司法實務上有三個概念，須 先 加介紹，即法定刑、處斷刑及 宣告刑。 依最高法院 法規除依不同犯罪構成要件要素，所 涵攝相異之可罰性，而賦與 相應之 法定刑 外，立法者基於刑罰目的及刑事政策之需要，亦常 明文規範加重、減輕、免除法定刑之具體事由，據以調整原始法 定刑，而形成刑罰裁量"
6,684,"分之一而言，不一定都要加至二分之一， 加多少完全 委諸法院 的 裁量。 依刑法第 或罰金 加重者，其最高度 及最 低本刑 同加重之。 例如，前述刑法第 的 通姦罪， 法定 刑 為 最高度 刑， 最多 可加至二分之一 即 ； 最 低本刑 期徒刑， 必須逾 最多 可加至二分之一即 徒"
7,705,"最高度者，微乎其微 ，誠如學者所說「根本不存在」 ， 因此 累犯 加重本刑 ，雖 有 加重 的 風險 ， 但實務上 影響不大 。有影響者， 僅 最 低本刑 部分，無論如何一定要加重刑罰，剝奪法院個案裁量決 定宣告刑 的 權限，無法由法官視個案情狀，綜合後罪犯罪行為 的 主客觀面而"
8,912,"系爭規定一： （一 ） 累犯定義部分：本解釋未審查 （二 ） 【應】加重本刑至二分之一部分 1. 【應】加重最高度部分：合憲或違憲本解釋未釋示 2. 【應】加重最低本刑部分：不分 情節 ，一律加重最低 本刑致生刑罰超過罪責部分 → 【 違憲 】 (1) 有關機關定期修法 (2) "
9,1133,"雖 經舉行公開說明會 ， 但 大法官 各有堅持，難成 共識 ，經再三溝 通、折衝、妥協 、退讓 ， 終於 勉強 形成多數，作成解釋文第 為便了解 各 種主張之論據 ，現分析 整理如 表 一 所示。 【 表 一 ：累犯 加重本刑 部分 是否違憲各種主張一覽表 】 各種 主張 理由 "
10,975,"比例原則 於 特別累犯如何規定，純屬立法形成自由 第三說 系爭規定一， 加重本刑「至」 二分之一 ，即最 系爭規定一 高度 可加重 「 至 」 法定刑 二 分之一 ， 如何加重， 加重本刑部分 屬法 院 的 裁量權 。 最 低本刑 雖 應 加重 ， 但有加 不分情節，一律 重 即"
11,956,"第五說 系爭規定一，在法定刑 外 加重本刑 「至」 二分 系爭規定一 有關 之一 ， 在此 處 斷刑 範圍內，法官有裁量之權， 加重本刑部分 ， 作出 宣告刑 。系爭規定 一 屬 立法形成自由，況 全部合憲 如有過苛，亦有刑法第 適用 者 ，不生過苛問題，故系爭 規定一有關 加重"
12,817,"654 及 第 解釋參照） ， 都是採全部違憲 的 宣告 方式 ， 並沒有宣告大範圍 （ 不 分情節，一律加重最低本刑 ） 違憲，又說大範圍內的小範圍 （ 致 個案過苛部分 ） 違憲！因此 第四說 的 表示 方式 ， 殊值商榷！ 伍、 本席對累犯者加重本刑 主張 全部 違憲 的 "
13,720,"現代法治國家保障人身自由 的 基本原則 （本院釋字第 參照） 。 （ 二 ） 憲法罪責原則 的 依據 刑罰法律， 基於 無責任即無處罰 的 憲法原則 ，人民僅因自己 的 刑事違法且有責行為而受刑事處罰（本院釋字第 照）。刑罰須以罪責為基礎，並受罪責原則 的 拘束，無罪責即無 刑罰"
14,685,"重罪重罰 （處 5 7 無期徒刑、死刑等） 。 因此，立法機關衡量其所欲維護法益 的 重 要性、防止侵害 的 可能性及事後矯正行為人 的 必要性，綜合斟酌 各項情狀，以法律規定法官所得科處 的 刑罰種類及其上下限，仍 應對應該犯罪行為 的 不法與罪責程度，並應與該犯罪行為所生 的"
15,831,"上 的 法敵對意思，認為既經徒刑執行，理應具有刑罰反應力，能 更遵守法律，不會再蹈，孰知竟仍故意觸犯有期徒刑以上之罪， 可見行為人須再加重處罰以延長教化期 間。此種加重理由，並非 著眼於所違犯後罪行為本身 的 不法與罪責程度，於所違犯後罪法 律規定 的 刑罰外，所增加 的 刑罰係"
16,794,"三、 罪刑相當原則 的 審查 對於累犯，立法者除於徒刑執行 的 質方面從嚴規定外，又以 系爭規定加重徒刑執行 的 量，規定須「加重本刑至二分之一」。 縱然法官於個案中對於累犯所加重 的 刑罰極其微量，而為百分之 一或千分之一。但法定本刑已因系爭規定加重，使法官至少須宣 告最低本刑"
17,797,"果」，尚屬重要公益，固符合重要 的 憲法價值。 惟查如立法理由所稱， 累犯加重 本 刑 的 主要理由，在於被告 刑罰反應力薄弱。被告對刑罰 的 反應力既已薄弱，自無法再仰賴 刑罰， 因此 加重本刑至二分之一加重刑罰 的 手段， 應無助於前揭 立法目的 達成。 此外，法律使受刑人入"
18,713,"視於其先前所受刑罰而仍再犯，亦得依刑法第 「犯罪行為人之品行」而在法定刑度範圍內從重量刑， 有助被告 重返社會並兼顧社會防衛 的 效果，且屬對被告侵害較小 的 手段， 此其二 。末查我國現行刑事法律係採刑罰與保安處分雙軌制，要 在維持行為責任 的 刑罰原則下，為強化其協助行為人再"
19,783,"必要 。 按向來本院 有關違憲 的 解釋 ，大抵敘明 「 … 於此範圍內， 與憲法 … 之意旨不符。相關機關應自本解釋公布之日起 … ， 依本解釋意旨檢討修正」 （本院釋字第 號解釋參照） 。 惟本解釋文 第 惟其不分情節 … 一律 加重 最低本刑 … 之侵害部分， … 不符 憲"
20,758,"則，牴觸憲法第 於此範圍內 ，有關機關應自本 解釋公布之日起 前後對照以觀，本件解釋的客體，限於 系 爭規定一 有關累犯 加重 本 刑部分 ，不及於 累犯之定義要件部分 。 解釋文接著釋示： 惟 「其」不分情節 依其 前後 文義 脈 絡觀之， 「其」字 應 係指 加 重 本刑部分"
21,605,"最低本刑 。 」 究何所指？ 影響司法實務 的 操作甚鉅，因此特別說 明如下： 一、 為避免 發生 上述罪刑不相當之情形 所謂 避免 發生 上述 罪刑不相當 之情形， 是 指避免 發生 因累犯 加重 本刑，致生行為人所受之 刑罰超過 其所應負擔 罪責 （ 刑過 其 罪 即 罪刑 "
22,673,"由法院 「 得 」 加重 最低本刑 （即法官 裁量 加重） 。 （三 ） 至於法院如何裁量？ 法院應視前案 （故意或過失） 徒刑之 執行完畢情形（有無入監 執行完畢 、是否易科罰金 或易服 社會勞動而視為 執行完畢 ）、 5 末期） 、再犯後罪（是否 同一罪質、重罪或輕罪）等 綜"
23,830,"隻字片語 說明 ， 自 應 回歸 刑事訴訟法相關規定處理之 。且 本解釋 理由第三段 已 稱 ：由法院「依法」詳加斟酌取捨，並具體說明 據 以量定刑罰之理由。所謂依法，即 指 依刑事訴訟法規定 為 之 。 關 於判決理由 的 應記載事項，刑事訴訟法第 規定： 「 有罪之 判決書，"
24,627,"是否構成第三審 量處最低 本刑 、 未 加重 本 刑而指摘原判決 違背法令 ？ 最高法院 字第 上 賦予法院得為自由裁量之事項 ，倘其未有逾越法律所規定之範 圍，或濫用其權限，即不得任意指摘為違法，以為第三審上訴之 理由。」及 權之運用，旨在獎勵自新，祇須合於刑法第 法院本有自由"
25,543,"可佐 ， 其於有期徒刑 執行完畢後， 5 年故意再犯有期徒 刑人上之罪，為累 犯， 應依法加重其刑 犯 。 依 司法院釋字第 775 所示 ， 為 避免發生罪刑不相 當之情形 ， 法院 就該 個案依 旨， 裁量是否加重最 低本刑 可否判處最低本刑 否 （ 因累犯 應 一律 加 可"
26,767,"諭知 未必 。 此乃法院裁量 是否應敘明理由 即加重最低本刑 ， 依 是否加重最低本刑事訴訟法第 的結果 ， 可能在原來 第 犯罪的法定刑內諭 重之理由 。如未諭 知宣告刑 ， 並無加重 知 ， 即有判決不備理 問題 由之違法 捌 、憲法一事不再理原則 的 誕生 一、 一事不再理"
27,786,"身體 的 自由應予保障，憲法第 障 的 重要基本人權，立法機關為保護 特定重要法益，以刑罰限制 人身自由 ，雖非憲法所不許，惟因刑罰乃不得已 的 強制措施，具 有最後手段之特性，自應受到嚴格 的 限制（本院釋字第 ） 。 人身自由 人民 行使 其憲法上各項自由權利不可或缺 前 提"
