pdf_page,chars,preview
1,606,"正 本 [ORIGINAL 1 釋 憲 聲 請 書 聲 請 人 ： 楊 熙 榮 王廣安 康其貞 胡立強 楊劉雅英 李有年 代 理 人 ： 駱 怡 雯 律 師 為提出解釋憲法聲請事： 壹 、聲請解釋憲法之目的_國軍老舊眷村改建條例第二十二條第一項 牴觸憲法 民國（ 下同 ） 九十六"
2,816,"例原則， 並牴觸憲法第十五條保障人民財產權之意旨。 二 、 系爭規定以註銷眷籍、 剝奪原眷戶居住權利與其他相關權益為手 段 ， 達成眷村改建之目的， 對此等眷戶而言， 係為公共利益所受 之特別犧牲， 基於憲法對人民財產權保障之意旨， 國家應予以合 理補償， 惟眷改條例與相關法令就"
3,769,"十五年六月十四曰勁勢字第〇九五〇〇〇八〇六號函註銷前揭聲請 人等之自治新村眷舍居住憑證及原眷戶權益。 聲請人等不服， 向行政院 提起訴願遭決定駁回後， 復提起行政訴訟， 仍由臺北高等行政法院九十 七年四月 三日九 十六年度訴字 第七八 七號判決駁回， 再經最高行政法院 九十九年三"
4,1070,"性原則2， 如由法律授權訂定法規命令者， 亦須符合授權明確性原則3， 另外限制財產權之措施或方法尚須符合比例原則4 ， 始屬合憲。由於系 爭規定文義尚無不明確之處， 且本件聲請之審查標的並非法律授權訂定 的法規命令， 因此以前述標準審 査 系爭規定是否牴觸憲法（ 實質合憲性 審查"
5,1022,"舍居住憑證』」。 由上開規定可知， 眷舍居住憑證不僅為眷戶身分之證 明 ， 更代表配住眷舍之申請獲得許可， 並就特定眷舍擁有居住、 使用的 權 利 ， 這項權利乃具有財產價值的權利， 可由「 作業要點」中其他規定 獲得輔證。 依據第陸之一點第三句， 獲配眷舍後， 申請人原按月領取"
6,1113,"a . 憲法學理 舆 比較法觀點 所獲得的財產性權益，自然同屬公法性質。 4 . 憲法上財產權之保護範圍及於「 券舍居住憑證與原眷户權 益 」 . (1 ) 公法性給付請求權符合寒法上財產概念之條件 憲法對人民財產權之保護範圍應該區分私法性質與公法性質的財 產權利兩方面來審視。 "
7,1622,"國家提供的社會性給付， 將排除於財產權保護範圍之外 ' 。 這項標準雖 然經過聯邦憲法院長期採用而成為通說， 但亦招致不少質疑。 一方面 並非所有以自身給付為基礎的杜會福利請求權均含有保障生存基礎之 目的。 另一方面是， 某些具有財產價值的公法性法律地位或資格， 如營 業執照或建"
8,1167,"b . 司法院大法官解釋採取之標準 將可發現我國僅部分採取該理論， 質言之， 係以較寬鬆的標準認定公法 性財產權益受憲法保護的範圍。 由於本案涉及的權利是（ 經申請並獲得許可之 ） 眷戶眷忖居住權一 其以眷舍居住憑證作為表徵， 以及基於原眷戶的身分、 依據眷改條例得 享有的財產性"
9,999,"請補償退休金， 屬於財產權保護範圍 内 之權利， 但考量經建會組織的沿 革歷史及實質平等原則， 銓敘部以該函釋限縮適用範圍是合憲的限制聲 請人的財產權， 並不牴觸憲法且屬於正確適用法令。 顯然對於憲法財產 權保護範圍的認定， 大法官仍採取「 依法令享有的財產請求權 J 之立場。 "
10,1182,"承保單位已將一部分保費提撥為養老給付準備金， 至被保險人離職時一 次給付予被保險人， 故被保險人請求養老給付相當於請求返還自己的 「 存款」， 該請求權應受憲法財產權保障。 然而， 相對於一般的保險關 係中， 保費經繳納後與所有保費共同形成保險給付的資金基礎， 保費繳 納與保險給"
11,886,"1 保費一提供自身給付， 作為保險給付受憲法財產權保障的根據。 然而大 法官並無意將「自身給付」 理論擴大運用在公法保險關係之外的所有公 法財產給付請求權上。 一方面根據考績評定所主張的財產給付（ 在釋字 第二六號中為「 工作補助費、 不休加班費及考績獎金」 ） 本質為薪 俸2 "
12,1009,"1 2 「 比例原則」解釋為國家限制人民自由權利時必須遵守之限制22;釋字 第四二八號解釋後， 大法官並直接將「 比例原則」的憲法依據定位於憲 法第二十三條。 於釋字第四七六號解釋， 大法官進一步闡釋， 憲法上比 例原則包括「目的正當性、 手段必要性、 限制妥當性」三階段下位原則"
13,968,"(2 ) 註 銷 權 益 手 段 不 符 合 必 要 性 原 則 但系爭規定無法符合第三步驟「 必要性原則」 之要求， 因為顯然存 在對原眷戶權益限制更輕微、 且能相同有效的達成前述眷改目的之手 段 。 例如僅註銷不同意改建之眷戶的居住憑證， 便足以達到排除占有、 取回眷村土地以"
14,986,"果 （ 釋字第六四一號解釋 ） 。同樣在此脈絡下， 雖未宣告法律違憲， 但 責成立法機關斟酌個案情節、 區分法律適用對象的不同類型修正現行規 定 ， 以符合憲法比例原則意旨者， 如釋字第六七三號'第六二三號、 第 五八三號解釋。 在本案檢討系爭規定是否牴觸狹義比例原則， 亦應從上"
15,1020,"概念的定義性說明首見於釋字第四0 0 號解釋理由書， 往後相關之解釋 亦循相同脈絡屢次強調。 「 憲法第十五條關於人民財產權應予保障之規 定 ， 旨在確保個人依財產之存續狀態行使其自由使用、 收益及處分之權 能 ， 並免於遭受公權力或第三人之侵害， 俾能實現個人自由、 發展人格 "
16,979,"晝之原眷戶的居住憑證與其他相關權益， 目的在實現眷村改建計畫， 是 國家為維護公益所採取的措施。 但主管機關執行此項規定之結果， 對不 同意改建之原眷戶財產權造成不符合比例原則的侵害， 已如前述， 則參 照上述諸號大法官解釋意旨， 此項註銷居住憑證與剝奪相關權益已構成 原眷戶的「"
17,1156,"用23。 是 以 ， 基於憲法平等原則之要求， 立法者必須斟酌規範對象在事 物本質上的差異， 並根據此等差異設計不同處遇的法令， 所謂「 不等者、 不等之」。 此項「 法律地位實質平等」之要求， 在系爭規定中完全未獲遵守。 系爭規定雖然授權主管機關行使「 決定裁量」， 以決定是否"
18,618,"待 遇 ，自已牴觸憲法第七條保障「 人民法律地位實質平等」之意旨。 四 、結論 綜上， 處分時眷改條例第二十二條第一項以違反比例原則之方法， 侵害不同意眷村改建之原眷戶受憲法保障之財產權， 已牴觸憲法第十五 條與第二十三條。 又不同意改建者之眷舍居住憑證與相關權益被主管機 關註銷"
19,99,"貴康 丨強胡 酬 l o ^ u g l 聲 請 人 ： 楊 熙 榮 王廣安 胡立也 楊劉雅英 U . I ■ 李有年 代 理 人 ： 駱 怡 雯 律 師 中 華 民 國 19 9 年 1 月曰"
20,886,"最高行政法院 - 行政 -99 判 242 1 of 6 最高行政法院裁判書 - 行政類 【 裁判字號】 9 , 判 , 242 【 裁判日期】 990311 【 裁判案由】國軍老舊眷村改建條例 / 【 裁判全文】 最尚行政法院判決 99年度判字第242號 上訴人楊熙榮 王廣安 "
21,1405,"最高行政法院 - 行政 -99 判 242 2 of 6 書函通知上訴人於94年8月底前至法院或民間公證人認證後 送該部憑辦， 並由前海軍後勤司令部及前海軍陸戰隊司令部 (95年3月1日改制 爲 海軍陸戰隊指揮部 ） 派員親訪上訴人， 告知不同意改建之法律效果。 :, 惟上訴人及"
22,1462,"最高行政法院 - 行政 -99 判 242 3 of 6 興建住宅社區、 委託民間機構興建住宅社區、 與直轄市、 縣 (市 ） 政府合作興建國民住宅、 以信託方式與公、 民營開發 公司合作經營、 處分及管理及辦理標售或處分之方式處理。 可見 爲 貫徹眷改條例之立法意旨， 舉凡可達"
23,1377,"最高行政法院 - 行政 -99 判 242 4 of 6 不足， 眷村遷購意願未明者再次之。（ 列 爲 第3類 ， 由列管 軍種總部辦理座談會， 宣導遷購作業並了解眷戶遷購意願呈 報 ） 」足見所謂原眷戶100%同意遷購者， 僅牽涉遷購之作業 方式而已， 並不影響改建計畫之成立與"
24,1379,"最高行政法院 - 行政 -99 判 242 5 of 6 條例及其施行細則所辦理， 且於辦理本件眷改計畫之過程均 有發放上述資料予自治新村原眷戶， 且 爲 原審所認定之事實 ， 足見被上訴人因眷改基金短絀， 而選用輔導購置國宅方式 辦理自治新村之改建， 即屬依眷改條例規定之國軍老"
25,823,"最高行政法院 - 行政 -99 判 242 6 of 6 (三 ) 原處分於說明欄已分別敘明本件「 自治新村」已有97%之原 眷戶完成認證同意遷建， 且被上訴人所屬機關已向上訴人等 人多次溝通協調及拜訪說明， 並增列領取輔助購宅款後搬遷 之選項， 惟上訴人等人仍拒絕辦理改建認證，"
