pdf_page,chars,preview
1,667,"臺灣桃園地方法院行政訴訟庭林靜梅法官釋憲聲請書 壹 、 聲請解釋憲法目的 聲請人因審理臺灣桃園地方法院1 0 1 年度交字第1 1 號 、 第 2 4 號 、 第 1 3 4 號 、1 3 7 號及 1 0 2 年度交字第5 6 號 、 第 8 8 號 、 第 1 2 1 號等7"
2,571,"院釋字第三七一號解釋之意旨， 裁定停止訴訟程序， 聲請大法官解釋， 並請宣告行政罰法第2 6 條第2 項 、 第 3 項 、 第 4 5 條第3 項及道路 交通管理處罰條例第3 5 條第8 項之法律規定違憲且立即失效。 貳 、 案件之經過、 疑義之性質與經過及涉及之憲法條文 一 "
3,646,"分 ， 期間 爲 一年， 並要求葉書含應向桃園縣觀護志工協進會支付 3 萬 元 ， 及參加該署舉辦之酒駕認知輔導教育課程1 場 次 ， 而 確定在案。 葉書含並於9 8 年 9 月 8 日繳納3 萬元完畢。 至新竹區監理所亦認葉書含確有「 汽車駕駛人酒精濃度超過 標 準 （0 ，"
4,596,"裁 決 書 （ 第二份裁決書 ） 裁處罰鍰1 萬 5 千 元 ， 吊扣駕駛執照1 2 個 月 ， 並應參加道路交通安全講習。 葉書含對此認既然上開法 官於交通聲明異議事件程序， 已經裁定撤銷第一份裁決書， 何以 新竹區監理所又重 爲 處分， 再 爲 第二份裁決書， 故就此再向桃院"
5,618,"機構或團體提供8 0 小時義務勞務， 並參加該署舉辦之法治教育 1 場 次 ， 而確定在案。 江謝文山即自1 0 年 1 2 月 6 日起至1 0 1 年 5 月 2 7 日 止 ， 至財團法人私立弘化同心共濟會附設桃園 縣私立弘化懷幼院服義務勞務完畢。 至新竹區監理所亦認江謝文"
6,603,"1 、 就臺灣桃園地方法院 101 年度交字第 1 3 4 號案部分： 余遠兆於 9 年 8 月 2 Q 1 7 時 4 3 分 ， 騎乘牌照號碼 爲 ◦ ◦ -〇 ◦ 號自小客車， 途經桃園縣中壢市永興街 4 5 號前時， 因酒後駕車， 爲 桃園縣政府警察局中壢分局測得其呼氣所"
7,627,"(下同 ） 4 萬 5 千 元 、吊扣駕駛執照1 2 個 月 、 施以道路交通安 全講習之處分。 余遠兆對此處分不服， 除認該案未曾經舉發， 且 上開處分距案發時已過2 年 3 個月有餘， 故新竹區監理所顯違道 路交通管理處罰條例第9 0 條之規定外， 且其飲酒後駕車一事， 既經"
8,589,"年7 月9 日前， 嗣中壢分局即將之分別移送桃園地檢署及新竹區 監理所處理。 桃園地檢署即認鄭博中確犯刑法第1 8 5 條之3 之飲用酒類 不能安全駕駛動力交通工具而駕駛罪， 並於9 9年8 月3 0 曰以 9 年度偵字第1 8 7 3 7 號緩起訴處分書， 給予鄭博中緩起訴 處"
9,560,"處分關於4 萬 5 千元部分， 扣除緩起訴處分之公益金3 萬元後， 更正罰鍰金額 爲 1 萬 5 千 元 。 : 5 、 就臺灣桃園地方法院1 0 2 年度交字第5 6 號案部分： 林文寶於9 9 年 6 月 1 日1 7 時 許 ， 在桃園縣八德市某處海 產店飲酒後， 竟仍駕駛"
10,630,"至新竹區監理所亦認林文寶確有「 汽車駕駛人酒精濃度超過 標 準 （0 • 5 以上 ） 之違規情事， 而於1 0 2年1月3 1 曰， 依道路交通管理處罰條例第3 5 條 第 1 項第 1 款之規定， 以壢監 裁字第裁5 3 - Z 6 0 8 5 7 9 2 號裁決書裁處原告罰"
