pdf_page,chars,preview
1,670,"釋字第 9 1 許志雄大法官 提出 刑法第 1 下有期徒刑 。 其相姦者亦同。」 （下稱系爭規定一） 原經本院 釋字第 與憲法第 例原則之規定尚無違背。 本號解釋變更見解，釋示系爭規定 一 對憲法第 之 限制 ，與比例原則不符 ， 應自本解釋公布之日起失其效力； 於此範圍內，系爭"
2,760,"及與何人發生性行為 ， 惟依憲法第 2 秩序公共利益之前提下，始受保障。是性行為之自由，自應 受婚姻與家庭制度之制約。 」依其意旨，性行為自由即性自 主權，受憲法第 概括性權利保障條款之保障。 平心而 論， 縱使已邁入 國內外性觀念大幅開放，但台灣社 會仍然瀰漫著 泛道德論 。在"
3,736,"人之人格有不可分離之關係， 按理應定性為人權，而非僅屬 其他憲法權利性質之一般行為自由。 系爭解釋表示， 對於 婚姻關係存續中，配偶之一方與第三人間之性行為 ， 如 以刑罰加以處罰， 須其規定之「 立法目的具有正當性，刑罰 手段有助於立法目的達成，又無其他侵害較小亦能達成相同 目"
4,673,"即使尚未經比例原則之審查，其合憲性 亦 已呼之欲出。 更且 ， 於 比例原則之 實際 操作上， 系爭解釋之審查密度 相當寬鬆，手法 更 有過於粗疏之嫌。 其 解釋理由書開宗明義 即 揭示 婚姻及家庭之重要性 ， 而後稱 ： 「 刑法所具一般預防功 能，於信守夫妻忠誠義務使之成為社"
5,848,"二、 自主決定權與 性自主權 近代 立憲主義最核心之價值，在於個人之自律與自主決 定 。 其設想之 「 個人 」 圖像 ，為 「理性之人」 、 「強者」 或 「具 人格自律性（ personal autonomy ）之存在」 。 憲法列舉之自 由權，莫不以「自主決定之自由」作為核"
6,817,"所謂自主決定權，係指對於一定之 私事 或個人事 項 ， 不受公權力干涉 ， 而可以自主決定之權利 。 凡具有理性 、 責任感者，其自身之事應 本諸自律， 由自己處理。唯當自主 決定之自由獲得保障 ， 善加發揮 ， 個人之人格方能健全發展 ， 尊嚴方能 確保 ，進而更可維繫民主之多"
7,854,"其他事項 （生活方式之選擇） 。 各類之間未必可以截然劃分 ， 例如代理孕母問題 即 同時涉及第一類及第二類事項。而 第四 類涵蓋層面甚廣，凡與個人外型 、 興趣、嗜好 或其他生活形 態 有關者 ， 如服裝、髮型， 性行為、 吸菸、飲酒、登山、游 泳、騎機車等 ，都可能牽涉在內 "
8,800,"憲法保障 自主決定權 ，強調自己之人生自己撰寫。惟個 人並非孤立之存在，自主決定權之行使仍會與外界產生互動 關係 ， 在顧及 社會與制度之條件 及 前提 下， 自主決定權 不免 受到 制約。 其制約之正當化事由，主要出自阻止 「加害他人」 及「加害自己」之原理。 依阻止「加害他人"
9,954,"。不過，這只是抽象說法， 具體作為是否滿足公益要求，是 否合憲 ， 仍應依人權之種類及規制之強弱等因素 ， 個別判斷 。 性自主權 非受絕對保障，若為維護公益之必要，得為一 定程度之限制。 因此， 各國法制常 設有 妨害性自主罪、 妨害 風化罪 ，以及關於 性騷擾、未成年人之性剝"
10,1112,"與隱私權有別 「 系爭規 定一 作為刑罰規 範 ，不僅直接限制人民之性自主權， 且 其追訴審判程序 亦必 然 干預 人 民之 隱私 。…… 通姦 及相姦 行為多發生於個人之私 密空間內，不具公開性。其發現 、 追訴 、審判 過程 必然 侵擾 個人生活私密領域及個人資料之自主控制，"
11,768,"當代民主國家婚姻法制之主要發展趨勢，婚 姻關係中 個 人 格自 主 （包括性自主權） 之 重要性 ， 已 更加 受到 肯定與 重視 ， 而婚 姻 所承載 之社會功能 則趨於相對化。此由系爭規定一對 婚姻關係中配偶性自主權之限制，多年來已成為重要社會議 題可知。是憲法就此議題之定位"
12,799,"性 ， 即 應受較為嚴格之審查。 系爭規定一以刑罰處罰通姦者 及其相姦者，顯然係對性自主權 強力 限制 之 立法 。 本號解釋 以嚴謹之態度，採取較高密度之比例原則審查系爭規定一， 堪稱妥適。 首先， 系爭規定一之立法目的為何，從立法資料尚無可 考。本號解釋稱： 「 究 其目的 "
13,657,"獲得之利益勢必較小，於進行狹義比例性之審查，為損益之 衡量時，恐不易 過關。 復次， 關於手段之必要性審查 。 本號解釋理由書 表示： 「 基於 刑法謙抑性原則，國家以刑罰制裁之違法行為，原則 上應以侵害公益、具有反社會性之行為限，而不應將損及 個人感情且主要係私人間權利義務爭議"
14,729,"真摯之愛與熱情 ， 否定出自人性之生活態度或方式 。 從自主 決定之角度思考，此一觀點 亦耐人尋味。 職是之故，系爭規 定一以刑罰手段制裁通姦行為，或有手段違憲之 虞 。 此外 ， 前引解釋理由書中 有關 通姦行為尚不致 明顯損及 公益 之說法 ， 反襯出 系爭規定一 所能追求之"
15,62,"殆難避免。本席認為，這不僅是民主多元社會之正常現象， 更可彰顯自律與自主決定之可貴，而印證本號解釋所重視之 價值。 15"
