pdf_page,chars,preview
1,695,"釋字第 91 協同意見書 黃瑞明大法官 提出 詹森林大法官 加入 有配偶之人與第三人發生 婚外 性行為 ， 即俗稱 通姦 ， 應 否由國家 以刑罰加以制裁 ， 世界各國之立法趨勢大致是由早 期的刑事處罰 ， 逐漸鬆綁為僅以民事賠償 加以制約 。 本號解 釋宣告刑法第 之規定「 有"
2,827,"有不可分離之關係，固得自主決定是否及與何人發生性行 為」 ； 本號解釋 以「保障人民性自主權」作為通姦罪違憲之 理由。 因 為 性行為自由與人民性自主權皆未於法律明文規 定， 故 有必要就人民性自主權 （ 即 釋字第 所稱之 性行為自由 ） 之理念進一步闡釋 ， 始能理解本號解釋"
3,1040,"督教興起後， 基督教之教義認為 諾， 肉體與官能的享受為罪惡的根源， 因此婚外性行為 等 於挑戰神權 ， 是不可饒恕 的 罪。 教會法典明定管理每一位教 徒的道德行為 ， 包括性行為 。 14 帶來的人文主義打破中世紀神學對人們思想的桎梏 。 由人文 主義 （ humanism "
4,895,"人文主義與宗教影響力之強弱各地不同 ， 17 格蘭與美國的清教徒開始熱烈追求道德與神學的改革 ， 1605 年英格蘭甚至通過 「通姦法案」 （ Adul tery Act ） ，對婚姻之外 的性行為判處死刑。 直到今天許多教會仍把婚外性關係看 成一種罪惡。 美國 各州 法律 對於"
5,1021,"導因於 精神上 孤獨的感覺 。 精神分析理論讓人得 以較為寬容 的精神看待 外遇 ， 衝破了維多利亞時代 的矯情 ， 正視性在人 類 活動之重要性。 除了 佛洛伊德 之外 ， 其他的精神分析理論均承認性的追 求其實與孤獨有密切之關係 ， 婚外性行為並非單純之生物學 之觀點 ， 而"
6,806,"年通過民權法案 修正案 ，都代表 「 68 所帶動之思潮對 傳統社會與政治秩序之衝擊， 由各國 通 姦除罪化 之時間點， 可以看出 思維之挑戰 。 （二） 儒教文化 影響較深之東亞社會對婚外性行為 評價 之轉 折 — 小家庭興起促成男女平權 前述歐美社會對婚外性行為評價之轉折 影"
7,1125,"的五四運動以打倒吃人的禮教為口號，即為受西方思潮影響 的年青 人對傳統禮教之挑戰， 許多參與五四 運動 的女學生組 織婦女團體 ， 15 衝擊立法院要求修改 通姦罪 為 平等適用 於男女 。 （三） 東 、西合流之世界趨勢 ：婚姻目的在於追求個人幸福 而非 僅 家族延續 在前述東"
8,808,"二、 由 民國 修改 通姦罪時之 激烈論辯與 動 員 看社會思潮 17 法 係 延續清末 制定的 刑法 ， 對於 通姦罪只 處罰有夫之婦而不處罰有婦之夫，即第 有夫之 婦 與人通姦者處 ， 要求 女 性 負片面貞操 義務。婦女團體對此不滿，要求改為無論 之婦或是有婦之夫與人通姦者"
9,782,"席旁聽 。 想不到 三讀時立委 重提修正案 ， 最後表決結果 翻盤 ， 回復僅處罰 有夫之婦通姦之舊條文。 消息傳出， 婦女團體群情激憤，請求立法院復議不成， 乃通電全國婦女及各界同胞仗義聲援，電文中有語「今乃為 立法院一部份 委員 ， 代表封建勢力，違反二萬女同胞之意 志，公然"
10,757,"員之幅度 ，實不下於政 黨競爭時代 立法院 內 之 激烈 爭 鬥 。 2 、如果當年是依照 二讀通過 之草案完成立法，即不 論 男女通姦均不受刑事處罰，則今日釋憲之結果 就 已 實現， 成為 超前立法。 不過當年婦女各界所稱 通姦僅以民事 責任規範為 「近世立法之新趨向」應該是指"
11,778,"風險 ， 實務上 也確實 發生 通姦者 依此 向相姦者索財 的個案， 其合憲性實值懷疑 ， 故 本號解釋已 同時 宣告 系 爭規定 二 違憲 。 三 、現代陳世美不受任何處罰？ 婚姻關係之承諾除了 雙方互負 情感與性之忠誠 義務 外， 其實 最重要的是 透過 雙方角色分工 、 互"
12,737,"1 、 民法親屬編自 多 次之修正，由傳統封建 的「男尊女卑」 、 「父、夫權獨大」的「家父長制」修正為符 合個人主義、婚姻自由及男女平等，兼具市民法及社會法精 神。 2 、 尤其 夫妻 離婚 後 子 女之保護教養 權以子女的最 佳利益為依歸 ， 不再當然歸夫 ， 妻不必證明夫通"
13,723,"財產是夫所有，對登記在妻名下之財產進行強制執行，故於 85 ， 讓登記於妻名下之 財產真正能夠歸屬於妻所有。 到 修正 夫妻法定財產制 才真正落實夫、妻各自對其財產有完整的所有權及 管理、使 用、收益 、處分 權。 7 、 在 肯定夫妻婚後所增加的財產是兩人共同努力的結果 ， 一"
14,777,"綜上 ，對於為家庭奉獻青春及心力的人 （絕大多數是女 性） ，可以說是有了一定程度的保障，不至於發生結婚後守 著 家庭、脫離職場，在離婚後一無所有， 孑然一身還得想辦 法重返職場、辛苦討生活的結果。 現代陳世美已無法囊括婚 姻關係產生 之 全部成果，另尚應負賠償之義務。 四、 人"
15,297,"性行為之譴責時，其實也為婚姻賦予新的 意義，例如一對怨 偶之離婚可能造成二對佳偶 ， 以及鼓勵另一半出軌 之 男 ／ 女 選擇原諒 、 修復關係或是 重拾 自我、 逕自向前走，把他／她 留在後面 等正面思維 。 至於 宣告通姦罪違憲 會不會 有 造成 社 會道德敗壞 之疑慮 ， "
