pdf_page,chars,preview
1,411,"臺灣雲林地方法院解釋憲法聲請 t 壹 、 聲請憲法解釋之目的 一 、 按憲法之效力既高於法律， 法官有優先遵守之義務。 法官於審理案件時， 對於應適用之法律， 依其合理之確 信 ， 認有牴觸憲法之疑義者， 得以之為先決問題， 裁定 停止訴訟程序， 並提出客觀上形成確信法律為違憲之"
2,551,"〇係有配偶之人。 詎李〇〇及林〇〇竟分別基於通姦、 相姦 之接續犯意， 分別於民國104年 11月21、 27、 28日、 12月 4 、 6 日， 在李〇〇位於〇 〇 () 〇 號之住處 内 ， 以性器官插入之方式發生性行為多次， 林〇 〇 並因之於105年 3 月22日產下一"
3,506,"已婚之人與他人相姦行為列為刑事處罰對象， 明顯限制人民 自主決定是否與何人發生性行為之自由， 及個人生活秘密空 間免受國家權力侵擾之權利， 而國家以刑罰權限制此種人民 基本權利， 所欲保護的法益究竟為何？是他方配偶的因婚姻 所取得之自由權利 （ 他人基本權 ） ？為維護婚姻制度所"
4,513,"二 、婚姻與家庭自由之基本權利與制度性保障 内 涵 婚姻與家庭乃是社會生活上的重要關係架構， 婚姻與家 庭植基於人格自由， 為社會形成所發展之基礎， 受到憲法保 障 ， 此經大法官一再正面肯定 （ 大法官釋字第554號 、 第696 號 、 第712號解釋 ） ， 然而婚姻與家庭"
5,556,"一環。 若將之與一般人格權之 内 涵相較， 選擇並維繫婚姻與 家庭生活的權利， 亦應被評價為具有基本權利之本質1。 換言 之 ， 婚姻與家庭自由作為一種基本權利， 保障的是每一個人 想組成家庭時， 能自由選擇對象與時機， 透過結婚追求幸福 人生的權利。 (二） 婚姻與家庭自由做為"
6,559,"度之存續」與 「 婚姻之圓滿」乃屬二事， 首先不可不辨。 所 謂國家確保「 婚姻制度之存續」 ， 積極而言， 應包括提供正 面的制度與規範， 確保人民得以行使其成立婚姻關係或建立 家庭的權利， 及使其家庭生活得以被尊重 ； 消極而言， 則應 排除對「 成立」婚姻關係或「 建立」家"
7,1176,") 第 16條承認家庭作為社會自然且根本的單位， 並承認男 女結婚共組家庭的權利。 經濟、 社會與文化權利國際公約 （ International Covenant on Economic , Social and Cultural Rights ( ICESCR ) 第10條說"
8,816,"隻字未提國家有何義務建構法律以維繫婚姻中的夫妻忠誠， 遑論以國家公權力確保婚姻生活中的性忠貞。 事實上， 兩公 約審查委員會分別於2013年及2017年對我國提出建議， 指 刑法第239條違反公民與政治公約第17條之隱私權保障， 並指出廢除此一罪名乃是政府的責任7。 足見在國際潮"
9,540,"憲法保障婚姻之 内 涵及於由國家提供對人民生活價值觀之指 導 ， 進而論稱國家有義務提供規範排除對婚姻存續有害之婚 外性行為。 大法官釋字第554號解釋理由書第3段中所稱「 刑法所 具一般預防功能， 於信守夫妻忠誠義務使之成為社會生活之 基本規範， 進而增強人民對婚姻尊重之法意識"
10,518,"國家權力限制婚外性行為？此一疑問必須解析對於已婚者而 言 ， 婚姻與家庭自由做為一種基本權利， 是否包含國家保護 義務之效力？更具體而言， 通姦配偶的他方配偶是否能基於 婚姻與家庭自由而主張國家應保障其「 免於配偶出執」以及 「 免於他人與配偶相姦」之基本權？ ( 一 ） 通姦配"
11,582,"庭自由之基本權面向， 不可能包含「 免於配偶出軌」之基本 權利。 再者考量親密關係不確定的本質， 婚姻與性行為不可分 離 ， 而性行為自由與人格緊密連結， 屬於人性尊嚴範疇， 於 兩人自願結婚之際， 大多數當事人間皆會互相承諾情感忠誠 與性行為對象獨佔， 此種許諾必須仰賴配偶雙方"
12,479,"環的功能。 至於個人給予配偶的忠誠許諾是否實現， 乃是私人間承 諾之履行， 當配偶一方違背承諾而通姦時， 無過失一方配偶 對他方可能有離婚及損害賠償請求權， 然而此僅是無過失配 偶於分配私權損害與責任之際取得的相對權利， 與憲法保障 人民不受國家侵犯之基本權性質係屬二事。 綜上所"
13,526,"滿與否僅能由配偶間共同經營， 考量此種人格權本質，自不 可能由國家以任何方式提供「 圓滿不受第三者介入的婚姻」 s 同樣亦無法推論已婚者享有受憲法保障「 免於因第三者與 配偶性交而情感痛苦之自由」 。 五 、國家權力欠缺保護目的而限制人民基本權利 綜上所述， 所謂婚姻與家庭之自由"
14,508,"， 時至今日， 一拆解婚姻與家庭自由後， 即可發現通姦罪 之保護法益已無一得以證立， 我們是否仍要無視婚姻自由必 然伴隨婚姻出現瑕疵的風險， 繼續被國家教示人民「 應尊重 婚姻價值」之空洞父權思維綁架？我們是否仍要無視婚姻圓 滿唯有透過配偶雙方共同經營才能實現， 依舊迷信婚姻的價"
15,59,"司 法 院 聲請人： 臺灣雲林地方法院刑事第四庭法 官 委 会又 中 華 民 國 一 0 六 年 八 月 三 十 曰"
