pdf_page,chars,preview
1,621,"司法院釋字第 七二七號解釋 不同意見書 大法官葉百修 提出 違憲審查機關對於審查是否違憲之法律或命令，於認 定違憲時，固可就違憲之事由擇一認斷；然於認定合憲時， 則應排除任何可能違憲之情形 ， 此應為事物之本質與必然之 ；該程序復於九十 道理。本件解釋關於國軍老舊眷村改建事項，涉"
2,835,"八年五月二十七日增加至三項規定 。原第二十二條規定及 之後修正因增列其他項次而為同條第一項規定 ， 關於不同意 改建眷戶之處理方式部分，以下併稱系爭規定） ，與憲法第 七條平等原則尚無牴觸而一筆帶過 ， 對於本件解釋十五件聲 請案聲請人其餘諸多指摘，毫無回應，選擇漠視而簡略操作 "
3,648,"案聲請人所指摘系爭規定限制或侵害其憲法所保障之權 利，有憲法第七條、第十條及第十五條所保障之平等權、生 存權、財產權、居住自由等，並因此牴觸憲法第七條平等原 則及第二十三條之比例原則等主張 。 然本件解釋多數意見僅 從平等權立論，單純從系爭規定以 「同意」 與否為分類標準， 而形"
4,631,"（二）就聲請人所 指摘違反比例原則 、正當行政程序原則 以及特別犧牲補償等均 未予回應 ，理由不備而構成 「違背法令 」 就本件解釋所涉聲請案，聲請人所為之諸多主張，本 件解釋多數意見均未予以回應 ， 於本院大法官目前採之書面 ，否則即有構成判決不 備理由之情形而致違背法令 。 "
5,633,"釋多數意見一方面僅就有無牴觸平等原則加以審視 ， 其餘可 能構成違憲之爭議均未論斷 ， 卻又出於與本院歷來解釋大相 逕庭的作法，而解釋文中長篇列舉系爭規定不妥之處。試 問：既已認定系爭規定有如此諸多不妥之處，應由相關機關 檢討改進，另一方面確又仍宣稱系爭規定與憲法並無牴觸， 豈非"
6,693,"利或法律上利益有間。受配耕榮民與國家之間，係成立使用 借貸之法律關係。」然系爭規定所涉及之國軍眷村，其實際 眷戶使用眷舍之歷史成因與實際運作之情形 ， 是否即如同本 院釋字第四五七號解釋所處理之 「國有農場耕地配予榮民耕 種」 之情形？配住眷舍之人民，其身份是否即為榮民？或有 其"
7,643,"產權保障？既然憲法財產權保障之意旨，在於 「實現個人自 由、發展人格及維護尊嚴」 ，系爭規定對於不同意改建之眷 戶，逕行註銷其眷舍居住憑證及原眷戶權益，收回該房地， 若房屋係眷戶自行興建 ， 對其房屋難道並無所有權？否則何 以有拆遷補償費？即便房地均非原眷戶所有 ， 難道如此一筆"
8,710,"本件解釋多數意見認系爭規定之立法目的，在於避免 眷戶參與改建之意願不一致，影響眷村改建之整體工作，以 一體適用 ，換言之，其屬於國家整 體住宅政策之一環，雖將國軍老舊眷村之改建，獨立以系爭 「加速更新國軍老舊眷村，提高土地使用經濟效益，興建住 條例加以規範，對於其程序之要求，仍應"
9,633,"法律程序之要求，本件解釋多數意見則毫無所及。 （二）財產權保障包括存續與價值保障 或謂本院釋字第七０九號解釋處理是人民所有權之保 障，與系爭規定所涉及之「使用借貸」不同。然誠如本席所 言，憲法保障人民財產權應不分所有權與否之優先順序。何 況，憲法對於財產權之保障，同時包括存續保障"
10,110,"由及生存權受到過度侵害，凡此均為本件解釋多數意見所 見，並於解釋文中加以諭示相關機關檢討改進，則當應檢討 修正已逾越必要合理之範圍 ， 而多數意見仍堅信系爭規定與 憲法並無牴觸，其合憲論理過無薄弱，實難昭眾信。 10"
