pdf_page,chars,preview
1,792,"釋字第七０一號解釋 部分協同暨部分不同意見書 大法官 湯德宗 本件聲請人曹天民先生辦理民國九十四年度綜合所得稅 結算申報，依據九十四年十二月二十八日修正公布之所得稅 1 ） 列報醫藥費列舉扣除額新臺幣 （下同） 六十八萬七仟零 三十五元，嗣經財政部臺灣省北區國稅局所屬新店稽徵所 "
2,667,"以系爭規定有違反憲法第七條及第二十三條之疑義，聲請本 院解釋憲法。多數意見於「解釋文」釋示：系爭規定「就身 心失能無力自理生活而須長期照護者（如失智症、植物人、 重大精神疾病、因中風或其他重症長期臥病在床等）之醫藥 費，亦以付與系爭規定之醫療院所為限始得列舉扣除，而對 5 於付與"
3,580,"解釋客體之一部分，例如釋字第六九六號解釋宣告所得稅法 第十五條第一項其中有關夫妻非薪資所得強制合併計算，較 之單獨計算稅額，增加其稅負部分為違憲。本號解釋更進一 步，就系爭規定之適用，宣告部分違憲。本席以為，此舉可 使大法官憲法解釋更為靈活，既不限於系爭法規本身，也不 限於其適用"
4,808,"分」，審查如上差別待遇是否合乎憲法平等原則的要求。奈 6 何審議時未能獲致通過解釋所需之可決多數 ， 乃更限縮解釋 之範圍，改以「付與會計制度健全之醫療院所（下稱「會計 健全醫院」） v. 付與非會計制度健全之醫療院所（下稱「非 會計健全醫院」）」作為差別待遇之基礎，僅就「系爭規"
5,544,"出之醫藥費用，於計算所得額時並得列報扣除；至於絕大多 數無法入住醫院之「居家長期照護」病人，殆屬經濟上之弱 勢，其長照醫藥支出因多非付予會計健全之醫院，反不得列 報扣除！本件解釋全然無助於舒緩社會貧富差距。 總之，本件聲請人所爭執的並非「長照支出是否付與會 計健全醫院」，而是「居"
6,704,"準此，法規有無牴觸平等原則的審查包括兩部分：「目的合 憲性審查」及「手段與目的關聯性審查」。 9 僅於例外情形，大法官始採取 「較為嚴格之審查」，縮 減立法裁量之空間。鑑於長期照護醫藥費之列舉扣除，影響 受長期照護者之生存權之平等保障為由，多數意見決意參考 釋字第六九四號解釋，就"
7,741,"的是否屬重要公共利益，且 所採取分類標準及差 別待遇之手段與目的之達成 是否具有實質關聯而 10 定」 詎料釋字第六九四號解釋為一時方便，竟將前揭釋字第 六二六號解釋所宣示的「 重要公共利益之目的」，輕率地改 為「合憲之目的」（至「差別待遇手段與目的之達成間須有 實質關聯」，則維"
8,843,"免浮濫或規避稅負」當然是「合法或正當」之目的，但尚非 「重要」之目的。但是因為本案捨棄釋字第六二六號解釋所 確立的「重要目的」審查標準，多數意見乃無法就系爭差別 待遇所追求之「避免浮濫或規避稅負」，宣告為違憲。解釋 理由書於此只能避而不談，視若不見。 無法以「目的合憲性審查」宣告"
9,546,"所為之 差別待遇對避免浮濫或淪為規避稅負達成之效果尚 非顯著，卻對受長期照護者之權益形成重大不利之影響，亦 難謂合於憲法保障受長期照護者生存權之意旨。是系爭規定 就受長期照護者之醫藥費，以付與上開醫療院所為限始得列 14 釋字第六九六號解釋續作俑，本席再次 極力陳詞，未能力挽狂瀾"
10,226,"上克盡言責：「按解釋理由書第四段之敘述，只能得出系爭 規定合憲的結論。如必堅持通過，恐貽人笑柄」。 結語 子曰：「舉一隅不以三隅反，則不復也」 15 。看來這在古 今皆屬難以企求之「高標」。不過，俗話也說「事不過三」， 應可作為「低標」。看來應是嚴肅考慮大法官評議紀錄（含 16 "
