pdf_page,chars,preview
1,568,"1 釋字第六三二號解釋協同意見書 許大法官玉秀 對於本件聲請受理依據－司法院大法官審理案件法（以 下簡稱大審法）第五條第一項第三款規定「依立法委員現有 總額三分之一以上之聲請，就其行使職權，適用憲法發生疑 義，或適用法律發生有牴觸憲法之疑義者」，本席認為不同 意見的理解顯然有失準"
2,487,"2 十五年四月二十一日本院大法官第一二八二次會議決議）、 高級中學教科書各科目審定委員會委員的重新審定行為（九 十六年六月二十二日本院大法官第一三０六次會議決議）、 經濟部准許中華郵政股份有限公司變更公司名稱登記的行 為（九十六年七月十三日本院大法官第一三０八次會議決 議）聲請解"
3,480,"3 體，因為司法權中的違法審查與違憲審查，在我國現行釋憲 體制之下，是由普通法院與釋憲機關分別職掌。行政機關的 行政行為與普通法院的裁判行為，都是依據法律而為，如果 他們的行為違憲，則應該先審查他們的行為是否違法，如果 他們的行為違法而違憲，則處理了違法的問題之後，違憲的 問題也"
4,451,"4 針對立法院制定通過的規範加以審查，而不能聲請審查機關 行為。 不同意見的主張，只有一半正確。針對其他權力機關的 行為，立法院如果要聲請釋憲，的確只能因為其他機關的行 為逾越憲法所規定的權限，而侵害到立法院的權限，也就是 只能根據大審法第五條第一項第一款規定提出聲請。但是如 果"
5,466,"5 機關的決議行為。因此大審法第五條第一項第三款規定的意 義，應該理解為：賦予立法院的少數規範異議權，旨在讓立 法院的多數決議行為，有即時接受違憲審查的機會。 貳、大審法第五條第一項第三款的受理範圍 一、本院大法官歷來受理解釋的類型（附表二參照） （一）行使職權適用憲法發生疑義 "
6,600,"6 權的釋字第三二五號解釋、關於條約審查權中條約的意義 （行使質詢權時對於條約審議權的疑義）的釋字第三二九號 解釋 3 、關於議事程序有無瑕疵的釋字第三四二號解釋、關於 憲法第十一條是否保障廣電自由的釋字第三六四號解釋、關 於現職總統競選連任是否享有憲法第五十二條豁免權的釋 字第"
7,470,"7 第三款後段規定的適用範圍。包括關於大學法施行細則規定 必修共同科目的釋字第三八０號解釋、關於檢察官是否應該 擁有羈押權的釋字第三九二號解釋、關於國大正副議長是否 為有給職的釋字第四二一號解釋、關於空氣污染防制費收費 辦法授權是否具體明確的釋字第四二六號解釋、關於軍事審 判建制"
8,464,"8 第一項第一款前段規定受理的案件互相比較。在至今依據大 審法第五條第一項第三款前段規定受理的案件中，受理程序 受到質疑的案件，有為將來行使職權而提出聲請，以致於遭 受質疑是否符合行使職權的要件，例如釋字第四九九號解 釋，為未來行使預算審議權而聲請解釋國民大會代表延任規 定是否違"
9,608,"9 本院大法官曾經在交通部委任中華電信股份有限公司 執行八十九及九十年度中央政府總預算的行政行為違憲聲 請案，作成本院大法官第一二六九次會議決議，要求聲請人 應該在修法表決未果之後，方能符合大審法第五條第一項第 三款規定的聲請要件。該要求是考察抽象規範審查制度保護 國會少數的立法"
10,667,"10 員如果願意疏通程序委員會將議案排入議程，院會即有審查 議案的機會，在本件聲請如果要求少數立法委員盡力未果方 得提出聲請，豈不是要求少數立法委員必須提出他們已經針 對監察院人事同意案，與多數協商，而協商無效，或協商幾 次皆失敗的議事紀錄？立法院內部的協商行為，屬於事實問 題，"
11,504,"11 標準，如果釋憲機關所要求的行為，不是法律能夠明白規範 的溝通行為，而且是由人民的政治活動才能解決的行為，就 是釋憲機關不宜介入的政治問題。本件聲請所涉及的是憲法 權力機關 ， 未經修憲程序 ， 卻實質上遭廢棄 ； 所產生的效果， 是實現憲法目的的主體肢體殘缺。國家機關代表國"
12,463,"12 數不作為所造成，所以本件聲請的審查客體，是整體立法院 的多數對於憲法所規定人事同意權的濫用。之所以稱為對人 事同意權的濫用，因為以不作為的方式，造成積極癱瘓國家 機關運作的違憲效果。如果以單純的不作為解讀立法院多數 對監察院人事同意權的擱置，恐怕是有意對憲政秩序已遭破 壞的"
13,479,"13 為，監察院人事同意權的不真正不作為卻是舉國皆知的事 實，監察院功能完全停頓的違憲狀態，也是不需具備專業憲 法知識即可得知，對於憲法遭受如此明顯的侵害，本院大法 官如果懼怕政治壓力而保持沈默，或迴避不理，甚至特意為 立法院多數開脫，則無異鼓勵立法院多數藉由擱置職權的行 使激化"
14,506,"14 解釋。與該號解釋相比，即可明白「何謂大法官任意解釋聲 請人之聲明」。不同意見顯然沒有公正對待多數意見。 五、不應惡意解讀本件聲請偏袒聲請人 至今立法委員聲請遭本院大法官不受理共四十七件（附 表三參照）。聲請人包括朝野政黨立法委員，自民國 83 年以 來，執政黨與在野黨立法委"
15,529,"15 真正不作為，並沒有嚴詞責難，也尊重立法院擁有周全人事 同意權行使機制的立法權限。 附表一：以機關行為非違憲審查客體而不受理之比例 （製表人：彭文茂 製作日期：96.08.15） 人民、政黨、法人聲請 釋憲之不受理決定 立法委員聲請釋憲之不 受理決定 不受理理由 件數 比例 "
16,695,"16 附表二：立法委員依據大審法第五條第一項第三款規定聲請 釋憲案件之分析（製表人：彭文茂 製作日期：96.08.15） 聲請依據 解釋字號 行使職 權 審查客體 解釋爭點 行使職 權適用 憲法發 生疑義 （以下 皆同） 1. 釋字第 325 號 （立法院[立法 委員洪奇昌等 1"
17,951,"17 聲請依據 解釋字號 行使職 權 審查客體 解釋爭點 3. 釋字第 342 號 （立法委員謝啟 大等 58 人 、 立法 委員林濁水等 56 人與立法委員廖 福本等 60 人聲 請案） 立法權 （憲法 第6 2 條、第 6 3 條） 憲法第 37 條 、 第 72 條 1、立"
