pdf_page,chars,preview
1,1271,"司法院大法官會台字第12 6 4號鐘定意見 一 前 言 李念祖 謹依大院來示， 提出鑑定意見如下： 婚姻與家庭制度乘載著維護人倫秩序、 性別平等、 養育後代等多 樣重要社會性功能， 乃社會形成、 穩定與發展之基礎， 且不論是同性 或異性婚， 均受我國憲法制度性保障1。 結婚應以書"
2,2266,"本案之問題不在配偶是否負有不為婚外性行為之法律義務， 而是 在 於 ， 根據憲法， 國家於民法已設有救濟制度之情形下 （ 請求離婚及 損害賠償、 慰撫金等） ， 得否額外動用刑罰處罰違背配偶忠誠義務之 人 ？ 相關刑事處罰規定之適用， 是否已造成並助長了實質上的社會性 別歧視而應"
3,1052,"罪背後所代表「 家國相通」、「 法入家門」之觀念， 是否與民主自由 憲政體制無所扞格？國家是否有憲法義務停止因刑事法律所鞏固之父 系社會文化， 並且積極破除社會性別歧視現象？ 凡此均是本案的核心 問題。 二傳統禮教思想下的通矣罪 ( 一） 男女有別的禮教與強調身份差等的社會秩序 "
4,1246,"傳統治哲學家國相通， 透過禮教，由上而下， 在 父 子 、 君 臣'兄弟等諸多社會倫理關係之中嵌入絕對的君 （ 父）權 ， 從而 建構身份差等秩序， 以求社會穩定， 鞏固統治關係。 而夫妻關係， 也正處在這樣的身分差等秩序之下； 夫唱婦隨， 男尊而女皁12。 今之論者歸納， 傳統"
5,838,"君子不啻明乎民徼而已， 或以知其一矣 * 男女不辨， 父 子不親； 父子不親， 君臣亡義。 是故先王之教民也， 始 於孝弟。 君子於此一冊者亡所法。 是故先王之教民也， 不使此民也憂其身、 失其冊。 孝 ， 本也 19 • ( 二）出禮入刑：國家用公權力懲罰違反家族父權秩序之人 "
6,1154,"為人所犯的罪行相同， 法律每因行為人及被害者的身分、輩 分 、 性 別 、甚至職業、 族群的不同而差異其罪之適用， 或分別其刑之 重 輕 ， 有其明顯的『 身份秩序』差等 性 。 具體地說， 父尊子卑、 夫尊妻卑， 禮 所 謂 『 尊也、 親 也 、男女有別』 ， 在歷代法律 中"
7,1216,"(192 S f 等版本中 ， 通姦罪的條文均仍承襲維護夫權之精神， 處蜀 「 有夫之婦 舆 人通姦者」 29。 學者認為該等規定乃在傳達「 夫對妻 在於宗法倫理社會重視血統及男尊女皁的根深蒂固觀念 。 」 3 i ( 三 ) 從「 家國相通」到沈家本的法律平權改革 可不守所謂『"
8,1145,"認識到平等思想關係到制度的根本變革， 故下大決心幡然於向慈 禧及光緒呈上奏摺建議廢奴 3 : 方今朝廷頒行憲法， * 奉 諭 旨 ， 不啻三令五申， 凡與憲 法有密切關係者， 尤不可不及時變通。買賣人口一事 * 久為西國所笑， 律例 内 奴牌各條與買賣人口事實相同， 此而不早圖禁"
9,1146,"( 四 ) 從身份到契約： 基於個人平等自由意志締結的婚姻契約秩序 曾主動提案要求刪除處罰有夫之婦與人通姦的條文， 亦有當時之 婦女困體推舉代表請願， 以致於原條文先由「 有夫之婦與人通姦 者」改 為 「 有配偶而與人通姦者」 ， 再 由 「 有配偶而與人通姦者」 改 回 「 有"
10,1637,"屬人義務， 亦即為婚姻契約之當事人始應負擔之義務。 婚姻契約 辠負他方信任而使家室和諧因此破壞， 即屬違反婚姻義務而得請 求民事上的賠償 3 9。 因此， 我國民法下所謂夫妻間「 忠誠義務」乃 外的第三人則是基於婚姻公示性、 對世性， 而負有尊重他人婚姻 契約之義務； 惟此義務與"
