pdf_page,chars,preview
1,534,"司法院釋字第七二八號解釋 不同意見書 葉百修大法官 提出 本件解釋涉及祭祀公業條例對於祭祀公業派下員認定 方式之規範，是否有違憲法保障性別平等之意旨 — 從聲請 受理程序要件之判斷，到實體憲法爭點所涉及如何認定間 接歧視或實質不合理差別待遇之存在、立法者於立法之初 是否即有歧視預"
2,594,"前段規定，排除聲請人繼承其父祖派下員之可能性 ， 以無理 由駁回而告確定。聲請人乃以最高法院上開確定終局判決 所適用之祭祀公業呂萬春管理章程有牴觸憲法第七條保障 平等權之疑義，聲請本院解釋憲法。 一、祭祀公業規約之性質 ，非單純私人間之合意可比 ，應 可作為憲法解釋之標的 （一）"
3,761,"法規範結構之影響 。 私人間之合意行為 ， 固非本院解釋憲法 之標的 ， 但系爭規定透過法律承認祭祀公業規約之效力 ， 其 性質已非私人間單純之合約可比 ， 應具有法律層次之規範效 力 。 多數意見迴避這個問題 ， 逕以確定終局判決係以 「適用」 系爭規定為主要之判決基礎 ， 而"
4,681,"院適用系爭規定之裁判基礎 ， 自應為本院解釋憲法之標的。 二、多數意見 未將祭 祀公業條例第四條第一項後段 、第二 項、第三項 及第五條 等規定 ，以與系 爭規定 有重要關 聯而納入本件解釋之解釋客體 ，為德不卒 （一）大法官解釋 憲法之職責 由於多數意見一方面為迴避直接介入審查"
5,783,"項、第三項 及第五條規定 ，其制度適用上具有 重要 關聯性，應一併納入審查 再者，祭祀公業條例第四條第二項及第三項規定，與第 一項甚至與系爭規定及同項後段規定間之適用關係為何 ， 亦 涉及第四條規範就該條例施行前已存在之祭祀公業 ， 如何認 。 定其派下員之整體制度適用 。 簡言"
6,755,"是依據本院釋字第四五號、第五八０號、第六四 號 、 第七０九號等歷來解釋之意旨 ， 關於系爭規定所涉及之 祭祀公業派下員之認定 ， 其適用上均與同項後段 、 同條第二 項、第三項及第五條規定有重要關聯性，本席認為，均應一 併納入本件解釋審查之標的 。 誠然 ， 多數意見為避免招致"
7,737,"本權利，為聲請人之財產權。依據祭祀公業條例第一條規 定，該條例之立法目的，在於 「為祭祀祖先發揚孝道，延續 宗族傳統及健全祭祀公業土地籍管理 ， 促進土地利用 ， 增 進公共利益」 而設。由於我國之歷史傳統，祭祀公業之設立 由來已久 ， 特別是涉及不同年代法律規範對於祭祀公業之性"
8,750,"應與宗族有所關聯。再者，祭祀公業既以財產為設立之團 ，兩者原則上以派下員之 身分權而衍生以該身分之權利 ， 即參與派下員大會 ， 以議決 體，而為「健全祭祀公業土地籍管理」 ，亦可見實際上祭 規約、業務計畫、預算、決算、財產處分、設定負擔及選任 祀公業之財產，係多以 「土地」 為"
9,663,"嚴格之審查基準（例如釋字第四五二號解釋） ，絕非本件解 釋多數意見如此寬鬆之審查基準。 二、差別待遇構成歧視還是保護義務之不足 ？ （一）侵害與保障是一體兩面 本件解釋多數意見以寬鬆審查基準判斷系爭規定之合 憲性 ， 一方面係因為系爭規定充其量是一中性法律規範 ， 「形 式上」 "
10,723,"憲法保障人民基本權利 ， 都應該是一體兩面—積極與消 極、防禦與給付。基本自由權有積極行使與消極不行使，而 積極行使時 ， 國家有義務建構一定制度確保其行使 ， 否則積 極行使便成為空談 。 平等權保障亦是如此 ， 不僅消極保障不 受歧視或不合理的差別待遇 ， 還要積極地消弭歧視"
11,747,"域之說法 ， 而係透過第三人效力以法律實踐憲法意旨 ， 並非 直接援引憲法規範。誠然，憲法對於人民基本權利之保障， 起於對於國家公權力侵害之防禦，因此，於公行政領域，憲 法具有直接效力，而於私經濟領域，憲法基本權利之保障， 原則上僅具有間接適用之效力，於特定領域始具有直接效 力 "
