pdf_page,chars,preview
1,261,"憲法庭 判決 1 3 判 字第 聲請 立法委員 柯建銘 等 5 1 （姓名及住居所詳如附表 一 ） 訴訟代理人 陳鵬光律師 陳一銘律師 方瑋晨 律師 聲請 行政院 代表 卓榮泰 訴訟代理人 陳信安教授 李荃和律師 賴秉 詳 律師 聲 請 人 總統賴清德 訴訟代理人 孫迺翊教授 蘇"
2,614,"代 表 人 鄭銘謙 訴訟代理人 簡美惠 劉怡婷 上列聲請人 認 中華民國 行使法 增修條文 全部 、 一部 、 刑法第 141 1 規定 ，牴觸憲 法， 分別 聲請法規範憲法審查， 本庭 判決 如下： 主 文 一、 中華民國 正條文及刑法第 141 1 其 立法程序雖存有瑕疵， "
3,665,"（二） 立法院聽取總統國情報告時，無指定國情報告內容之 權，亦無就其國情報告內容，對總統為詢問、要求總統 答復，或要求總統聽取其建言之權。立法院職權行使法 第 15 1 2 3 15 2 1 規定， 及 同條 第 2 政策議題」 規定 部分 ，暨 第 越立法院憲法職權範圍，牴觸憲"
4,647,"密必要等，受質詢之行政院長與行政院各部會首長本 於職權而為相關利益衡量後，對立法委員所質詢事項， 均有權於適當說明理由後，不予答復或揭露相 於此前提下，本項其餘規定部分，始不生違憲問題。 （三） 第 則，自本判決宣示之日起，失其效力。 （四） 第 4 關於被質詢人違反本條第 1 "
5,602,"問題，直接要求其答復 不生 牴觸憲法問題。 （四） 第 料之同時，應就絕無提供虛偽資料具結部分， 定部分， 不生牴觸憲法問題 均逾 越立法院憲法職權範圍，自本判決宣示之日起，失其效 力。 （五） 第 30 1 ， 尚不生牴觸憲法問題。 （六） 第 決宣示之日起，失其效力。 （七）"
6,660,"定議案有重大關聯之事項， 調查委員會 僅涉及相關議案之事項，或未有特定議案 而僅與立法委員職權相關之事項，尚不符合立法院得成 立調查委員會，行使調查權（含調閱權）之要件 於此 前提下， 前開其餘部分之規定， 始不生牴觸憲法問題。 （二）第 關於調查委員會得「要求有關機關 就特定議"
7,670,"（四）立法院依 立法院 職權行使法第 調查委員會，經其他憲法機關主張其有逾越憲法上權限 等情事而表示反對，致生權限爭議者，相關憲法機關自 應盡可能協商解決，或循其他適當憲法途徑處理。協商 未果者，立法院自得依憲法訴訟法第 庭為機關爭議之判決。於上開權限爭議經 商、以其他適當途徑處"
8,649,"之規定，除關於調查專案小組部分 （一）宣告違憲，失其效力 權限範圍，牴觸相關憲法意旨，自本判決宣示之日起， 失其效力 ； 本 條第 3 上開 違憲範圍內之規定部分亦違 憲 ，自本判決宣示之日起， 失其效力。 （九） 第 擬詢問相關政府人員與人民者，應經 議， 且 人民出席調查程序"
9,582,"席裁示同意 。 （十 五 ）第 法，自本判決宣示之日起，失其效力。接受調查詢問 之人員，均得 同律師或相關專業人員到場協助，毋 須經主席同意。 六、 立法院職權行使法關於聽 證 會之舉行部分 （一） 第 ，除調查專案小組部分外， 屬國 會自律範疇，尚不生牴觸憲法問題。 （二） 第"
10,582,"（六） 第 範圍 ，違 反憲法權力分立原則，自本判決宣示之日起，失其效 力。 （七） 第 59 5 67 2 府人員到會備詢義務之範圍，並違反憲法權力分立原 則，自本判決宣示之日起，失其效力。 （八） 第 本判決宣示之日起，失其效力。同條第 7 效力。 七、刑法第 141 1 ，"
11,750,"難行，依憲法增修條文第 3 2 移請立法院覆議。立法院於同年 表決結果贊成維持原決議者，超過憲法增修條文第 2 2 加註意見後，於同年 法條文。 【 2 】 一、聲請人一【 3 】 聲請人一立法委員柯建銘等 51 爭增修條文計 瑕疵，應屬違憲，不生其立法效力；系爭增修條文第 1 "
12,685,"條之 、第 旨、侵害人民訴訟權，並與正當法律程序有違；又系爭刑法條 文不符刑法最後手段原則，對公務員課予過高之義務，逾越比 例原則之要求，聲請法規範憲法審查。 【 4 】 二、聲請人二【 5 】 聲請人二行政院為行使職權，認系爭增修條文第 1 、第 1 、第 有違憲疑義，聲請法規"
13,737,"條、第 50 1 51 原則，及釋字第 式、法律明確性原則、正當法律程序原則及比例原則等要求。 6. 系爭增修條文 第 67 號、第 613 627 1 9 112 7. 系爭刑法條文保護法益不明， 不具憲法上重要之公益目的；該規定之構成要件並違反法律明 確性及刑罰最後手段性等原"
14,624,"或具結，就違反者除部分設有罰鍰規定外，並明定其效果為不 予審查，使立法院得藉不適時行使同意權或消極不行使同意權 之方式，致憲政機關不能行使職權 之完整，逾越立法院人事同意權之界限，與憲法所定機關忠誠 義務有悖，亦侵害總統之人事主動形成權。 系爭增修條文立 法過程具明顯重大瑕疵，有"
15,821,"一、受理要件之審查 【 1 6 】 （一） 聲請人一部分 【 1 7 】 1. 審查依據 【 1 8 】 按立法委員現有總額四分之一以上，就其行使職權，認法 律位階法規範牴觸憲法者，得聲請憲法庭為宣告違憲之判 決，憲法訴訟法 （下稱憲訴法） 第 ，此即立法院 少數委員之聲請法規範"
16,811,"時之 組成 者，基於 屬立法院之職權，立法委員如 認 該法律位階法規範牴觸憲法規範，以排除其違憲疑義 從而此種情形下立法委員 聲請法規範憲法審查前，應先 違憲疑義之法律 相關法規範修正提案遲未獲處理等） ，始得為之 （釋字第 03 解釋 意旨參照） 。 如立法委員 未先行提案，修"
17,775,"等 因立法院議事運作方式 不應歸由少數立法委 員承擔。是否符合其 所聲請之法規範 決 時 ， 均未表示贊成 聲明，及表決結 果 舉手 贊成人數與聲請人 一之 人數 ， 綜合 認定 之。 【 2 3 】 依此，聲請人一於聲請書中明確表明 其於上開法律 之 三讀程序均持反對之立場，且"
18,760,"爭刑法條文 由，是本庭就聲請人一之聲請 受理 部分， 僅就上開條文 為 實體審查。 【 2 7 】 （二）聲請人二 至四 部分 【 2 8 】 1. 審查依據 【 2 9 】 按國家最高機關，因本身或下級機關行使職權，就所適用 之法規範，認有牴觸憲法者，得聲請憲法庭為宣告違憲之判"
19,761,"院職權行使法之規範內容， 職權及 其行使密切相關 此外， 所有憲法機關自同受其拘束，其 如 實質 影響 其他憲法機 憲法 上 職權之 ， 或對 其他憲法機關 其成員 為或不為一定行為 ， 就受其 而言，其 到違憲之 制， 而有聲請本庭審查相關規定 之客觀利益。 【 3 1 】 2"
20,738,"負責之表現，無礙聲請人二 上開條文牴觸憲法之確信， 依憲訴法第 7 ， 向本 庭聲請法規範憲法審查，以 併此 指 明 。 【 3 5 】 至聲請人二就職權行使法 第 、第 條之 、第 46 、 第 0 1 、 第 1 2 5 、 第 59 2 、第 59 3 1 及 第 59 之"
21,757,"第 、 第 及第 ，聲請法規範憲法審查 部分，經 查 ，上開 項，其規範效力亦不及於聲請人三，該等規定尚難謂與聲請人 三 之行使職權有涉，自非 聲請人 部分之 聲請 核 與 前揭聲請要件不合， 第 3 2 1 【 3 9 】 ( 3 ) 聲請人四部分 【 4 0 】 聲請人四監察"
22,760,"受立法院調查 之 調查報告或期中報告 拘束 之規 定 。 聲請人四作為國家最高監察機關，為行使其憲法所賦予之 彈劾、糾舉、糾正、審計權，得依憲法第 95 96 規定 行 使調查權，乃專屬由其行使之權力，其與立法院於憲法之職能 各有所司，各自所行使之調查權在權力性質、功能與目的上並"
23,613,"為全案相關機關，均 庭 另依聲請人與立法院之推薦，指定 4 專家學者，提出專業意 見書， 並 參與言詞辯論。 【 4 6 】 各 聲請人及相關機關之 旨如附 ，並詳見 方 言詞辯論意旨狀與補充書狀。 【 4 7 】 本庭斟酌各聲請人 本判決。 【 4 8 】 參、受理及審查標的 "
24,817,"一 、關於 立法 程序 部分 【 5 8 】 （一）審查原則 【 5 9 】 1 . 立法院議決法律案， 應遵循 公開 透明 與 討論 原則 【 6 0 】 基於憲法第 2 自人民， 由 憲法分配於 規定分 別行使 ， 以 遂行 民主 憲 政 國家之 原則 得以貫徹 其 憲法職權"
25,802,"公開透明原則要求立法 之過程、方式 標的 與 表決情 形 等 ， 應 盡可能 使人民得以 向民意代表 ，並得透過媒體與公共論壇，參與 階段之 立法政策與內容之討論 公民意見 於國會 。 就此而言，公開透明原則乃民主 與落實憲法國民主權原則 之必要前提 （釋字 第 499 解釋意旨"
26,796,"立法委員共識度較高之法案） 規定進行議案之討論。 【 6 4 】 公開透明與討論原則作為立法程序所應遵循之憲法要求， 立法者立法時，應盡最大可能 惟 基於 民主原則民意政治與責任政治之原 ， 國會 立法程序 已適當遵循 仍 應由人民 國會議員 於 民主問責 ，包括選舉、罷免等政治"
27,804,"依權力分立之原則， 原則上 法律經立法院移 送總統公布 性 ， 其立法程序是否符合議事規範之要求發生爭議時， 觀存在之事證（例如立法院議事紀錄） 即可認定 牴觸憲法之明顯重大瑕疵， 失效外， 事項 （釋字 第 3 42 及 第 4 9 解釋意旨參照），尚非 本庭應介 入審查之範圍"
28,798,"民黨 （下稱國民黨） 討論， 逐條討論階段，除 職權行使法 第 2 及刑法藐視國會罪 修正草案 係全部提案、修正動議及再修正動議均予宣讀外，其餘條文 修正程序 主席均指示 由 委員依登記順序發言，經 畢，即 依 國民黨團 提案 ， 停止討論，逕付表決， 依贊成 者舉手表決方式，表"
29,766,"表決意向， 就此 觀之 ， 其立法程序 有瑕 疵， 惟 尚 難謂 已 完全悖離公開透明原則。 【 7 1 】 再 就憲法討論原則而言， 立法程序 觀之 ， 系爭增 修條文 及 系爭 刑法條文於第二讀會程序，形式上仍有 之 廣泛討論與逐條討論 亦 尚 難 謂已完全悖離憲法討論原則之"
30,818,"由人民直接選舉產生之立法委員所組成之立法院，同屬具有直 接民主正當性基礎之憲法機關 基於民主 任政治之要求， 與立法院 均 應 各自對人 民 負政治責任 ， 其彼此 間 並無 憲法上之 權力從屬關係 。 【 7 8 】 就 總統與立法院 依 其憲法所定職權 生 之 權力監督與制 "
31,811,"關相互尊重原則 與立法院協商 ，尚非立法院得片面決 定 者 。 此外，立法院依上開規定，固得與總統 協議 後 ， 於 集會時 聽取總統國情報告，惟總統既不對立法院負責，則立法 院對總統 指定 報告 內容之權，亦無就其 內容 ， 對總統 並要求總統答復， 要求 總統聽取 其建言之權"
32,773,"立法院送交國情報告書及赴立法院進行國情報告 ，乃屬 以法律要求總統為憲法所無之特定行為，其立法已逾越立法院 憲法 職權 範圍 ，牴觸憲法權力分立原則 。 【 8 5 】 2. 職權行使法第 2 【 8 6 】 本條 明定： 「 （第 1 立法院得經全體立法委員四分之一以 上提議，"
33,748,"總統 為 國情報告之 、範圍 屬 總統 本於 職權 得 自 行決定之事項， 至立 法院 為國情報告 係被動應邀 主動咨請而有不同 是本 項 規定 有關「就其職權相關之國家大政方針及重要政策議題」之 限制部分 【 8 】 3. 職權行使法第 4 【 8 9 】 本條 明定： 「 （"
34,693,"取總統國情報告之權，總統並無至立法院為國情報告之 憲法義務，立法院亦無聽取總統國情報告之憲法義務。 總統是否、何時、以何等方式使立法院得聽取其國情報 告，及其國情報告之主題與涵蓋範圍等，總統得本於其 憲法職權而為審酌決定，並基於憲法機關相互尊重原 則，與立法院協商後實施，尚非立法"
35,812,"所要求之政治責任。政治責任最終即是民意責任，因此，行政 院對立法院 同 ，惟最終均是對民意負責，不同於 現爭議時得 由法院 審查、判斷 之 法律責任。 【 9 7 】 行政院雖應依憲法所定方式，對立法院負責，惟非謂行政 院作為憲法機關，與立法院間 有 本質性之 法院亦無 於 行政"
36,806,"提出施政方針及施政報告，因此立法委員對行政首長之質詢亦 具有 直接 監督政府施政之重要功能，乃 立法權對行政權 監督與制衡之 憲法上職權所必要之權力 。 【 9 】 立法委員行使質詢權之對象，限於行政首長，不包括得 立法院開會時 部會首長（憲法第 。 其 得 行使質詢權之 事物 "
37,855,"限， 從而 違反行政院應對立法院負責之憲法要求之虞 。 【 1 0 1 】 惟 另一方面， 基 於維護憲法權力分立制度、 等憲法上極重要公益， 應之限制 亦 即 被質詢之行政首長 立法委員 質詢 ，於提供充分理由說明後 有權不 答復 ，或不予揭露 相關資訊。 於此範圍內，立法委員"
38,748,"立法委員 質詢權與行政首長之 、 答詢義務 固為憲 法 所 明定， 且為行政院對立法院負責方式 ， 惟 立法院與行 政院 既 為憲法權力分立制度下之平行憲法機關，各享有憲法所 賦予之職權，享有立法權之立法院不得制定 法律改變 而憲法 就 立法委員質詢權之行使， 制定 法律 ， 單"
39,781,"憲法第 有其適用。 不受外 部干涉之人員 負 有應邀到委員會說明之義務（釋字 第 解釋意旨參照） ；非 有上述正當理由 （見本判決第 3 至 第 05 ， 即 應就 立法委員之詢問，為適當且充分之說明。惟於 政府人員，與於院會受質詢 ， 均 係負擔政治責 任 ，而非法律責任， 立"
40,795,"程 內完成 登記發言之黨團或立法委員之質詢 行政 首長 之答 詢，本項前段 被質詢人就質詢之答復，不得超過質詢範圍 之規定 ， 僅屬 就 答詢範圍之限定， 會，不生牴觸憲法問題。 【 1 3 】 至本項規定所增 之「不得反質詢」規定 ， 係禁止被 質詢人，即行政首長，為「反質詢」"
41,804,"本項 規定： 「 被質詢人除為避免國防、外交明顯立即之危害 或依法應秘密之事項者並經主席同意者外，不得拒絕答復、拒 絕提供資料、隱匿資訊、虛偽答復或有其他藐視國會之行 為。」 其中 有關 「並經主席同意」 係 就 行政首長 憲法上之正當 由， 對 立法委員之質詢不予答復或不揭露相"
42,825,"性之資料取得權限；立法委員尚不得藉由其對行政首長行使質 詢權之機 ，要求行政首長應對質詢委員個人提供其所要求之 公務資料。另一方面，立法院 得 經院會或委員會之決議，要求有關機關就議案涉及事項提供參 考資料，必要時並得經院會決議調閱文件原本， 立法院之參 考資料獲取權及文件調閱權"
43,794,"所列除外 事由並經主席同意外，不得 為 拒絕答復 等 4 或有 其他藐視國會之行為， 而言，如被質詢之行 政首長得引據除外事由並經主席同意，即仍得為某 「藐視國 會之行為」 ，不在禁止之列 以觀 ，本項所稱「其他藐視國 會之行為」 ， 充其量 僅能 針對 受質詢之行政首長 質詢所"
