pdf_page,chars,preview
1,527,"釋憲聲請書 壹 、 聲請解釋憲法的目的 聲請人審理臺灣臺北地方法院（ 以下簡稱臺北地院 ） 108年度簡 上字第114號妨害婚姻案件， 對於應適用的中華民國刑法第239條通 (相 ） 蟲罪（ 以下有關通蟲■罪用語， 均包含通志、 相蟲■罪 ） 規定， 認 定有牴觸憲法的疑義。 聲"
2,545,"臺北地院以108年度簡字第1173號受理後， 獨任庭法官認定被 告成立通蟲罪， 遂予以科刑（ 如附件二所示 ） 。 臺北地檢署檢察官不 服該刑事簡易判決的量刑而提起上訴， 經臺北地院合議庭以108年 度簡上字第114號受理在案。 被告於警詢、 偵訊及臺北地院108年7 月 2 日"
3,675,"觸發生疑義而須予以解釋時， 由司法院大法官掌理， 此觀中華民國憲 法第171條 、 第173條 、 第78條及第79條第2項規定甚明。 而 「 法官須 超出黨派以外， 依據法律獨立審判， 不受任何干涉」， 中華民國憲法 第80條也有明文。 據此， 依法公布施行的法律， 法官應以之"
4,619,"立法的瑕疵， 現行憲政制度授予法官聲請釋憲的權限， 使法官致力於 協助立法者建立一合憲的規範環境， 這關係司法權與立法權的平衡， 非僅為個案的救濟， 亦不以個案救濟為主要目的。 2亦即， 釋憲程序 目的不在於保護訴訟當事人的主觀權利， 釋憲機關基於「 裁判重要性 原則」， 對於原"
5,623,"法律位階法規範， 依其合理確信， 認有牴觸憲法， 且於該案件之裁判 結果有直接影響者， 得聲請憲法庭為宣告違憲之判決。 」 由此可知， 釋字第572號解釋在釋字第371號解釋的基礎上， 加上「 顯然於該案件 之裁判結果有影響者」的要件， 則依其文義解釋， 如果承審法官依其 確信違"
6,674,"史發展來看， 無論中西社會， 法律與道德之間的關係， 始終相伴相隨； 而通姦行為究竟是屬於應予以刑罰制裁， 還是僅由道德非難即可的行 為 ， 則隨著社會變遷而有不同的處置方式。 以西方歐陸社會而言， 基於基督教傳統的道德觀， 傳統上禁止非 婚性行為， 強調婚姻裡才能有性行為， 英"
7,718,"夫矣之爭最後由「 禮教派」獲勝。 41〇〇多年來， 這2個具有高度道德 性的法律雖然已不存在， 但夾雜傳統道德法律化遺緒的通姦罪（ 包括 相姦行為 ） ， 迄今則仍未廢除。 民國成立後， 删除《 大清新刑律》中關於國體不符各條後， 公布 施行《 暫行新刑律》 。 其中關於通姦行為"
8,672,"義務， 而與配偶以外之人發生性關係的行為是否予以犯罪化， 成為近 幾年來臺灣社會備受爭議的罪名。 7 三 、 本件應據以審查的憲法原則與審查基準 司法權從事違憲審查時， 在有關基本權利限制的審查方面， 一般 可分為形式審查、 内 容審查， 前者為法律保留原則的要求， 後者則涉 及"
9,706,"審查被刑罰規範指述為犯罪的行為是否侵害法益， 以及究竟侵害何種 法益， 而行為是否具有法益侵害性， 正好等於是否具有需罰性； 「 應 罰性」則是指入罪的妥當性， 是在檢驗動用刑罰的必要性， 也就是審 查動用刑罰的手段， 以達到保護法益的目的， 是否符合比例原則。 1 ( 1 也 "
10,665,"依照學者的研究， 司法院大法官解釋有關違憲審查的憲法原則與 審查基準，自釋字第414號解釋開始繼受德國的憲法上比例原則， 比 例原則成為中華民國憲法第23條的原則； 同時， 大法官平行繼受美國 三重審查基準理論與德國審查密度理論， 並將這二個理論連結適用到 比例原則， 因而整合出"
11,842,"立法目的必須是追求「 重大迫切利益」， 手段與目的之間必須具有必 要。 過去司法院大法官在處理涉及同一基本權利限制時， 所採取的審 查基準未必一致， 到底是逐案權衡還是類型化操作？應該繼續以比例 原則作為共同適用的審查依據？或自始採取類型化的方式， 適用多元 的審查基準（ 例如三"
12,634,"所述 ） 有關的解釋中， 早期大法官在釋字第554號解釋中， 是採取寬 鬆審查基準， 僅作低密度地審查； 其後在釋字第603號、 666號與第689 號等解釋時， 則都採用中度審查基準。 是以， 聲請人認為本件通姦罪 行為條款違憲與否（ 需罰性， 指保護法益的審查 ） ， 應採取"
13,623,"性尊嚴相區隔」。 1 4 是以， 通姦罪制裁條款既然以有期徒刑作為唯一 刑罰， 即攸關人身自由的限制， 其違憲與否（ 應罰性， 指審查動用刑 罰的手段， 以達到保護法益的目的， 是否符合比例原則 ） ， 聲請人認 為自應採取嚴格的審查基準。 四 、 通姦罪以國家權力限制人民的性行"
14,629,"竟是侵害了公共道德還是私人道德？造成什麼樣的社會損害性？ 侵 害誰的法益？將通姦論以罪刑， 是否有助於婚姻家庭的維持？配偶一 方與他人通姦， 是否會損害另一方的「 名譽」？以上種， 一直是通 姦罪引發的需罰性問題。 以下一論證說明。 首先， 通姦罪行為條款違憲與否， 應採取中度審"
15,662,"婚姻與家庭受憲法保護的 内 涵立基於個人自主選擇透過結婚、 共同生 活而實現人格與生命， 這是自我決定的價值展現， 尚不能擴大推論憲 法保障已婚者不受情感背叛及性忠貞背叛的自由， 也就是通姦配偶的 他方配偶沒有「 免於配偶出執」 、 「 免於他人與配偶相姦」的憲法上基 本權利。 "
16,595,"為通姦罪僅是道德法律化的結果， 即難以認為所追求的目的攸關重大 公益； 何況立法者希望藉由刑法的威嚇、 懲罰所生痛苦， 阻止婚外性 行為對於婚姻關係的傷害， 反而經常是對個案中的人際關係有害無 益 ， 甚至是帶有負面效果。 是以， 通 （ 相 ） 矣行為顯然不具有「 應刑 罰性」"
17,750,"乎憲法價值的特定重要法益， 並認為施以刑罰有助於目的之達成， 又 別無其他相同有效達成目的而侵害較小的手段可資運用， 雖得以刑罰 規範限制人民身體的自由， 但刑罰對人身自由的限制與其所要維護的 法益， 仍須合乎比例關係， 已如前述（ 參 、 三 ） 。 而當夫妻一方不履 行較低位"
18,704,"告訴， 如此不僅無法產生嚇阻作用（ 夫預期妻會原諒而屢次再犯 ） ， 而且形成性別不平等的法律效果； 更因通姦罪法定刑為有期徒刑1年 以下之罪， 判處有期徒刑6月以下的高達99%， 且舉證困難， 加上當事 人撤回告訴的情況（ 每年因撤回告訴而諭知不受理判決的比率超過 30% ) "
19,668,"方互負忠誠義務」等意旨。 然而， 由本號解釋意旨可知， 仍不脫傳統 的家庭倫理觀念， 欠缺明確的論理基礎， 既未能深入考慮時空變遷因 素及國際立法趨勢， 又在面對社會有明顯爭議的情形下， 缺乏實證數 字及佐證資料， 逕以既抽象又短淺的解釋理由書宣告通姦罪合憲， 可 謂是在臺灣憲法"
