pdf_page,chars,preview
1,678,"釋字第七○一號解釋協同意見書 我甚至常在想，每一個掌握權力的達官顯要們，或者較有 能力較幸福的富裕家庭，家中都應該有像你一樣的孩子，這 1 絕不是詛咒，而是一個深切的祝福，這樣他們才能體會，他 們手上的權力或資源可以創造多少弱勢者臉上的微笑。他們 才會知道，沒有好運用手上的力量造"
2,687,"提出協同意見書如次，以求憲法解釋在方法論與邏輯性上的 妥善與完整： 一、 本案應援引比例原則，而非平等權 （一）本案援引平等權之失當 本號解釋的原因事實及法理爭議 ， 實和本院釋字第六九 四號解釋十分接近。兩個案子都涉及到所得稅法第十七條所 2 規定的所得稅寬減額的計算及其範圍。"
3,746,"至於弱勢家屬有無平等要求獲得扶養人的扶養 ， 且立法 者應以租稅優惠予以保障？顯然此立論也不能成立。弱勢家 屬之受扶養權利，已見諸於民法之規定，如果在諸多順序扶 3 養義務人中，排序較後的扶養義務人，並無依扶養權利人之 意願而承擔起強制扶養之義務，此即無公平受扶養之權利問 題。」"
4,774,"量眾多龐雜，而稅捐稽徵機關人力有限，逐一查證不易，系 爭規定為使稅捐稽徵機關正確掌握醫藥費用支出，考量上開 醫療院所健全會計制度具有公信力，有利稅捐稽徵機關之查 4 核，而就醫藥費申報列舉扣除額須以付與上開醫療院所者為 限始准予減除。」這段說明，堪稱公允。 同時，亦可斟酌明確性與"
5,725,"公保醫院之義務；第二，實施「強制改善」之政策：所有會 計不良之醫院，其支付之醫藥費憑證，納稅義務人仍可享受 租稅優惠。但稅捐主管機關亦可個案認定、政府亦應採行督 1 。 1 可參見本席在釋字第六八二號解釋所提之不同意見書及釋字第六九四號解釋之協同意見書之 闡釋。 5 促該醫院改善"
6,752,"如果涉及租稅政策優惠，且可能涉及平等權時，特別像 本號解釋原因案件，乃對於「醫院屬性與現狀」所為不同的 差別待遇，正是典型的 「因事而異」，就不必適用比例原則。 易言之，如本號解釋要運用平等權來審查，只能為輕度 審查 ， 而不能使用嚴格審查 ， 恐怕也就導不出違憲的結論也 。 但"
7,1030,"顧的機會，自亦不會產生原因案件之爭議。但擺在國人眼前 的事實是：依據行政院主計處統計，民國九十九年我國需要 2 。除床位少外，在療養院 長照所費不貲，以及擔心其長照品質，都是我國目前有長照 居家照顧之老人（六十五歲以上），約有三十一萬人。但同 時，全國合格的護理之家，共三百五十一"
8,709,"性原則」適用，即牴觸比例原則也。 二、 本號解釋的法益保障 （一）本號解釋涉及生存權保障乎？ 本號解釋多數意見認為長照之醫藥費 ， 不得獲得寬減額 的優惠乃侵犯受長期照顧者之生存權。並引述本院釋字第六 九四號解釋理由，作為立論依據 （解釋理由書第三、四段）。 此見解當值得檢討。 "
9,861,"定，而宣告該法律為違憲，勢必引起更多的訴訟也！其將帶 給法律與司法無窮的負擔也。 對於直接提到的 「扶養扣除額」 的本院釋字第六九四號 解釋，都無庸論及生存權，那麼本號解釋所涉及到的長照醫 4 。 （二）應確定人民擁有醫療人權及健康權 如果原因案件不是涉及生存權之問題 ， 那何種"
10,828,"於初起之病不予善療，不免容易小病成大病，短疾成久病 矣！所以本號解釋之自我侷限，於理殊欠長遠考量！此外， 本院過去解釋也多不受限於「原因案件」，最明顯的為不久 前作出釋字第六九四號解釋，對於夫妻強制合併申報所得規 7 。 妥善建立國家的醫療體系，猶同建設一套完整的居住、 工作、社"
11,750,"權利所採取之步驟，應包括為達成下列目的所必要之措施： （四）創造環境，確保人患病時均能享受醫藥服務與醫藥 護理。」，顯然已經將醫療人權，確定在實證法規之中。 因此，吾人更可以名正言順地承認我國法律體系中，已 經增加了一種新的人權，多數意見何不利用本號解釋之機 1 會，將醫療人權列"
12,724,"支出，豈可不回饋至替國家簡省經費之家長身上乎？ 因此，具有高度法益價值的家、人倫秩序，以及牽涉到 居家長照者的健康權利、以及生命權，都具有比國家租稅利 益更大的份量，也比防衛租稅利益所產生的防弊制度，具有 12 更高的優先性。這些重量級的法益判斷因素，集合起來後， 都有理由可以賦"
13,847,"故在我國現在還未真正進入高齡化社會前，國庫仍有若 10 干實力能夠未雨綢繆地黃金時期 ，吾人是否應當要趕緊構 建一個符合人性需求的長期之健康與醫療照顧制度？ 當一個家庭出現一個需要長期照顧的家人，不論是老人 或是青少年，都是對於一個家庭殘酷的考驗。對此，我國著 1 。」 本號解釋"
14,366,"多數意見未能「沈重」的課予立法者從速檢討的立法義務。 重讀陳長文教授宏文，尤其是最後一段之對「有權力不好 運用，來改變現狀者」的沈痛呼籲，連收入及社會地位都在 我國社會居金字塔頂端的陳教授，都已有此非常之負擔，何 況其他千萬僅有限收入，徘徊在小康邊緣的「升斗小 十九日函送立法院審"
