pdf_page,chars,preview
1,813,"鑑定意見書 張文貞1 交大科法學院教授兼院長/臺大法律學院教授 2020/0 3 /27 一 、 刑法第23 9 條部分 - 1 二 、 刑事訴訟法第23 9 條但書部分 - 10 三 、 結論 - 13 司法院大法官為審理會台字第12 6 4號等聲請解釋案， 其中關於刑法第2 "
2,1226,"婚自由， 包含『 是否結婚』暨 『 與何人結婚』之自由。 該項自主決定攸關人格健 全發展與人性尊嚴之維護， 為重要之基本權 ( afundamental right) ， 應受憲法第22 條之保障」 。 3 此外， 大法官也曾於司法院釋字第5 6 9號提及： 「 有配偶而與人通 "
3,2000,"197 2 年 ， Eisenstadt v . Baird 案延續並擴大了 Griswold 案的見解， 認為憲法 障範菌。 在 199 2 年 Planed Parenthod of S outheastern Pa . v . Casey 案中， 最高法 2 條的保障範圍，"
4,3209,"準行動， 將破壞自我價值決定而無法完整發展人格。 1 3 在 200 3 年 Zowrewce d a / . v. T&r as 案中， 法院更明白指出， 國家對於性行為的懲罰涉及到人類在「 最私密 的地方 」 （ the most private of places , th"
5,2223,"訊 ， 不得對外揭露。 揭露個人私密或親密領域的資訊是否構成對隱私權的干涉， 必須將個人主觀 感受納入考量。 將個人私密領域的相關資訊公開而導致其難堪， 使個人遭受公眾 議論， 當然構成了對隱私權的侵害， 例如： 公開一個人的裸照、 個人物品 （ 日記、 信件等） 、 性生活、 "
6,792,"法第2 3 9條是否合憲的這個問題上， 就必須直接面對婚姻權及隱私權這兩個基本 權的競合與衝突， 並予以權衡。 如前所述， 隱私權的保障範圍， 包含個人生活私密領域免於他人侵擾、 及其 自主決定權。 從隱私權所保障的私密及親密關係來觀察， 其保障範圍可區分為私 密 性 （ 與第三"
7,1500,"侵擾及個人資料之自主控制」 。 22國家要能通過憲法的檢驗來對隱私權加以限制， 必須基於「 特定重大公益之目的」2 3 ， 且其手段必須「 與重大公益目的之達成， 具有密切之必要性與關聯性」 。 24從 而 ， 刑法第2 3 9條對隱私權侵害是否合憲的 審查， 必須提高審查標準。"
8,2272,"自屬重大公益。 不過， 以刑罰手段處罰婚姻外性行為， 是否真能有助於婚姻權的 保 障 ， 且具婚姻權保障之間有實質關聯， 顯有疑問。 憲法上所保障婚姻權的本質， 是肯認兩個具有平等人格尊嚴的主體間依其自 由意志形成具有親密性及排他性的永久結合關係。 27在這樣自由結合的親密性 及"
9,1840,"如前所述， 透過刑法來處罰婚姻外性行為， 是否能達到維繫婚姻、 保障憲法 上的婚姻權的目的， 在手段及目的之間具有實質的關聯， 頗有疑問。 更重要的是， 刑罰作為國家所能使用的最嚴苛的強制工具， 為了執行婚姻間的性忠誠義務的要 求 ， 透過國家權力的行使不管是從其訴追、 審理到後"
10,1117,"因此， 刑法第2 3 9條通姦罪的規定， 在性別不平等的現實中， 女性持續面臨 該條文適用上的差別待遇， 並侵犯其尊嚴、 隱私與平等受憲法所保障的重要基 本 權 ， 違反憲法第7 條保障的性別實質平等。 ( 三） 司法院釋字第55 4 號有無變更解釋之必要？ 婚姻權及婚姻自由， "
11,1242,"定 。 實務見解認為， 刑事訴訟法第2 3 9條但書特別規定的立法目的， 「 乃告訴人 常有本於夫妻之情義， 對於配偶有所宥恕者， 而對相姦者則未必然， 若一併使其 撤回之效力及於必要共犯之相姦者， 實有乖人情， 故設此例外規定。 換言之， 告 訴人得以單獨對通姦之配偶撤回告訴，"
12,1193,"以對已經離婚的配偶來說， 只能選擇同時告前配偶及相姦者， 或同時不告。 3 7不 過 ， 無論婚姻關係存續與否， 都可能有前述實務見解所稱「 告訴人常有本於夫妻 之情義， 對於配偶有所宥恕者， 而對相姦者則未必然」的情形； 亦即， 不論是否 離婚， 都有可能發生有願意原諒配偶 （"
13,948,"往有女性多於男性的結果， 具統計學上的顯著性別差異。 40如此一來， 刑事訴 訟法第2 3 9條但書規定， 不但沒有對相姦人及其他告訴乃論之罪的被告做合理差 別待遇的基礎， 更實質上造成了針對女性相姦人的歧視， 不但與違憲法第7 條性 別實質平等的保障有違， 也嚴重侵害其等受憲法"
