pdf_page,chars,preview
1,868,"釋字第 4 黃瑞明大法官 提出 本號解釋支持最高行 政法院 系爭決議 之見解，認為 進口 人填 具一份進口 報單 申報進口稅、貨物稅及營業稅 ， 如未據 實 申報， 致 逃漏進口稅、貨物稅及營業稅， 係數行為 ， 依各 該稅法 處罰鍰，並 併 合處罰， 與法治國 一行為不二罰之 "
2,710,"行政罰法 第 「 一 行為違反數個行政 法上義務規定而應處罰鍰者，依法定罰鍰額最高之規定裁處。 但裁處之額度，不得低於各該規定之罰鍰最低額 。 」 另同法 第 者，分別處罰之。」二者適用之區別，即在於系爭事實是屬 「一行為」或「數行為」。 行政罰法 第 之立法理由 ， 根據行政院"
3,829,"二、行政罰法第 ， 應參考本院釋字 第 （一） 行政罰法第 503 公報第 本院 釋字第 解釋 既為制定 行政罰法第 依據 ，則釋字第 釋即應為探討該條 適用 範圍 的 重要參考 。 釋字第 主旨 說明行為如同時 符合行為罰與漏稅罰 之處罰要件 時 ， 不 得重複處罰。違反作為義"
4,976,"釋字第 解 釋 認為 營業稅法對營業人違反作為 義 務之行 為課處行為罰並不違憲 。 另 本院釋字第 稅法對 扣繳義務人已依法扣繳稅額，但未於法定期限前按實 填報或填發扣繳憑單者，處以 行為罰之規定，並不違憲 。 釋 字第 與第 對於營業人已繳納其應納稅額 之情形下，行為罰仍依應"
5,671,"民國 釋字第 ， 明文指出行為 如同時構成行為罰及漏稅罰之處罰要件時，則不得重複處罰， 故釋字第 解 釋 實 已 總結並 同時 補充釋字 第 3 37 解 釋 ， 對於行為罰與漏稅罰不得重複處罰 作出結論。 對於釋字第 解釋 所稱 「 行為」之意涵，必 須由其作成 之歷史脈絡理解"
6,680,"租稅義務之行為」 ，行政罰法第 係參考釋字第 解 釋 而制定， 所稱之一行為 亦應循此脈絡加以 理解 ，方符合 立法理由所稱之「一事不二罰」原則 。 （三） 系爭決議與本號解釋均未完整理解釋字第 之意涵。 系爭決議 於會議提供討論 之甲說 （主張應予併罰） 引用 釋字第 違反租稅"
7,602,"參考釋字第 係 適用於違反各種行政法上 義務而受處罰之情形，而非侷限於稅法，更未侷限於稅法中 之行為罰與漏稅罰之適用問題，故釋字第 「同一違反租稅義務之行為」 之概念，於多數漏稅罰之間亦 有其適用。 三、 系爭決議中 違反三個稅法上義務之行為 ， 實為 同一違法 事實： 本號解釋"
8,701,"（二） 系爭決議 範圍 包括因逃漏貨物稅而應處罰鍰者，故逃 漏 貨物稅情事仍屬本號 解釋範圍。 系爭決議認貨物稅條例第 32 海關緝私條例第 「其他違法行為」 實質 上為三個申報行為，而非 一行為 。然而本席認為就法條構成 要件而言，二者實指同一違法事實。 （系爭決議僅討論海關 "
9,705,"（四） 另 行政罰法第 規 之立法理由指出該規定係參考 刑法第 之規定 ， 則探討行政罰法第 24 中有關 「行為」 之內涵自亦得參考 刑法 第 有關 「行為」 之概念 ，而包括 「自然一行為」與「法律上一行為」。對「行為數」之評價 應包括對 行為本身為觀察。按進口稅、貨物稅及營"
10,679,"評價上應視為一行為，而得適用行政罰法第 之規定從 ㄧ重處斷 。 （五） 系爭決議與本號解釋均以合併申報只是為了 簡化稽徵 程序及節省稽徵成本，於不同欄位申報 其為 行為 人 同一違法申報貨品價格之行為，在海關緝私條例、貨物稅 條例及營業稅法規定之構成要件相同，其稅額 計算行為連續"
11,701,"其實是指同一違法事實 ，已如前述。 又不同之行政法規必有 不同之立法目的，若以 行為人所違反之數個行政法規各有不 同之目的為理由 ， 而排除行政罰法第 24 之適用 ， 則 行政罰 法第 將沒有適用之餘地。 行政罰法第 既係參考刑 法第 想像競合犯 之規定而制定。 而刑法第 一 "
12,682,"斷行為數 應參考的標準之一 ，但若 違法行為屬同一事實，即 不應再就 其同時 違反不同行政管 制 目 的而定為多數行為 。 綜上， 本席認為 就系爭違反三個稅法規定 之事實 ，自 年開始討論行政罰與漏稅罰能否併罰 （釋字第 327 、 337 、 356 號解釋） ， 89 50"
