pdf_page,chars,preview
1,579,"釋憲聲請書 壹 、 聲請解釋憲法的目的 聲請人審理臺灣桃園地方法院（ 以下簡稱桃園地院 ） 108年度桃 原簡字第296號妨害婚姻及家庭案件， 對於應適用法條即中華民國刑 法第239條 通 （ 相 ） 姦 罪 （ 以下有關通姦罪用語， 均包含通姦、 相姦 罪 ） 規定， 認定有牴"
2,544,"本院以108年度桃原簡字第296號受理後， 認不宜以簡易判決處 刑 ， 改依通常程序審理， 並經本院合議庭以109年度原易字第7 號受 理在案。 被告陳0 0 、 邱0 0 於偵訊中， 分別對於前開被訴通姦罪、 相姦罪嫌均坦認不諱， 並有告訴人余〇 〇證詞及徐0 0 婦產科診所出"
3,668,"法第171條 、 第173條 、 第78條及第79條第2項規定甚明。 而 「 法官須 超出黨派以外， 依據法律獨立審判， 不受任何干涉」， 中華民國憲法 第80條亦有明文。 據此， 依法公布施行之法律， 法官應以之作為審判 的依據， 不得認定法律為違蕙而逕行拒絕適用。 然憲法效力"
4,649,"合蕙的規範環境， 這關係司法權與立法權的平衡， 非僅為個案的救 濟 ， 亦不以個案救濟為主要目的。 2亦即， 釋憲程序目的不在於保護 訴訟當事人的主觀權利， 釋憲機關基於「 裁判重要性原則」， 對於原 訴訟程序自應謹守「 憲法審判的補充性原則」， 則承審法官聲請釋憲 與否、 憲法"
5,622,"釋字第572號解釋在釋字第371號解釋之基礎上， 加上「 顯然於該案件 之裁判結果有影響者」的要件， 則依其文義解釋， 若承審法官依其確 信違憲之法律， 解釋並適用於個案審判之結果， 被告應受無罪判決之 諭知時， 自不應聲請釋憲， 而應逕為被告無罪的諭知， 以節約司法（ 釋 憲 "
6,706,"為 ， 則隨著社會變遷而有不同的處置方式。 以西方歐陸社會而言， 基於基督教傳統的道德觀， 傳統上禁止非 婚性行為， 強調婚姻裡才能有性行為， 英國、 美國、 歐陸各國民眾都 可能因通姦行為而受罰。 只是， 隨著啟蒙運動的勃興， 憲政民主、 多 元寬容等思維的發達， 法律、 道德"
7,659,"性的法律雖然已不存在， 但夾雜傳統道德法律化遺緒的通姦罪（ 包括 相矣行為 ） ， 迄今則仍未廢除。 民國成立後， 删除《 大清新刑律》中關於國體不符各條後， 公布 施行《 暫行新刑律》 。 其中關於通姦行為僅處罰有夫之婦與人通姦者， 姦婦及相姦人均須受刑事制裁， 有婦之夫與人通"
8,673,"年來臺灣社會備受爭議的罪名。 7 三 、 本件 應據以 審查的憲法原則與審查基準 司法權從事違憲審查時， 在有關基本權利限制的審查方面， 一般 可分為形式審查、 内 容審查， 前者為法律保留原則的要求， 後者則涉 及審查基準的問題。 而所謂的「 審查基準」（ 或稱審查密度、 控制"
9,703,"法益， 而行為是否具有法益侵害性， 正好等於是否具有需罰性； 「 應 罰性」則是指入罪的妥當性， 是在檢驗動用刑罰的必要性， 也就是審 查動用刑罰的手段， 以達到保護法益的目的， 是否符合比例原則。 1 Q 也 就是說， 需罰性主要針對的是行為條款， 應罰性則是針對制裁條款。 行"
10,666,"審查基準，自釋字第414號解釋開始繼受德國的憲法上比例原則， 比 例原則成為中華民國憲法第23條的原則； 同時， 大法官平行繼受美國 三重審查基準理論與德國審查密度理論， 並將這二個理論連結適用到 比例原則， 因而整合出「 一個原則， 三種標準」的架構， 並適用於平 等權以外的多"
11,841,"要 。 過去司法院大法官在處理涉及同一基本權利限制時， 所採取的審 查基準未必一致， 究竟應逐案權衡還是類型化操作？ 應該繼續以比例 原則作為共同適用的審查依據？或自始採取類型化的方式， 適用多元 的審查基準（ 例如三重審查基準 ） ？ 均可能是我國釋憲實務上尚待形 成共識的問題"
12,661,"鬆審查基準， 僅作低密度地審查； 其後在釋字第603號、 666號與第689 號等解釋時， 則都採用中度審查基準。 是以， 聲請人認為本件通姦罪 行為條款違憲與否（ 需罰性， 指保護法益的審查 ） ， 應採取中度審查 基準。 在有關於制裁條款是否違反比例原則的審查方面， 司法院釋"
13,621,"刑罰， 即攸關人身自由的限制， 其違蕙與否（ 應罰性， 指審查動用刑 罰的手段， 以達到保護法益的目的， 是否符合比例原則 ） ， 聲請人認 為自應採取嚴格的審查基準。 四 、 通姦罪以國家權力限制人民的性行為自主權、 隱私權， 目的欠缺 正當且刑罰有違比例原則， 應屬違憲： ("
14,635,"方與他人通姦， 是否會損害另一方的「 名譽」？以上種， 一直是通 姦罪引發的需罰性問題。 以下一論證說明。 首先， 通姦罪行為條款違憲與否， 應採取中度審查基準； 違憲審 查的中度審查基準指必須審查立法者所追求的目的是否為重大公 益， 手段選擇與目的達成之間是否具有實質關聯等， "
15,658,"法保障已婚者不受情感背叛及性忠貞背叛的自由， 也就是通姦配偶的 他方配偶沒有「 免於配偶出軌」 、 「 免於他人與配偶相姦」的憲法上基 本權利。 15立法者希望藉由刑法的威嚇、 懲罰所生痛苦， 阻止婚外性 行為對於婚姻關係的傷害， 其實對個案中的人際關係影響經常是有害 無益， 甚"
16,591,"行為對於婚姻關係的傷害， 反而經常是對個案中的人際關係有害無 益 ， 甚至是帶有負面效果。 是以， 通 （ 相 ） 蟲行為顯然不具有1應刑 罰性」 ， 通姦罪並無法正當化它對通姦者性自主權、 隱私權的侵害， 應屬違憲。 (二）手段審查 從前述立法目的審查的說明， 可知為確保配偶間"
17,756,"規範限制人民身體的自由， 但刑罰對人身自由的限制與其所要維護的 法益， 仍須合乎比例關係， 已如前述（ 參 、 三 ） 。 而當夫妻一方不履 行較低位階之性行為的同居義務， 法律僅是提供得請求離婚的保障， 不能強制履行； 他方面較高位階的個人性自主決定權而與較低位階的 婚姻保障相"
18,706,"以下之罪， 判處有期徒刑6月以下的高達9 9 % ， 且舉證困難， 加上當 事人撤回告訴的情況（ 每年因撤回告訴而諭知不受理判決的比率超過 30% ) ， 以致司法實務上並未發生實質刑法規範的法律效果， 徒然虛 耗了寶貴的司法資源。 21是以， 從嚴格審查基準觀之， 通姦罪所要保"
19,666,"素及國際立法趨勢， 又在面對社會有明顯爭議的情形下， 缺乏實證數 字及佐證資料， 逕以既抽象又短淺的解釋理由書宣告通姦罪合憲， 可 謂是在臺灣憲法變遷脈絡中， 「 保守有餘、前瞻不足」 、 「 群疑未釋、 爭議無解」的不妥適憲法解釋。 2 雖然司法院釋字第554號解釋肯認通姦罪的"
20,741,"姦罪應該廢除的結論， 但確實提供我們一個得以重新思索刑法介入婚 姻家庭妥適與否的契機。 事實上， 近年來在刑事法領域， 從家庭暴力 防治法、 兒童及少年福利與權益保障法的制定， 可以看到其中從保護 抽象的家庭倫理或秩序（ 如道德倫理、 善良風俗 ） ， 逐漸轉向重視家 庭中的弱勢"
21,743,"立法及其他措施， 以禁止這種侵擾和破壞， 並保障這種權利」 。 241〇 2 年 、 106年兩公約國際審查會議提出的兩公約國際審查結論性意見 中， 即都明白指出通姦罪的處罰， 構成對私生活的任意干涉， 建議我 國政府應採取措施， 並指出廢除此一罪名乃是政府的責任。 25是以， "
22,129,"聲請人臺灣桃園地方法院刑事 g —庭審判長法官劉為丕 法 官 張 博 鈞 法 官 陳 愷 璘 中 華 民 國 109 年 2 月 5 日 【 關係文件之名稱及件數】 附件： 桃園地檢署108年度偵緝字第2237蜂、第2238聲請簡易判決處 刑書。 . 2"
