pdf_page,chars,preview
1,356,"法規範憲法審查及裁判蕙法審查聲請書 聲 請 人 ： 談 長 峯 訴訟代理人： 林羣期律師 為聲請法規範憲法及裁判憲法審查聲請事， 爰提出聲請書如下： 壹 、 應受判決事項之聲明： 一 、 最高法院111年度台抗字第120號刑事裁定所適用刑法第79 條之1 第5項及刑法施行法第7 "
2,549,"( 二）聲請人不服就上開裁定提起刑事抗告經最高法院以111年 度台抗字第120號刑事裁定仍駁回聲請人之聲明異議 （ 附 件二） ， 故以最高法院111年度台抗字第120刑事裁定為 確定終局裁判。 二 、 確定終局裁判所適用之法規範或該裁判遠憲之情形： ( 一）本案聲請人就臺中地檢"
3,549,"據 。 （ 二）無期徒刑係最嚴重之自由刑， 本質上為終身監 禁 ， 並無執行期間， 本無執行期滿或殘餘刑期可言。關於 無期徒刑假釋之條件？ 假釋被撤銷後， 係得再次聲請假 釋 ， 抑或由法律擬制殘餘刑期， 於執行期滿時視為執行完 畢？殘餘刑期應為若干？應否賦予法官裁量之權限？涉及"
4,505,"賣毒品、 共同非法製造化學合成麻醉藥品等罪， 經法院判 處應執行無期徒刑確定， 假釋出獄後不久， 即再犯同性質 ( 二）本案違憲情形： ( 1) 就刑法第79條之1 第5 項規定未再觀察再犯之罪與殘刑 間是否不符合比例原則且未有個案判斷裁量空間， 也未考 量聲請人此前係在煙毒條例"
5,515,"( 含假釋撤銷殘刑之制度） ， 即有違蕙法信賴保護原則且 有背於憲法不溯及既往原則。 三 、 所涉憲法條文或憲法上權利： 本案就假釋撤銷後執行殘刑所涉憲法條文或蕙法上權利有蕙 法第7條平等權、第8條人身自由、 第 22條概括基本權、 第23條比例原則及憲法人性尊嚴之保障及法治國原"
6,535,"享有之各種權益， 亦生重大影響 （ 本院釋字第681號解釋參 照） 。 是撤銷假釋之處分， 雖非使受假釋人另承受新刑罰， 然以執行殘刑為撤銷假釋之主要法律效果， 受假釋人須再次 入監服刑， 其人身自由因而受到限制，自應符合憲法第23 條比例原則， 始符憲法第8 條保障人民身體自由"
7,514,"( 一）本案檢察官就聲請人假釋殘刑之執行先執行25年再執行 另犯他罪之刑， 係有變相無期徒刑加重之情， 對聲請人實 屬過苛， 且未就聲請人個案加以斜酌一律均執行重刑25 年 ， 聲請人再加上後續另案的執行， 且又因三振條款無法 辦理假釋， 幾無重見天日之機會， 此係嚴重剝奪聲請人"
8,533,"條款之諭知， 聲請人已無機會再為假釋 （ 附件三） ， 而以 聲請人年紀老邁， 此殘刑之執行，已形同對聲請人終身之 長期監禁， 聲請人完全無機會再復歸社會享受應有的自由 ( 3)另參黃虹霞大法官提出之釋字第796號解釋不同意見書 ( 附件四）其意旨： 「 本件原聲請意旨係以過苛違"
9,525,"且若依聲請意旨， 賦與法官或其他機關裁量權， 則除了沒 有裁量標準， 將再滋生目前已常見之等者不等、因法官或 裁量者不同而准否撤銷假釋結果不同之不公外， 更可能另 生對原被處無期徒刑之重罪者撤銷假釋令服殘刑2 5 年過 苛 ， 故裁量不撤銷假釋； 但對原犯輕罪所餘殘刑幾月或幾 年"
10,496,"年殘刑， 此部分實有違憲法平等原則及比例原則， 也違反 憲法保障人身自由之意旨。 ( 二）又就刑法第79條之1 第5項規定依大法官之意見應有裁 量之空間， 而檢察官執行假釋殘刑之決定裁量怠惰且情節 重大， 就上開規定未賦予就個案有不同審酌裁量空間， 此 部分有違憲法比例原則： ("
11,531,"律效果之一， 則撤銷受刑人假釋時，自應一併考量其殘刑 之執行期間 （ 此部分同釋字796解釋之大法官意見詳後 述） 。 ( 3)且 按 ，司法院釋字796號解釋文謂： 『 刑法第78條第1項 本文規定： 「 假釋中因故意更犯罪， 受有期徒刑以上刑之 宣告者， 於判決確定後6 月以"
12,523,"形同為撤銷假釋後之殘刑執行， 既同為撤銷假釋後之法律 效 果 ， 亦應一併就其殘刑之執行是否符合比例原則來加以 考量與檢驗 ◊ 是以上開刑法第79條之1 第5 項之規定因 僅有假釋受撤銷之受刑人適用， 故聲請人認為， 其性質上 並非單純執行刑之規定， 而與刑法第78條第1項 「 "
13,560,"行徒刑之規定， 惟是否需執行25年 ， 始能收殘刑之執行 效 果 ， 法條文義中， 並未明定檢察官應於執行時， 需一律 ( 5)況且實務上亦非絕無「 無裁量權之規定」受合憲性解釋為 「 有裁量權之規定」 ， 此可參： （ 1 ) 最高行政法院102年 度 3 月份第2 次庭長法官"
