pdf_page,chars,preview
1,532,"1 藍○碧聲請書 茲依司法院大法官審理案件法第五條第一項第二款及 第八條第一項之規定，聲請解釋憲法，並將有關事項敘明如 左。 聲請事項： 為聲請人受最高法院八十四年度 台上字第一八一號、臺 灣高等法院八十三年度上字第一○五四號及 臺北地方法院 八十三年度訴字第七六五號民事確定判決"
2,550,"2 九年七月十一日以（69）輔肆字第二○七二號函 所頒發之「行政院國軍退除役官兵輔導委員會各 農場有眷場員就醫、就養或死亡開缺後房舍土地 處理要點」第四點第三項之規定，卻仍舊抱持著 「男尊女卑」及「嫁出去的女兒潑出去的水」的 傳統落伍觀念，不但與強調兩性平等之世界潮流 趨勢相違背"
3,558,"3 地。經聲請人於八十一年四月十四日申請繼 耕，不料屏東農場以 （81） 屏農行字第○四六 四號函覆「……依行政院國軍退 除役官兵輔 導委員會，頒發各農場管理房舍土地處理要 點第四點第三款 ： 死亡場員之遺眷 ， 如改嫁他 人而無子女或僅有女兒 ， 其女兒出嫁後 ， 均應 無條件"
4,521,"4 認為聲請人於結婚後被藍 ○善收養為養女， 與僅有女兒而後出嫁之情形完全相同，而拒 絕聲請人繼續耕作其先父藍 ○善生前所配耕 之三筆土地。惟上開規定，係屬行政命令，不 得牴觸法律與憲法 ， 否則即為無效 ， 此為憲法 第一百七十二條所明定。按憲法第七條之規 定「中華民國人民，無"
5,533,"5 止消滅，退輔會縱於房舍土地處理要點內訂 有死亡場員唯 一女兒出 嫁應收回 房地之 規 定 ， 亦屬所有權之處分行為 ， 尚不生違憲之問 題。且聲請人於結婚 （出嫁） 後始為藍○善收 養，與房舍土地處理要點第四點第三項之記 載 「死亡場員……僅有女兒 ， 其女兒出嫁後均 應……"
6,509,"6 權及財產權受到損害及剝奪，聲請人已別無 其他法律上之救濟途徑，故依法聲請大法官 解釋前揭行政命令規定 ， 違背憲法第七條 、 第 十五條及 憲法 增修條文 第九條第 五項之 規 定。 三、聲請解釋憲法之理由及聲請人對本案所採之立場 與見解 (一)聲請解釋憲法之理由 緣最高法院"
7,537,"7 後者 （放領） 則為借貸關係存續期間退輔會同 意將土地所有權放領與現耕場員之優惠措 施 ， 要於原存在之使用借貸關係不生影響 。 本 件配耕之使用借貸關係既經退輔會合法終止 而消滅，退輔會縱於房舍土地處理要點內訂 有死亡之場 員唯一女兒出嫁應收回房地之規 定 ， 亦屬所有權之"
8,558,"8 背 ， 否則即屬違憲而無效！而上開 「房舍土地 處理要點」第四點第三項明訂死亡場員如有 兒子准由兒子繼承其權利 ， 即得繼耕 ， 而未設 任何限制條件 ， 諸如有耕作意願 ， 曾經在該土 地上耕作且能繼續在該土地上耕作等條件， 再依退輔會所發布之 「開發農地放領辦理」 第 三"
9,534,"9 屬權 ， 係因 『榮民』 身分且有耕作意願及能力 ， 始有權利由政府配耕土地，配耕後如其耕作 意願或能力不再，甚或死亡之時其所配耕之 土地仍須交回轉配其他榮民，以有效利用土 地，擴大照顧榮民……」 。若依退輔會屏東農 場之見解，該耕作權係以場員具 「榮民」 身分 且有耕作意願"
10,482,"10 一合理解釋，因此上開房舍土地處理要點顯 然違背憲法之平等原則 ， 自屬無效 。 乃三審判 決竟迴避此關鍵問題，逕認為系爭配耕土地 之法律關係純屬民法上使用借貸關係，與憲 法無涉，忽略國家之私經濟行為仍應受憲法 平等原則之拘束，且不得侵害人民之基本權 利！ (二)對本案所持之"
11,521,"11 地） 」 ，與對清寒學生給予助學貸款，在景 氣低迷時對廠商紓困貸款或提供補助等行 為相同。屬於私經濟行政之事項，必須適 用私法之規定，而因行政機關私經濟活動 所生之損害，一切爭執均應循民事訴訟途 徑處理。雖然行政機關從事私經濟活動時 較公權力行政享有較多之行動自由，但一 般"
12,483,"12 退輔會再三主張「配偶再婚，女兒出嫁皆 理應依靠其夫生活」 ，此種觀念，不僅落伍 且歧視女性，與女性作為獨立個體同受憲 法保障之精神 有違，況現在夫妻皆各有職 業之情形比比皆是，互相維持家計，女兒 婚後仍可自謀生活及負擔家庭經濟。退輔 會因受限於上開家父長之傳統觀念，以致 其"
13,492,"13 之規定，確為所有權之處分行為，則此完 全係立於「違反男女平等」 「歧視女性」之 基礎上行使權利，其結果勢必造成「兩性 關係不和諧」 「社會秩序混亂」之後遺症， 是權利人於行使權利時仍須在客觀上綜合 權利人因權利行使所能取得之利益，與其 權利之行使對他人及整個社會國家可能予 "
14,489,"14 視於聲請人侍奉先父照顧榮民，實際且繼 續在該土地上耕作之事實，僅因聲請人已 結婚即依「房舍土地處理要點」第四點第 三款之規定，拒絕聲請人之繼耕權，顯然 係以性別及 「已婚」 或 「未婚」 作為差別待 遇，其違反男女平等原則，實甚顯然！況 上開行政命令，既係以照顧及保障現耕場"
15,472,"15 之他人，再遠 赴他地或異邦生活，難道其 果真較已在此配耕土地上辛勤耕耘十餘年 之聲請人更有資格繼承耕作權乎？ 上開違憲之「房舍土地處理要點」不僅 歧視已婚女性，且剝奪已婚女性繼耕權進 而剝奪其工作權及財產權，其違憲實甚顯 然！ 7.綜上所述，行政院國軍退除役官兵輔導委 員會"
16,450,"16 款鼓勵人民聲請釋憲之宗旨相違背，若貴 院得儘速直接為違憲之宣告 ， 則人民幸甚 ， 社會幸甚！ 四、關係文件之名稱及件數 證一號：行政院國軍退除役官兵輔導委員會屏東 農場 81.4.17（81） 屏農行字○四六四號 函影本。 證二號：行政院國軍退除役官兵輔導委員會（81） "
17,479,"17 二、前揭書第十六頁影本乙份。 此 致 司 法 院 聲 請 人：藍○碧 代 理 人：尤美女律師 郭慧雯律師 中 華 民 國 八 十 四 年 七 月 四 日 附件八：最高法院民事判決 八十四年度台上字第一八一號 上 訴 人 藍○碧 被上訴人 行政院國軍退除役官兵輔導委員會 設臺"
18,658,"18 依被上訴人所頒各農場有眷場員就醫、就養或死亡開缺後房 舍土地處理要點（以下簡稱房舍處理要點）第四點第三項之 規定，伊係婚後始被收養，自不在該要點收回土地之列。詎 伊八十一年四月十四日向被上訴人申請繼耕，竟遭拒絕。又 依被上訴人開發農地放領辦法（以下簡稱放領辦法）第六條 規定"
19,698,"19 頻頻催促交還土地並拒絕申請繼耕等情，足見系爭土地之使 用借貸關係已合法終止。又上訴人主張其耕作期間應與藍 ○ 善生前耕作期間合併計算乙節，乃係被上訴人所頒開發農地 放領辦法第六條所定，進墾已否逾十年之事實認定問題，非 法律關係本身，按之民事訴訟法第二百 四十七條規定自不得 "
20,114,"20 為廢棄，非有理由。 據上論結，本件上訴為無理由，依民事訴訟法第四百八十一 條、第四百四十九條第一項、第七十八條，判決如主文。 中 華 民 國 八 十 四 年 一 月 二 十 六 日 （本聲請書其餘附件略）"
