pdf_page,chars,preview
1,464,"絲爾條 项 碑 财 B 解釋憲法聲請書 聲 請 人 ： 地 址： 為刑.法第79之 1條第5 項 ， 涉有抵觸憲法第8 條人身自由及第23條比例原則 等疑義， 爰依司法院大法官審理案件法第5 條第1項第2 款及第8條第1項規 定 ， 聲請解釋憲法事： ； 查 、 聲諳憲法解釋之目"
2,906,"十五年， 有期徒刑於全部執行完畢後， 再接纘執行他刑， 第一項有關合併計算 執行期間之規定不適用之。」 參 、 聲請人之主張及立場 一 、 刑法笫79之 1條 笫 5 項所涉及之憲法上基本權利 受假釋者若遭撤銷假釋時， 則須入監服其原來因假釋而未執行完之殘刑。 也就是 受假釋者必"
3,1043,"經濟社會文化權利國際公約第1 0 條規定「 家庭為社會之自然基本 囷體單位， 應盡力給予保護與協助， 其成立及當其負責養護教育受 扶養之兒童時， 尤應予以保護與協助」 。我國釋字第712號解釋有 謂 「 基於人性尊嚴之理念， 個人主體性及人格之自由發展， 應受憲 法保障 （ 釋字"
4,1154,"之嚴重性、 行為人所表現之危險性， 及對於行為人未來行為之期待 性相當。 槍砲彈藥刀械管制條例…不問對行為人有無預防矯治其社 會危險性之必要， 一律宣付強制工作三年， 限制其中不具社會危險 性之受處分人之身體、自由部分， 其所採措施與所欲達成預防矯治 之目的及所需程度， 不合憲法"
5,1097,"目的而侵害較小之手段可資運用 ， 雖得以刑罰規範限制人民身體之 自由， 惟刑罰對人身自由之限制與其所欲維護之法益， 仍須合乎比 例之關係， 尤其法定刑度之高祗應與行為所生之危害、 行為人 贵 任 之輕重相稱， 始符合憲法罪刑相當原則，而與憲法第 23 條比例原 則無違 (本院釋字"
6,1059,"一定條件之例外確有其必要。 系爭條文於藥師不違反前揭立法目的 之情形下， 或於有重大公益或緊急情況之需要時， 一律禁止藥師於 其他處所執行各種不同之藥事業務， 未設必要合理之例外規定， 已 對藥師執行職業自由形成不必要之限制， 有違憲法第二十三條比例 原 則 ， 而與憲法第十五條"
7,1139,"服殘刑25年過苛， 故裁量不撤銷假釋， 但對原犯輕罪所餘殘刑幾月或 幾年者不過苛， 而撤銷假釋之情形， 反生輕重失衡更大不公平丨」 、 「 除了刑法第79條 之 1 才是本件原因案件之疲結， 應併納入考量， 才 能公平解決問題外， 另假釋制度最為人話病者在相關程序不透明， 6 同"
8,1294,"按公政公約第7 條明文： 「 任何人不得施以酷刑， 或予以殘忍、 不 人道或侮辱之處遇或懲罰。 非經本人自願同意， 尤不得對任何人作 醫學或科學試驗。 j 且按《 公民與政治權利國際公約及經濟社會文 化權利國際公約施行法》 （ 下稱「 兩公約施行法」 ）第2 條規定： 「 兩 公"
9,1069,"Brenan 則以死刑犯於執行前漫長等待所造成之精神痛苦， 構成死 刑不可分割之一部分， _作為認定死刑制度違憲之理由。 4. 本案及其他遭到撤銷假釋之無期徒刑受刑人， 雖並非死刑犯， 實務 上長期監禁之情況， 卻猶如讓這群無期徒刑受刑人在監所等待老死、 病死。 對未來毫無希望感"
10,936,"2 . 刑法第2條第3項之立法精神 刑法第2 條第3 項規定： 「 處罰或保安處分之裁判確定後， 未執行 或執行未完畢， 而法律有變更， 不處罰其行為或不施以保安處分者， 免其刑或保安處分之執行。 」如法律變更， 仍處罰其行為但法定刑 減輕者， 得否有刑法第2 條第3 項之適用？"
