pdf_page,chars,preview
1,750,"釋字第 解釋 部 分 不同意見書 黃虹霞大法官提 出 我們都是 生活、生長在 臺 灣 這塊土地上的 兄弟姐妹。緣 於 手心手背 都是肉， 深刻感受正反雙方之 極 高度 關切 ， 情緒 乃因之澎湃， 對於本件解釋之即將公布， 內心之中 只有哀 矜 沒有喜悅（ 縱使打贏訴訟，法律人也"
2,757,"非不 可為 婚姻以外之專法如 伴侶法；或認應給予平等保護， 但不能以婚姻名之 等。 惟在作成解釋之法定有限時間下， 每一位大法官或可說均已盡力， 並共 期 本件解釋能拉近正反 雙方的距離。在此謹呼籲雙方：請珍惜 臺 灣這一塊我們共存 的美麗寶島，請考量我們的資源有限，實在無法承擔"
3,848,"妹們：我何其有幸， 能非經由二手傳播，而是基於 從小生長 的生活經驗，讓我因 親身見聞 周遭人的 舉止 ，進而 對 生理性 別與 心 理 性別認同可能 不一致 ，有所認知， 且 我所看到的這 個案例 有 可能是出於天生 （其他案例情形因未親自見聞，故 不敢表示意見） ， 而 不涉"
4,759,"意見 甚至立法上如作 變更婚姻定義外之 其他選擇 ，是不 宜 當然 視之為「歧視」 呢 ？而 是否 應認為這 只是觀念見解不 同，有待溝通 ，甚至可棄 形式爭執而取實質呢？ 法律不是萬 能，法律如無多數人民之共識作基礎， 而 企圖 經由法律立即 強制改變既有觀念 ， 其為不可行 "
5,736,"不生違憲與否之問題 。 然則 上開結合 除 已 可 能 經由 現行民法 親屬編有關 家長家屬關係 作部分 處理外， 現行法律 確實也沒 有給予制度 保護。而鑑於 此種二人間相互扶持之永久結合關 係，具有與傳統異性婚姻之功能之一 即經由二人之相互扶持 可分擔國家對國民之照護負擔，且"
6,747,"論明顯有邏輯上之謬誤且理由不備。 2 、 本件解釋中 所稱 「婚姻自由」 充其量應只適宜用以說 明相同性別二人間之永久結合關係，與現行單指異性二人間 之婚姻制度有可資相類比之處，從而相同性別二人間之永久 結合關係應受相類於婚姻之保護而已，不能也不足憑以肯認 其他。 就此，本件解釋"
7,805,"夫一妻之婚姻，並本於男女平權而為，與本件聲請原因事實 係相同性別者間，無關男女平權者，迥不相同。因此，由本 院前解釋推導不出所謂 憲法第 ，尤其 推 導不出相同性別二人有所謂受憲法第 由」 基本權 。 又在我國 ， 既然憲法未明文規定保護婚姻制度 ， 又無法由憲法第 及 第 相同"
8,675,"者之聲明作為依據 ， 是否妥當 已非無 疑， 客觀上 更 不足以昭 折服； 另 性傾向難以 被改變， 與婚姻定義是否應改變間沒有 直接關聯，故 不 應 即 憑以變更婚姻定義。 5 、 本件未 經 相關 全部專業人士均參與 ， 且相關必要資訊 尚未臻完足， 故變更婚姻定義之 條件尚"
9,759,"1 、本院釋字第 554 庭係社會形成與發展之基礎。試問：無自然生育子女可能之 同性別二人之結合如何得為社會形成與發展之基礎？ 2 、婚姻章是民法親屬編之一章，由立法體例可知：婚姻 確係親屬關係之根本，所有親屬關係因婚姻關係而衍生；其 衍生之常態表現方式 不正 是因婚姻而自然生育"
10,772,"每一個人都是人生、父母養的，我國歷年之「人口身分變更 統計資料」 （如附件） 顯示：年 被收養 人數 約只有年出生人數 之 百 分之一 （另由收養欄與終止收養欄比對：近五年之終止 收養人數 約為被收養人數之一半，收養關係 不甚穩定 ，令人 擔憂 ） 、 年 被認領人數則 約為年出"
11,753,"憑以指為不當差別待遇之客體存在。即 本件解釋之說理 等 亦 有不足， 難 以 服人。 7 、 男女有別！很八股嗎？ 但諸多心理學 、 腦神經科學研 究不也證實男女確實不同嗎？ 從我們大家都最關心的保 護子女的觀點來看： 一般而言 子女需要父與母，不論嚴父慈 母、嚴母慈父、父慈母愛"
12,88,"一諭知僅適用於 二年期滿（而未及完成立法、修法）後至完 成立法、修法間 之過渡期間，即 係 用備 暫時性 、 過渡 性之 措 置，沒有也無意僭越或取代立法，併此敘明。 12"
13,6761,"人口身分變更統計資料 民國75年 附件 1,582,294 1,598,600 309,230 95,057 2,488 4,836 1,934 145,591 22,381 按登記日期統計 年 別 遷 入 出 生 認 領 收 養 終止收養 結婚對數 離婚對數 民國70年 1,5"
