pdf_page,chars,preview
1,716,"聲請解釋憲法函 司法院大法官公鑒 一. 聲請人因國軍老舊眷村改建條例事件， 遭國防部註銷眷舍居住憑証 及原眷戶權益並限期返還現居眷舍房地， 吾等為維護權益經向行政 院提起訴願遭 驳 回後， 復提出行政訴訟， 歷經台北高等行政法院及 最高行政法院多次審理後， 最終最高行政法院於10"
2,978,"解釋憲法聲請書 壹 、 主 旨 ： 為聲請人因國軍老舊眷村改建條例事件遭國防部註銷眷舍 居住憑註及原眷戶權益被判決確定。 但對於確定判決所適用之國 軍老舊眷村改建條例第22條規定•， 依合理之蜂信， 認為有牴觸 憲法第23條所定比例原則， 侵害人民受憲法第10條 、第 15條 所"
3,967,"眷村改建條例第22條 規 定 ， 註銷聲請人等眷舍居住憑証 及補助購宅權益（ 下 稱 「 原處分」 ） 並命聲請人等， 限期 無償返還現居眷舍房地， 否則將移送管轄之地方法院裁定 後強制執行， 聲請人等不服， 提起訴願， 亦遭決定駁回， 遂提起行政訴訟。 歷經台北高等行政法院97"
4,936,"對不同意改建之眷戶， 主管機關得逕行註銷其眷舍居住憑 証及原眷户權益， 收回該房地， 並得移送管轄之地方法院 裁定後強制執行。」 9.司法院釋字第371號 解 釋 ： 「 憲法為國家最高規範， 法律 牴觸憲法者無效， 法律與憲法有無牴觸發生疑義而須予以 解 釋 時 ，由司法院大法"
5,866,"條例第22條 第 1項 規 定 ， 規劃改建之眷村， 其原眷戶 有 3/4以上同意改建者， 主管機關得逕行「 註銷」不同 意改建眷戶之眷舍居住憑証及原眷戶權益並限期無償 返還所居眷舍房地。 該規定既未選擇能達到相同目的且 對原眷戶權益損害最少之手段， 復未對主管機關「 註銷 權 "
6,874,"令制定公布國軍老舊眷村改建條例， 為促進「 加速更 新國軍老舊眷村， 提高土地使用經濟效益， 興建住宅 照顧原眷戶、中低收入戶及志願役現役軍(士)官、 兵 ， 保存眷村文化， 協助地方政府取得公共設施用地， 並 改善都市景觀」 （ 第 1條規定參照 ） 等公共利益之達成 ， 經由"
7,894,"益 。 其重點係在註銷「 原眷戶權益」， 至於併同註銷 眷舍居住憑證， 乃基於國軍老舊眷村改建條例第 3 條 第 2 項規定原眷戶之認定係以領有眷舍居住憑證為 前提所不得不然。 (2)由於不同意改建之原眷戶， 係本於憲法第10條所保 障之居住自由， 依法行使法律所賦予同意改建與否"
8,836,"改建工作得以順利推展」（ 立法理由參照 ） 。 核其目 的係為增進「 順利推展眷村改建工作」之公共利益， 其目的洵屬正當。 (3) 主管機關規劃改建之眷村， 其同意改建之原眷戶如 已達改建之法定門檻， 國軍老舊眷村改建條例第22 條 第 1 項規定賦予主管機關得逕行「 註銷」不同"
9,825,"同意共有人應得之對價或補償， 並給予不同意共有 人得以同一價格共同或單獨優先承購之權， 亦未採 取剝奪不同意共有人之建物或土地所有權之極端 手 段 。 @參 酌 上 開 立 法 例 ， 可知縱為一定之公共利益， 而有 限制人民財產權或居住自由之必要， 亦應採取對人 民權益損害最少"
10,865,"戶所得享有之「 原眷戶權益」， 係基於國軍老舊眷村 改建條例第5條第1項所創設， 而非授益性行政處 分所授予，已如前述， 是主管機關註銷不同意改建 眷 戶 之 「 原眷戶權益」 ， 並非授益行政處分之廢止， 自無行政程序法第124條所規定2 年除斥期間之適 用最高行政法院102年"
11,883,"處 分 ， 為維持法律秩序之安定， 並避免因主管機關無 正當理由而恣意選擇不同時間註銷而至造成實質上 之差別待遇， 實不能任由主管機關長期怠忽行使， 而 使法律關係長期處於不確定狀態。 是主管機關將不同 意改建眷戶之「 原眷戶權益」予以註銷，自應於一定 期間 内 行使， 即主管機"
