pdf_page,chars,preview
1,533,"$ 解釋憲法言詞辯論爭點補充理由狀 案號： 會台字第12674號 聲請人祁家威 代理人許秀雯律師 莊喬汝律師 潘天慶律師 茲依大院秘書長民國106年 2 月 1 0 日秘台大二字第1060003939號 函 ， 提出本次言詞辯論爭點聲明及補充理由。 爭點一： 民法第四編親屬第二章"
2,666,"二 、 現行法僅針對「 男女之結合」為規範， 不容許同性婚姻， 並非立 法者充分思辨後之裁量結果： (一 ） 立法源流與立法方式： 1 . 現行民法親屬編之前身有數個草案， 包括西元1911年之「 大 清民律草案親屬編」 ， 之後隨清廷覆亡， 民國成立， 於 1915年 研 訂 "
3,700,"(2 ) 形式要件正面表列： 結婚應以書面為之， 有二人以上證人 之簽名， 並應由雙方當事人向戶政機關為結婚之登記。 4 . 而觀諸歷次草案及1930民法親屬編施行後之修法， 立法者就 婚姻要件之擇定， 顯受到社會價值變遷影響甚深： 舉例而言， 於 1911年 至 1926年之民"
4,739,"同性婚姻既涉婚姻對象之選擇， 如欲禁止， 理論上應以負面 表列方式為之， 倘立法者已思及同性婚姻之需求與可能性， 且有意禁止同性婚姻， 依上述立法邏輯當以明文禁止「 與性 別相同之人結婚」 。 惟系爭規定雖無明文禁止同性別二人結婚， 但不能因此當然推認立法者無意禁止同性婚姻， 蓋"
5,656,"退步言之， 倘認民法第4 編親屬第2 章婚姻規定雖係針對 異性結合為規範， 但既無明文禁止或排斥同性結婚，因此應 對系爭規定依據憲法規範價值做出「 合憲性解釋」 ， 認為容許 同性別二人結婚， 在此情形， 則應將法務部與 内 政部向來認 定結婚當事人須為「 一男一女」之行政函釋宣"
6,746,"爭點二： 如不容許同性結婚， 是否違反憲法第22條所保障之婚姻自 由？ 一 、 結婚之自由與權利， 涉及人性尊嚴與人格權之保障： 人性尊嚴是人之所以為人皆應享有之尊重， 也是憲法價值秩序最 上位與最根本的原則與基礎， 意指人本身即是目的（ 而非客體）、 以自治與自決做為其核心 内"
7,736,"承認國家法律得以性傾向為由剝奪同性伴 侣 進入婚姻之選擇， 無 異於由國家法律否定同性傾向之正當性， 赤裸地昭告： 你們 的愛不值得保障、 你們的關係不受承認、 你們想要共營人生的選 擇不須被認真對待， 甚至， 更根本地來說:你們是不正常的次等人! 無庸置疑， 這是對同性戀者個人"
8,740,"條規定（ 參見聲請人104年 8 月 20日所提解釋憲法聲請書）， 應 認違反憲法第22條所保障之婚姻自由。 ) 允許同性締結婚姻， 非但無違社會秩序及公共利益， 更有穩定 社會秩序、 促進公共利益之作用： 若干反對意見認為若允許同性締結婚姻， 將悖於「 倫理道德」 、 違反社會"
9,755,"大法官釋字第554號提及， 婚姻與家庭為社會形成與發展之基 礎 ， 受憲法制度性保障， 婚姻制度植基於人格自由， 具有維護 人倫秩序、 男女平等、 養育子女等社會性功能， 國家為確保婚 姻制度之存續與圓滿，自得制定相關規範以維護之。 若承認婚 姻制度有其社會功能而為國家所鼓勵與扶"
10,721,"同性別二人締結婚姻之自由。 一男一女所結合而成之一夫一妻婚姻關係， 雖為現行民法所採 行之婚姻制度， 然婚姻制度在人類漫長歷史上， 有非常多樣化 的風貌， 並無固定不變的「 本質」可 言 ， 質言之， 婚姻之定義 與 内 涵， 絕非亙古不變。 我國於民法制定之初， 雖立法採取一夫"
11,780,"若干反對意見主張過往大法官解釋已確立婚姻受憲法「 制度性保 障」 ， 我國婚姻制度專指「 一夫一妻」 ， 不容許立法者改變其定義， 作為反對同性締結婚姻的理由。 惟 查 ， 過往大法官相關婚姻與家 庭制度所作成之多號解釋（ 釋字第242號、 第 362號 、 第365號、 第55"
12,680,"爭點三： 民法第四編親屬第二章婚姻規定， 如不許同性別二人結婚， 是否違反憲法第七條平等權之意旨？ 限制同性相婚， 違反憲法第7 條平等權， 第23條 ， 及憲法增修條文 第10條第6項之意旨， 已詳述於聲請人2015年 8 月20日解釋憲法 聲請書（ 第 14頁至第22頁） ，"
13,877,"及人民憲法上所保障之「 根本基本權」 （ fundamental rights) 遭受差別對待之人（ 生理上 ） 『 無從改變之特徵』 （ imutable characteristics ) ( 如種族、膚 色 、 性別等 ） 為基礎， 而構成 所 謂 『 可疑分類』 （ su"
14,690,"理因素所致） 。 而婚姻制度僅允許人民選擇與異性相婚， 則屬對 異性戀公民有利、 對同性戀（ 雙性戀）公民不利， 涉 及 「 性傾 向」差別待遇。 併此說明者， 性傾向（ 同性戀、 異性戀、 雙性戀） 無論係先天、 後天或先後天因素交錯影響形成， 均非屬人力所得完全控制之 因素，"
15,708,"退步言之， 縱認鼓勵生育符合我國當前某種「 政策期待」 ， 亦無 理由界定「 自然生育同時具有配偶雙方血緣小孩」優越於「 運 用人工生殖技術生育小孩」 ， 以至於必須特別排除生理上須借助 人工生殖技術始能生育的同性伴 侣 ， 蓋如果此種差別對待有理 由 ， 則無法說明， 我國現制"
16,804,"『 因人而異』而為的差別待遇 （ personenbezogene Ungleichbehandlung ) 是指針對法規適用的年齡、 身 分 、 教育 ( sachbezogene Ungleichbehandlung ) 是指因為客觀存在事 書指出： 「 在提出修正的新模式後"
17,798,"退步言之， 縱認系爭差別待遇乃因國家欲鼓勵人民生育以『 增 進公共利益』 ， 則限制同性相婚顯然亦無助於所擬達成的目的， 更無法說明何以不依同一標準限制不孕或無意生育之異性伴 侣 相婚自由，已如前述。國家若要鼓勵生育， 那 麼 ， 改善人民低 薪過勞處境、 完備托育設施、 建立友"
18,826,"再 者 ， 法務部似認為性別認同 （ gender identity ) 及性傾向 維護人倫秩序、男女平等、 養育子女」等社會性功能， 隨即跳躍 作 結 ， 主張相關規定「 排除同性相婚」形成的差別待遇， 尚非立 法者之「 恣意」 ，目的洵屬「 正當」 ， 且手段與目的間有「 合"
19,851,"( sexual orientation ) 尚未被我國憲法第七條之「 男女」或憲 法增修條文第十條第六項之「 性別」所涵蓋， 並就此點援引學者 張文貞著「 性別平等之 内 涵與定位： 兩公約與憲法之比較」 一文。 然查， 我國釋憲實務雖尚未對性別認同或性傾向進行清楚之界定 或討"
20,764,"論 』 ， 而非1 [明顯論』 ， 甚 或 『 明顯重大瑕 窥 理論』 ， 來承擔此職責。 凡是侵犯人權種類的層次越高， 例如生命權、 人身自由、 人倫秩 序與家庭權， 甚或人性尊嚴， 則釋憲機關檢驗立法裁量的範圍更 廣 ， 密度更高。 」 ， 更於釋字第七二八號解釋協同意見書 "
21,846,"應退縮於「 立法形成自由」之 後 ， 而應積極闡明憲法第七條平等 權 （ 原則）禁止性別、 性傾向歧視， 並據此宣告同性伴 侣 平等享 有憲法所保障之結婚自由。 爭點四： 如立法創設非婚姻之其他制度(例如同性伴 侣 ） ， 是否符合憲 法第7 條保障平等權以及第22條保障婚姻自由"
22,893,"三 、 參照外國釋憲經驗， 南非憲法院在 2005 年 1 2 月 1 日宣告 150 段 以 下 ， Lesbiand Gay Equality Project and Eighten Others v Minister of Home Afairs ( CT 10/05 ) "
23,879,"htp :// english . corteconstitucional . gov . co / sentences / C - 577 - 2011 . pdf ) 。 由於該判決並未明確指示立法者究應以婚姻或 哥倫比亞憲法院於2016年4 月28日， 宣告禁止同性結婚違 "
24,825,"立伴 侣 制度供人民無分性別、 性傾向得依其意願與需要進行選 擇 ， 那 麼 「 區分且自由」的見解或許言之成理， 但在第二種情 形 ， 多元性別群體作為歷史上受壓迫之弱勢群體， 若結婚自由 仍被剝奪， 那麼區隔立法另立同性伴 侣 法就不可能是真自由， 五 、 過去十六年來，曾經"
25,129,"應 。 台灣正站在人權與多元性別轉型正義的十字路口上， 聲請人對於婚姻 平權的等待已逾三十年， 期盼大法官以這個釋憲聲請作為起點， 依據 憲法價值作成清楚且充分論理之決定， 定紛止爭， 讓同性戀等多元性 別公民， 在法律之前， 開始成為真正平等的人。 25"
26,49,"聲請人： 祁家威 代理人： 許秀雯律師 莊喬汝律師 潘天慶律師 中 華 民 國 年 月 Z1 曰"
