pdf_page,chars,preview
1,596,"釋字第 75 部分不 同意見書 吳陳鐶大法官提出 就解釋文中有關 刑法第 規 定 ，不違反一行為不二罰原則之問題 部分，敬表贊同 。惟 就 有關 不分情節，基於累犯者有其特別 惡性對刑罰反應力薄弱 等立法理由 ， 一律須加重最低本刑 ， 於不符合刑法第 59 定要件之情形下，致生"
2,685,"在於行為人前因犯罪而經徒刑執行完畢或一部之執行而赦 免後，理應產生警惕作用，返回社會後能因此自我控管，不 再觸犯有期徒刑以上之罪。然而 行為人卻故意再犯後罪，足 見行為人有其特別惡性，且前罪之徒刑執行無成效，其對於 刑罰之反應力顯然薄弱，故認有必要加重後罪本刑至二分之 一處罰 ，"
3,939,"多數意見 就 刑法第 有關累犯應加重其刑之 規定，是否違反罪刑相當原則之 論述 ， 前後 彼此矛盾 ， 已 難 以贊同 。 二、 多數意見無視於刑法及刑事特別法有關減輕或免除其刑 之整體規定，僅以累犯一律須加重最低本刑，於不符合 刑法第 罰超過其所應負擔罪責之個案，其人身自由因此"
4,1278,"、 第 及 第 等 輕其刑之規定 。 次按 ， 至少 特別 法亦設有 特 殊 之減輕其 刑之規定 。 除此之外 ， 「 依法律加重或減輕者 ， 仍得依前條之規定酌 量減輕其刑。 」「 犯下列各罪之一，情節輕微，顯可憫恕，認 為依第 重本刑為 132 條第 項及第 320 321 "
5,733,"第 349 」 「 … 對於少年犯最重本刑 認為依刑法第 分為適當者，得免除其刑 … 」 刑法第 、 第 及 少 年事件處理法第 亦 分別 定有明文。 綜上說明， 累犯 雖 依 刑法第 加重其刑， 但 如 有 上揭刑法或 特別法 減輕其刑或免除其刑之 由 ，仍得 依各該規定 減輕"
6,659,"合刑法第 「 犯罪之情狀顯可憫恕 ， 認科以最低度刑 仍嫌過重 」 要件 之個案 ， 其 所受之刑罰 本就不會 超過其所應 負擔 之 罪責，其人身自由 不 會 因此遭受過苛之侵害， 對人民 受憲法第 相當原則， 而生 牴觸憲法第 之問題。 三、 刑法第 累犯 更定其刑 之規定 ，"
7,787,"施，應保障當事人之合法訴訟權，並兼顧被告對於裁判效力 之信賴及國家刑罰權之正確行使。」亦即刑事裁判之正確性 與 被告對於裁判效力之信賴 ，同等重要。 而 該 解釋，係容許 以非常上訴程序撤銷原有利於被告之確定判決，回復原訴訟 程序 ， 就不利益於被告之上訴部分進行審判 。 故依該"
8,1714,"或無罪開釋者，不得就同一罪名再予審判或科刑。 」 但聯合 國 人權事務委員會 第 通過之 第 性意見 ， 則敘明 「 這項規定不禁止特殊情況允許的重新進行 刑事審判；例如，發現判處無罪時無法提供或不知道的證 據。 」 再按 美國 聯邦 憲法增補條款第 固 規定： 「……任何 人 "
9,1236,"prejudicial remarks ， 經檢察官 ( manifest necesity) 為由 ， 聲請 法院宣告為無效審判 (mistrial) ， 法院認 為辯護人不適當之開場陳述損害由公正之 判之公共利益， 宣告審判 為無效 。 檢察官仍得再行起訴，法 院亦得再加以審"
10,941,"緩刑之 聯邦法律第 (18 U.S.C. § 3651 ) 規定 ， 乃 聲請更正 該 聯邦地方法院減輕被告刑罰之 裁 定 ， 聯邦地方 法院 認檢察官之聲請 為 有理由 ，乃 依 聯邦法律第 條 (18 U.S.C. § 4205(b)( 1 ) 裁定 更 定 刑罰為 有期徒 "
11,1039,"徒刑 釋放後 交付保護管束 。被告及檢察官均於 4 ， 聯邦地方 法院 即 更正共謀販賣毒品古柯鹼處 得假釋之 有期徒刑 ， 意圖販賣而持有古柯鹼處不得假釋之有期徒刑 後交付保護管束 ， 二者所處之有期徒刑同時執行 。 被告 就將 意圖販賣而持有古柯鹼 原處 緩刑交付保護管束 改"
12,3147,"國刑事訴訟法第 之 德國刑事訴訟法 第 再審 (Part Four Reopening of Procedings Concluded by a Final Judgement ) ， 除於第 條為受判決人利益聲請再審之規定外 ， 於第 62 及第 373a 條 亦 設有相當於我"
13,649,"利國際公約 、美國 、 德國， 為維 護 裁判之正確性及 審判之公 正性或純正性 (the integrity of the trial) ，刑事裁判之確定力原 則上固應維持，以維法律秩序之安定，保障當事人之合法訴 訟權及被告對於裁判效力之信賴，但於裁判不正確時，仍 允 許 有救"
14,745,"定後，發覺為 累犯 者」 ，方得 更定其刑 ， 故 累犯更定其刑， 須前後兩個確定裁判符合 刑法第 7 累犯之要件 ， 且 係於後罪裁判確定後 ， 發覺為累犯 ， 方得為之 。 而刑之量定 ， 並不須經嚴格之調查證據程序，亦不受嚴格證據法則之拘 束，證明之程度，亦無須如同犯罪事實"
