pdf_page,chars,preview
1,658,"法規範憲法審查聲請書 裁判案號丨 1 41 S 台 f t 衾蒙和4雜_ 2 審查客體 6 二 、 系爭規定是否牴觸《 憲法》第 23條之比例原則？ 8 弟 法 院 丨 〇 义 年麄字第 7 2 5 0 號 刑 事 判 決 （ 聲 證 1 ) 。 10 一 、 系爭規定應受違蕙宣"
2,588,"2 治權利國際公約》 及 《 經濟社會文化權利國際公約》 所享有的 3 | 若干重要基本權利之剝奪或相當限制。 8 丨 效果過於單一而剝奪法院或行政機關之裁量權， 造成個案顯 12 : 撤銷假釋之當事人， 一律從頭起算2 0 年殘刑」 之法律效果過 2 0 1 211 221 1"
3,656,"6 8 10 《 憲法》第 8 條 第 1 項 及 第 23條 。 1 三 、 按 《 憲法訴訟法》第 59條 第 2 項 規 定 ， 本 案應於不利確定終 12 局裁判送達後6 個月之不變期間 内 為之。 聲請人爰於法定期間 内 2 0 ； 1 . 人身自由、 居住及遷徙自由以"
4,831,"再次入監服刑， 監禁的環境使人身自由當然受到剝奪。 其 次 ，憲 法 第 10條 規 定 ： 「 人民有居住及遷徙之自由」 。我國釋 字 454號解釋有謂： 「 憲法第十條規定人民有居住及遷徙之自由， 旨在保障人民有自由設定住居所、 遷 徙 、 旅 行 ， 包括出境或入境 之 權"
5,856,"2 仍形成其與配偶、 子女相當時間的分離， 不利於婚姻的維持與子 6 憲法第15條 規 定 「 人民之工作權應予保障」， 依我國釋字第649 8 而監獄行刑法第31條 第 1 項 前 段 規 定 「 受刑人除罹患疾病、 入 10 項 規 定 「 監獄對作業應斟酌衛生、 教 化 、"
6,875,"6 2 . 大法官解釋第5 8 2 號解釋文謂： 「 組織犯罪防制條例第三條 8 入勞動場所， 強 制工作， 其期間為三年； 犯前項之罪者， 其 10 犯罪為宗旨或其成員從事犯罪活動， 具有集團性、常 習性、 1 脅迫性或暴力性之犯罪組織為規範對象。此類犯罪組織成員 12 間雖有"
7,950,"101 之 基 本 權 利 ， 係不得已之最後手段。 立法機關如為保護合乎 1 | 憲法價值之特定重要法益， 並認施以刑罰有助於目的之達成， 121 又別無其他相同有效達成目的而侵害較小之手段可資運用， 211 除之情形時， 則亦屬違反比例原則而違憲： 1: 規定酌減其刑， 最低"
8,853,"6 情節之輕重並據以計算罰鍰金額， 如此劃一之處罰方式， 於 8 無限擴大之虞， 可能造成個案顯然過苛之處罰， 致有嚴重侵 10 其對人民受憲法第十五條保障之財產權所為限制， 顯不符妥 1 當性而有違憲法第二十三條之比例原則， 有關機關應儘速予 12 以修正， 並至遲於本解釋公布"
9,854,"的 ， 分別制定法規以課徵進口稅、 貨物稅及營業稅， 於行為人 進口貨物未據實申報時，固得依各該法律之規定併合處罰， 以達成行政管制之目的， 惟於個案併合處罰時， 對人民造成 之負擔亦不應過苛， 以符合憲法第2 3 條比例原則之精神， 併 此 指 明 。」 4 . 又鈞院釋字第7"
10,868,"2 之不公外， 更可能另生對原被處無期徒刑之重罪者撤銷假釋令服 6 「 除了 刑法第79條 之 1 才是本件原因案件之癥結 ， 應併納入考 8 不 透 明 ， 同樣地， 監獄行刑法、 外役監條例規定下之縮短刑期制 10 又撤銷假釋後之殘刑年數規定， 因修法而由10年延長為2 5 "
11,988,"2 之年限由舊法的執行滿15年改為25年 ， 幾乎造成了終身監 5 告 之 人 ， 於 執 行 15年後即可聲請假釋（ StGB 57 a ) 、日本更 6 僅 須 執 行 1 0 年 即 可 聲 請 （ 參日本刑法第2 8 條 ） ， 然德國刑 8 規 定 ， 是 以 ， 遭撤"
12,992,"2 之抗告人， 僅因不明究理、 認事用法顯有問題之後案判決， 無 6 人因對出監了無希望、否定自身存在之價值，而有嚴重憂擊 8 助 被 告 「 悛悔實據」 ， 更可能帶來被告身心健康嚴重之打擊， 10 遇或懲罰之疑慮。 1 3 . 復查人權事務委員會和各國法院已確認待死現象所包含"
13,862,"可分割之一部分， 作為認定死刑制度違憲之理由。 4 . 本案及其他遭到撤銷假釋之無期徒刑受刑人， 雖並非死刑犯， 實務上長期監禁之情況， 卻猶如讓這群無期徒刑受刑人在監 所等待老死、 病 死 。 對未來毫無希望感的監禁狀態， 在死刑犯 身 上 3 到 4 年就已經被視為酷刑， 更"
14,879,"6 走入歷史， 由刑法、 組織犯罪防制條例等法律來實現該條例維 8 合罪刑相當之原理原則。 10 刑 法 第 2 條 第 3 項 規 定 ： 「 處罰或保安處分之裁判確定後， 未執 1 行或執行未完畢， 而法律有變更， 不處罰其行為或不施以保安處 12 分 者 ， 免其刑或保安處"
15,414,"5 I 假釋之人終生之枷鎖。 6 8 項規定之法律效果， 而需服過長刑期， 有違司法院大法官前開釋 10 裁量是否應執行受刑人「 全部」 殘刑之必要， 否 則 ， 現 行 第 79之 1 條 第 5 項有違憲法揭示之比例原則及罪刑相當性原則。 1丨 民對國家創建法律秩序之信賴， "
