pdf_page,chars,preview
1,326,"讀电理 A 7 . : 和 L J 釋 1 丰在雕 _ 、 相 旧 案 字第 訴 訟 標 的 金額或價額 依序填寫： 國民身分證號碼或營利事業统一編號、 性別、 出生年月日、 職業、 住居所、 就業處所、 公 稱 務所、 事務所或營業所、 郵遞區號、 電話、 傳眞、 電子郵件住址"
2,408,"乃叫 . /今 I 闕 ■ 痛請肩命後警 t 鱗 ， 群 習儐句 n 并 / 十 是 伐 效辛肩 软 ； 吊 4' 吟 丨个乂上々 [ 0 k ^ t ^ AKp ^ H ^ 吹 郭 沙 核 $ 射浮 4 ‘ 作 崞 鈎 系 義 外 ’ < 4 号 / H 秀今 尽 者叙爹 矢者"
3,376,"艰 '呤 % m s _ it 身分證字號： ， 終審判決字號 判決結果 備註 確辦 解釋憲法聲請書 地 址 ： 為刑法第 7 9之 1條第5 項 ， 涉有抵觸憲法第8 條人身自由及第23條比例原則 等疑義， 爰依司法院大法官審理案件法第5 條第1項第2 款及第8 條 第 1項規"
4,960,"二 、涉及之條文 刑法第 7 9之 1條第5 項 ： 「 經撤銷假釋執行殘餘刑期者， 無期徒刑於執行滿二 ： 1 ■ 五年， 有期徒刑於全部執行完畢後， 再接續執行他刑， 第一項有關合併計算 執行期間之規定不適用之。」 參 、聲請人之主張及立場 一 、刑法第79之 1 條第 5 "
5,985,"2 . 婚姻與家庭權利 經濟社會文化權利國際公約第1 0 條規定「 家庭為社會之自然基 本團體單位， 應盡力給予保護與協助， 其成立及當其負責養護教育 受扶養之兒童時， 尤應予以保護與協助」 。 我國釋字第 7 12號解釋 有謂「 基於人性尊嚴之理念， 個人主體性及人格之自由發展"
6,1145,"本諸法治國家保障人權之原理及刑法之保護作用， 其法律規定之 内 容 ， 應受比例原則之規範， 使保安處分之宣告， 與行為人所為行為 之嚴重性、 行為人所表現之危險性， 及對於行為人未來行為之期待 性相當 。 槍砲彈藥刀械管制條例…不問對行為人有無預防矯治其社 會危險性之必要， 一"
7,1102,"係不得已之最後手段。 立法機關如為保護合乎憲法價值之特定重要 法益， 並認施以刑罰有助於目的之達成， 又別無其他相同有效達成 目的而侵害較小之手段可資運用 ， 雖得以刑罰規範限制人民身體之 自由， 惟刑罰對人身自由之限制與其所欲維護之法益■仍頦合乎比 例之 M 係 ， 尤其法定刑"
8,1086,"且參諸現行實務， 主管機關於有上揭情形時皆對系爭條文為彈性解 釋 ， 有條件允許之。 足見就藥師執業處所僅限於一處之規範， 設置 一定條件之例外確有其必要。 系爭條文於藥師不違反前揭立法目的 之情形下， 或於有重大公益或緊急情況之需要時， 一律禁止藥師於 其他處所執行各種不同之藥"
9,1236,"! 親 難 將再滋圭目 k 5 一射邑常見之等者不等、 因法皆或裁 i 已常見之!等者 鐵 恭 徽 . 一 者？ I ?而准否 d 假 f 糊砵， ^ 4 芩, 輸 . 結果不同之不公外， 更可能另生對原被處無期徒刑之重罪者撤銷假釋令 : ： 服殘刑25年過苛， 故裁量不撤銷假釋"
10,1319,"(三） 長期監禁造成受刑人身心之侵害， 恐有違背（ 公民與政治權利國際 公約 〉 （ International Covenant on Civil and Political R i g h t s ， 下稱 「 公政公約」） 之虞 1 . 按公政公約第 7 條明文： 「 任何"
11,501,"實 足已構成殘忍、 非人道或侮辱待遇。 禁止酷刑委員會即認定待死刑犯長期對於死亡預知之不確定所產生之心理焦慮與精神痛苦， 現象之所以構成酷刑， 不單係因為惡劣之監所條件， 更可能是長期 監禁所造成之精神痛苦。前美國聯邦最高法院大法官 Wiliam J . Brenan 則以死刑犯"
12,509,"_ 丨 、 列 . | 鮮 線 達 森 i 曹 费 3 说 每 上 缉 乏 理 A % 与 4 成 摊 H 韶 經 爾 擔 右 1 换 统 . 7 蜃 誃 衫 （ 共 义 轻 句 f 同 、 , 价 乂 「 ( 復 J • 准 「大 釣 權 ^ /序 f 如 歌 A : 「 幸 "
