pdf_page,chars,preview
1,554,"釋字第六九六號解釋協同意見書 大法官 羅昌發 本號解釋宣告中華民國七十八年十二月三十日修正公 布之所得稅法第十五條第一項所規定「納稅義務人之配偶， 及合於第十七條規定得申報減除扶養親屬免稅額之受扶養 親屬，有前條各類所得者，應由納稅義務人合併報繳」（該 項規定於九十二年六月二十五"
2,603,"「中華民國五十二年一月二十九日修正公布之所得稅 法第十五條、第十七條第一項，關於納稅義務人應與其 有所得之配偶及其他受扶養親屬合併申報課徵綜合所 得稅之規定，就申報之程序而言，與憲法尚無牴觸。惟 合併課稅時 ， 如納稅義務人與有所得之配偶及其他受扶 養親屬合併計算稅額，較之單獨計"
3,915,"Comision of Wisconsin et al .1 一案中，針對美國威斯 康辛州有關夫妻在該州法律本來屬個別的收入 ， 納為合 併所得（ joint income ） ，並以之作為課稅基礎的規定， 認為屬於「武斷（恣意）而歧視性的規定」（ arbitrary andis"
4,587,"規定不合。其三，稅法規定將夫妻收入加總計算，將因 此使其適用較高的稅率，違反憲法規定而無效。反觀我 國於本號解釋將夫妻合併計算所得之規定宣告違憲 ， 雖 值肯定，但已屬就此議題採取違憲立場的後進國家。 貳、 婚姻及家庭權作為憲法上權利遭受侵害之情形應予明 確宣示 一、 本號解釋理"
5,821,"勢，不無落差。 二、 國際人權條約對婚姻與家庭權之承認及其內涵： （一） 一九四八年世界人權宣言（ Universal Declaration of Human Rights ） 第十六條承認家庭作為社會自然且根 本的單位，並承認男女結婚共組家庭的權利。經濟、 社會與文化權利國際"
6,582,"（二） 我國已透過「公民與政治權利國際公約及經濟社會文 化權利國際公約施行法」，施行該二公約。雖該施行 法在我國內屬於法律位階 ， 然在我國法律體系內納 入並執行國際人權公約 ， 亦可證明我國對於該等人權 公約所承認之人權價值 ， 有明確且直接之肯定 。 我國 雖非前揭世界人權宣"
7,818,"及基於婚姻與家庭之承認顯然有益於社會秩序與公 共利益 ， 應足認婚姻及家庭的基本權利 ， 係蘊含於憲 3 法第二十二條的保障範圍。 （二） 本院釋字第三六二號 、 第五二號解釋及第五四號 解釋均曾明白表示 ， 婚姻與家庭為社會形成與發展之 基礎 ， 受憲法制度性保障 。 該等解釋"
8,577,"言 ， 應包括提供正面的制度與規範 ， 確保人民得以行 使其成立婚姻關係或建立家庭的權利 ， 及使其家庭生 活得以被尊重 ； 消極而言 ， 則應包括排除對成立婚姻 關係或建立家庭造成負面影響之制度性因素 ， 並排除 干預家庭權利的法規制度或行政作為 。 本席贊同前引 本號解釋理由"
9,603,"時，常陷入審查方法的抉擇困難。有認為應先確認受審 查法令之目的究是否係在保護單純合法或正當的目的 （或公共利益）、 抑或保護重要的目的（或公共利益）、 抑或涉及憲法上基本權利 ， 以決定所採取之手段與目的 4 二、 本席以為，採用任何分析方式，必須以我國憲法為最後 依歸，而不宜超"
10,649,"增進公共利益所必要者外，不得以法律限制之。」 本條 所規定限制自由權利之前提，為須以法律為之 （某些情 況下，亦得以法律明確授權之命令為之）。如非以法律 為之，無論其理由如何正當，均無法通過憲法第二十三 條之檢視。在確定有法律作為基礎之前提下，尚須進一 步檢視本條所列舉 「為防止"
11,550,"意見書及釋字第六九三號解釋之部分不同意見書之闡 述）。此種分析方法不但較符合我國憲法體制，且容許 釋憲者依據客觀因素進行實質的價值判斷與利益衡 量，而有其客觀性。 四、 系爭規定依照前段原則分析的結果 ， 其對人民平等權及 婚姻與家庭權所為之限制並無憲法上正當性： （一） 系爭規"
12,532,"徵效益的某程度重要性。 2. 系爭規定對於所擬達成的目的可以提供的貢獻或功 能：系爭規定強制夫妻就薪資以外之所得，一律合併 計算，使稽徵機關無須認定夫妻個別申報之所得是否 係為避免其中一人所得過高而經不當安排或分散所 致。故其規定確可避免納稅義務人不當分散所得，減 少稽徵成本，並"
13,419,"可減少不當分散所得；採某些稅制亦可排除或減少不 當分散所得並降低稽徵成本；針對其他較不符合社會 公義的免徵或漏徵所得稅部分進行課徵，所可增加的 稅收遠比因夫妻合併計算所增加者為高。本席在此所 舉之例，並非暗示將來立法者所需採之立法方向；蓋 此為立法裁量之範圍。本席在此僅強調確有其"
