pdf_page,chars,preview
1,784,"釋字第六九四號解釋 部分協同暨部分不同意見書 大法官 湯德宗 本席贊同本件多數可決之「違憲」結論（「解釋文」） - 中 華民國九十年一月三日修正公布之所得稅法第十七條第一 項第一款第四目之年齡限制（未滿二十歲或滿六十歲以 1 （下稱 「系爭規定」），列報扶養其亡兄之 嫂羅秀滿 （"
2,1109,"規定之 「年齡限制」（「未滿二十歲或滿六十歲以上」） 為由， 予以剔除 ， 並核定補徵稅額分別為 17,612 元、 9,211 元、 9,822 元及應退稅額 31,424 元。聲請人不服，經申請復查、訴願均 遭駁回；提起行政訴訟亦先後遭臺北高等行政法院 98 年度 簡字第 2"
3,1522,"文化生活之最低給與標準」）乃屬立法裁量之範圍，殆非法 院所得越殂代庖 。 是國家對此固有積極作為（給付）之義務， 3 人民卻無以訴訟請求法院強制實現的 （主觀） 權利。 今日本 號解釋明白釋示：一旦立法者依其裁量，提供其以為適當之 4 尤其難能者，本號解釋更突破本院關於「平等權」"
4,1461,"規定之年齡限制「將影響納稅義務人扶養滿二十歲而未滿六 十歲無謀生能力者之意願，進而影響此等弱勢者生存或生活 上之維持。 故系爭規定所形成之差別待遇是否違反平等原 則，應受較為嚴格之審查 」。雖多數大法官對於所謂「較為 嚴格之審查」之認知（包含內涵及操作方法）容有誤解（詳 後），本"
5,937,"憲」。 吾人由本案並可合理期待：未來大法官關於法規差別待 遇是否合憲之審查，將視個案情形而採取不同的審查基準。 質言之， 如其涉及人民憲法上所保障之「根本基本權」 (fundamental rights)6 （如 「人性尊嚴」 或 「生存權」 之維護）， 或系爭差別待遇係以遭受差"
6,652,"力求簡約，僅宣示「結論」，不作論理；「解釋理由書」則先 敘明「準據規範」，再交代「事實認定」，最後作出推論（將 認定之事實「涵攝」於擬準據之規範）。 「解釋理由書」第一段正確指出，憲法第七條之「平等 原則」乃在追求「實質平等」，並指明其判斷方法：「其判斷 應取決於該法規範所以為差"
7,598,"按本院前於釋字第六二六號解釋以「較為嚴格之審 查」，宣告警大招生簡章排除色盲考生報考之規定違反「平 等原則」時，已正確宣示：「系爭規定自應受較為嚴格之審 8 。表 面上看，本件前揭多數意見不過是將釋字第六二六號解釋所 宣示的「重要公共利益之目的」修正為「合憲之目的」而已 （至「差"
8,844,"建立的「合理審查基準」（「低標」）為例，旨在探問： 系爭 法規範所以為差別待遇之目的是否為追求「合法之公共利 益」 (a legitimate/ permisible public interest) ，且其所採取之分 類與規範目的之達成間，是否存有 「合理之關聯」 (ratio"
9,1370,"範所以為差別待遇之目的 是否為追求「合法之公共利益」， 且所採取之分類與規範目的之達成間，是否存有「合理之關 聯」；如將審查標準提高至「中標」時，則應檢視系爭法規 範所以為差別待遇之目的 是否為追求「重要公共利益」，且 其所採取之分類與規範目的之達成間，是否存有 「實質關 10 "
10,668,"14 模式」， 或謂「二元分析架構實際上恐難發揮審查、過濾的 作用」，或謂「關於平等權限制之審查，與關於自由權限制 之審查不同，本院無需發展『比例原則』式的分析架構」， 在顯示本院迄今使用之「二元聯動式平等權分析架構」殆 屬「不知而行」之意外產物。無怪乎本案多數大法官輕率放 15"
11,624,"尤有甚者，多數意見因此陷入「一著錯、滿盤輸」的窘境！ 四、按多數意見宣示之分析架構論證，本案毋寧應獲致 「合憲」之結論？ 「二元聯動」式分析架構宛如人之雙腿，原可行動自 如；今任意改為「一元」分析架構（僅存「手段與目的關聯 性」審查），則如獨腳而行，不免困難重。本案原因事實 恰為"
12,688,"據上，除了關於系爭差別待遇手段與「徵起適足稅收」 （目的）之關聯性漏未審究外，多數意見認定系爭差別待遇 手段與其他三個立法目的之達成間，皆欠缺實質關聯。其 中，系爭差別待遇手段與「鼓勵孝親」及「課稅公平」兩目 的之達成間，甚至欠缺 「合理關聯」（所謂 「與 … 有違」、「難 謂合"
13,586,"元聯動」式分析架構之後果至此已然浮現。 五、放棄「二元聯動」分析架構，大法官即須直接進行 赤裸的利益衡量 多數意見驚覺按照新建立之「一元」分析架構，無以獲 致令人信服之「違憲」結論，惟礙於多數前已議決「審查原 則」（系爭規定為「違憲」），乃不得不於勉強認定系爭差別 待遇 （年齡限"
14,1104,"所知，「二元聯動」式分析架構旨在使釋憲機關（憲法院） 於審查（判斷）法律對於憲法所保障之平等權（或其他基本 權利）之限制是否「合理」時 ， 能藉由類型化的思考（論證）， 避免個案赤裸的利益衡量，容易失諸武斷（言人殊）、 16 流於恣意的弊病； 並提高憲法解釋 （憲法裁判） 的預見"
15,532,"質關聯」。蓋由卷附資料尚難論斷「採取系爭差別待遇（未 滿二十歲或滿六十歲之年齡限制）一般即可徵起適足稅 收」。尤其，能否徵起適足稅收原因甚多，而系爭規定之免 稅額數額甚微，影響有限。總此，系爭規定所採取關於生存 19 ，系爭 差別待遇（未滿二十歲或滿六十歲之年齡限制）乃未能通過 "
