pdf_page,chars,preview
1,628,"司法院釋字第六九四號解釋 協同意見書 大法官 葉百修 本件解釋就中華民國九十年一月三日修正公布之所得稅 法第十七條第一項第一款第四目前段規定：「按前四條規定 計得之個人綜合所得總額， 減除下列免稅額及扣除額後之餘 額，為個人之綜合所得淨額：一、免稅額：納稅義務人按規 1 ，認乃係"
2,1041,"憲法第十五條規定，人民之生存權、工作權及財產權， 應予保障。單純從條文結構而言，將生存權與工作權、財產 權等一般所謂社會經濟權並列 ，亦可見我國憲法沿襲德國威 3 瑪憲法精神 而具有濃厚之社會主義與福利國家的色彩，此 亦可由我國憲法基本國策相關規定合併觀察 。既然我國第十 五條對"
3,892,"符合「人性尊嚴」的要求而以「人」而存在，因此，包括憲 法第八條人身自由、第十五條工作權、財產權、第十七條參 政權 、 第十八條應考試服公職 、 第二十一條受國民教育之權 利等 ， 均應於生存權之概念下予以保障 ， 而屬最廣義之生 7 。 （二）生存權之比較憲法觀察 1. 國際人權"
4,979,"Cultural Rights, ICESCR) 第十一條第一項前段規定 ：「本公 約締約各國承認人有權為他自 己和家庭獲得相當的生活 水準，包括足夠的食物、衣著和住房，並能不斷改進生活條 件。」及第十二條第一項規定：「本公約締約各國承認人 有權享有能達到的最高的體質和心理健康的"
5,797,"定：「國家就一切生活方面 ， 應致力於提高與增進社會福祉、 社會保障以及公共衛生 。 」 雖然憲法上開條文明確保障人民 之生存權 ， 但關於生存權保障之權利性質 ， 日本學說與實務 見解則意見紛歧 ，對於該條文是否賦予生存權之「主觀權利」 之性質 ， 人民得否據以請求國家為一定作"
6,827,"礎的社會權 ， 因此 ， 日本最高裁判所上開判例單純將兩者切 割，繼而從社會權觀點認為日本憲法第二十五條之規範僅屬 綱領性規範 ， 不僅於該案中多位法官提出不同意見 ， 學者間 亦多所批評 17 。無論如何，此項判例影響之後日本實務見 解，均將日本憲法第二十五條第一項規定視為綱領"
7,754,"烈討論，並進一步朝向人民得依據憲法第二十五條生存權保 障 ， 向國家具體請求生活保障之權利 ， 開啟一連串關於生存 19 權保障之訴訟案件 。 (2). 生存最低限度之意義與範圍 從上述日本實務見解對於生存權保障之闡釋可知，關於 憲法保障生存權之意旨如何落實， 目前雖然肯定其具體"
8,737,"未予以正面直接闡釋其意涵。最早關於學校對於聘約期滿之 教員不予續聘之程序規範，於釋 字第二０三號解釋理由書 中 ， 首度引述憲法第十五條生存權之保障 ， 惟未就其內涵有 任何具體闡述 。 然從釋字第二０三號解釋可知 ， 本院就憲法 第十五條生存權之保障 ，亦與憲法第一百六十五條之"
9,722,"其他人民權利保障及基本國策相關規定， 同時參照外國憲法 實務見解 ， 復以我國業已制定公布 「公民與政治權利國際公 約及經濟社會文化權利國際公約施行法」，上開經濟社會文 化權利國際公約相關規定， 於本院解釋憲法生存權保障之意 涵時，均足以資參照。 二、所得稅法上免稅額具有保障人民"
10,707,"共一百六十三條規定時，第一百三十七條第一項規定：「納 稅義務人有未能獨立生活而必須扶養之親屬 ，其綜合所得由 納稅義務人合併申報 ， 或無綜合所得者 ， 於計算綜合所得額 時，得按人數扣除寬減額。其屬 中等或中等以上學校之學 生。得加扣教育寬減額。」 隨後於四十四年十二月二十三日"
11,638,"言 ， 系爭規定所為之免稅額 ， 應本於保障人民生存最低限度 之要求 ， 而具有國家履行憲法保障人民生存權之一種手段， 復以憲法第一百五十五條規定 ， 人民之老弱殘廢 ， 無力生活 者，國家應予以適當之扶助與救濟亦足以證之。 三、本件聲請人受侵害憲法權利之認定 誠然，國家為達成保"
12,689,"然從實質觀點而論，法律之所以設有扶養義務，乃在國 家基於憲法保障人民生存權之意旨下 ，就同居之親屬或家屬 間 ， 有不能維持生活而無謀生能力者 ， 在國家以社會救助制 度介入前，由同居之其他具有經 濟能力者先予善盡照顧扶 助 ， 而直系血親尊親屬無論是否具有謀生能力 ， 均享有受"
13,857,"1. 本院釋字第五０二號解釋尊重立法裁量 我國憲法第七條平等權保障，例示無分男女、宗教、種 族、階級、黨派，本院歷來解釋就不同歧視類型以不同審查 基準，大致亦有若干具體判斷基準以資依循。大體而言，若 法律所為差別待遇之區分標準係 以非屬人力所得控制之生 30 理狀態或具有弱勢之結"
14,1029,"於被收養者二十歲以上 ，及第一千零七十九條之一關於違反 第一千零七十三條者無效之規定 ， 係以尊重世代傳統 ， 限制 收養者與被收養者之年齡差距 ， 符合我國倫常觀念 ， 為維持 社會秩序 、 增進公共利益所必要而認定合憲 ， 對於民法以年 31 ，國際間對於收養者之婚姻關係、性"
15,953,"2. 美國憲法之比較觀察 關於美國憲法上年齡歧視之合憲性問題，一般係以美國 聯邦最高法院於一九七六年所作 Masachusets Board 34 of Retirement v. Murgia 一案判決 為指標性案例。於 Murgia 一案中涉及麻州著制服州警察強制退休年齡是否"
16,1194,"基準， 聯邦最高法院不願意貿然承認其構成可疑分類而適用 嚴格審查基準亦可理解， 然如同大法官 Thurgod Marshal 於不同意見所言 ，此項限制仍可能涉及五十歲以上之人其憲 法所保障之其他重要「基礎性權利」 (fundamental rights) ，而仍應有嚴格審查基準"
17,1035,"（二）年齡歧視應適用中度審查基準 年齡作為法律之分類基準，於我國各項法律規範中不勝 40 枚舉，例如民法上訂婚、結婚年齡 。固然基於人類社會運 作之現實 ， 以及人類生理與心理自然成長的條件 ， 從法律的 41 ，亦即立法者須「提出 更重要之立法目的， 並以實質有效且侵害較小之手"
18,676,"43 程度係可接受等，」 以及手段與目的間具有實質關聯性負 舉證責任。尤有甚者，此類以年齡為差別待遇之分類基準， 與其他分類基準如性別、種族、性傾向等，其背後均隱藏社 會對於此類分類所指涉的人民或族群既定之刻板印象，於 審 查其合憲性時 ， 本院不應僅流於形式推論 ， 而應進一步"
