pdf_page,chars,preview
1,869,"會台字第12771號聲請人臺北市政府及 會台字第12674號聲請人祁家威聲請解釋案 鑑定意見 張文貞/臺大法律學院教授 2017/3/29最後修訂稿 一 、 婚姻自由/婚姻權 . 1 1 . 婚姻自由/婚姻權受憲法第22條所保障 . 1 2 . 憲法上婚姻自由/婚姻權的 内 涵與"
2,1214,"婚姻自由/婚姻權加以保障者， 是在釋字第242號解釋。 1 其後， 司法院大法官在釋字第362號解釋審查民法有關重婚無效的規定時， 再次提到「 憲法保障人民結婚自由權利之意旨」 ， 但並未援引憲法第22條作為規 範依據。 2 而在釋字第552號解釋補充釋字第362號解釋時， 司法"
3,1273,"到 「 立法者考量夫妻共同生活」及 「 一夫一妻之婚姻制度」 。 8 上述這些解釋在提及「 婚姻」 、 「 婚姻關係」 或 「 婚姻制度」 時 ， 均直接以「 一 男一女」或 「 一夫一妻」作為婚姻關係的相對人， 並將此種「 一男一女」或 「 一 夫一妻」間的婚姻， 定位為社會形"
4,1451,"倫理關係， 實現男女平等原則， 及維持社會秩序， 應受憲法保障。 民法第九百八 十八條第二款關於重婚無效之規定， 即本此意旨而制定。 婚姻自由雖為憲法上所 保障之自由權， 惟應受一夫一妻婚姻制度之限制。 」由此段論理可以看出， 婚姻 自由/婚姻權的 内 涵， 顯然不同於一夫一妻的"
5,1782,"的保障相互牴觸， 還是有進一步判斷的必要。 3 . 憲法上婚姻自由/ 婚姻權的定義與 内 涵 如前所述， 我國司法院大法官從未真正具體定義並完整論述受憲法第22條 保障婚姻自由/婚姻權的 内 涵。 不過， 在相關的解釋中， 大法官卻也清楚說明， 婚 姻 ， 是 「 使雙方人格得以"
6,1962,"結婚 ？ 23當時法庭一陣嘩然， 而 Ginsburg 大法官直指核心的這個提問， 也被媒 體一再播放， 並加以討論。 不可否認地， 從過去到現在的社會慣習、 並經法律所承認的婚姻， 是在男女 異性間的永久結合（ 但不見得是一男一女24 ) 。 不過， 如前所述， 婚姻這樣的社會"
7,1734,"4 . 婚姻自由/婚姻權限制的審查 憲法上所保障婚姻自由/婚姻權的 内 涵，已如上述。 惟婚姻自由/婚姻權的保 障 ， 亦並非絕對， 而仍得於憲法第23條所定要件下， 以法律予以限制。 必須進 一步予以探究的是， 面對法律對於憲法所保障婚姻自由/婚姻權的限制，司法應 採取嚴格或寬"
8,1804,"相較於美國聯邦最高法院對於婚姻自由/婚姻權限制的審查標準的「 靜默」， 美國各州法院的就有比較明白的表態。 例 如 ， 麻州最高法院在 Godr / 办 e v . Depar 加 e 故 〇/丑 ea / 決判決中， 就明白以嚴格標準來審查限制婚姻自由/婚姻權的 立法。 37加"
9,1894,"如前所述， 憲法所保障的婚姻自由/婚姻權， 在於使一個人透過與另外一個 人所組成的永久結合， 共同實現兩個人在表意、 親密及精神上的所有根本性的自 由權利。 4 從 而 ， 婚姻自由/婚姻權與個人格發展及自主實現的重要 内 涵， 也 與表意自由、 結社自由及隱私權密不可分。 既然"
10,1425,"性所訂定的婚約。 這是法律解釋必須遵循憲法規範的必然結果。 換言之， 在本件解釋， 司法院大法官不見得必須宣告系爭規定違反憲法第22 條所保障的婚姻自由/婚姻權， 也可以透過清楚定義憲法上有關婚姻自由/婚姻權 保障的「 婚姻」 内 涵 （ 亦即「 婚姻」並非僅限在一男一女之間， "
11,1347,"又再度立法直接承認同性婚姻。 5 0 二 、 平等權 我國憲法第7 條規定： 「 中華民國人民， 無分男女、宗教、 種 族 、 階級、黨 派 ， 在法律上一律平等。 」而本條所指之平等， 並非「 絕對、 機械之形式上平等， 而係保障人民在法律上地位之實質平等， 立法機關基於憲法之"
12,1851,"經濟結構弱勢」56的差別待遇時， 即會提高平等權的審查標準。 本件系爭規定， 在原來的解讀下， 僅容許異性間的男性與女性結婚， 而不容 許同性間的男性與男性、 女性與女性結婚， 明顯是以性傾向的分類作為婚姻締結 允許與否的差別待遇。而此一基於性傾向所為在婚姻自由/婚姻權保障上作差"
13,1725,"回到我國， 系爭規定以性傾向的分類作為婚姻締結允許與否的差別待遇， 受 其限制者主要為 長期受社會結構性歧視的同性傾向者 ， 按照前述釋字第666號 解釋的意旨， 應審慎檢視其分類及差別待遇所欲達成之目的是否為重要公益， 而 所採分類及差別待遇之手段與目的之間， 是否有實質關聯 "
14,1258,"婚姻權或家庭權的 内 涵與保障範圍。 64事實上， 婚姻自由/婚姻權與家庭權的概 念、 内 涵及保障範圍， 均不相同； 家庭並非均以婚姻為基礎、 或從婚姻衍生而來。 家庭權的 内 涵與保障範圍， 要比婚姻自由/婚姻權來得更加寬廣。 例如， 公政 公約對於家庭就採取開放性的定義， "
15,535,"司法院大法官曾透過諸如單純違憲宣告、 定期失效、 合憲性解釋等機制， 來緩解 多數與少數、 民主與人權之間的衝突。 67這次同性婚姻的憲法解釋， 又將再一次 地考驗我國釋憲者的智慧與勇氣。 6 7 參見林子儀、 葉俊榮、 黃昭元、 張文貞編著（ 2 0 1 6 ) ， 《 憲法："
