pdf_page,chars,preview
1,422,"法務部函 受文者：司法院秘書長 主旨： 大院大法官為審理會台字第12771號聲請人臺北市政府及會 台字第12674號聲請人祁家威聲請解釋案， 檢送本部就本案 言詞辯論爭點之書面意見乙份， 請查照。 說 明 ： 一 、 復貴秘書長106年2月10日秘台大二字第1060003940號"
2,746,"司法院大法官審理會台字第12771號聲請人臺北市政府及會 台字第12674號祁家威聲請解釋案 法務部書面意見 茲依司法院秘書長106年 2 月 10日秘台大二字第1060003940號 函 ， 就該函檢附之本案言詞辯論爭點， 敘明如下： 1. 民法第4 編親屬第2 章婚姻規定是否"
3,786,"例如:「 一夫一妻婚姻制度之社會秩序 j ( 司法院釋字第242號 、 22條規定， 應受保障 i 司法院釋字第362號解釋理由書參照） ； 大法官解釋亦肯認民法之婚姻係「 一夫一妻婚姻制度」（ 司法 院釋字第242號 、第 362號 、第 552號解釋參照） 。 準 此 ， 在"
4,985,"法律上一律平等』『 國家應維護婦女之人格尊嚴， 保障婦女之 人身安全， 消除性別歧視， 促進兩性地位之實質平等』， 憲法 第 7條及憲法增修條文第9條第5 項 ， 分別定有明文。 由一男 一女成立之婚姻關係， 以及因婚姻而產生父母子女共同生活之 家庭， 亦有上述憲法規定之適用」（"
5,889,"邦最高法院作成 Obergefel et al . v . Hodges 判決認定各州 誠如 Obergefel 案判決34頁多數意見與64頁不同意見所爭 民事伴 侣 結合（ PACS ) 的同性伴侶申請結婚遭拒， 因而提訴其 以色列、巴西、 美國、 哥倫比亞4 國係以判決方式承"
6,879,"( 三 ） 組織家庭之保障與婚姻自由有別 本案會台字第12674號聲請人析述 缔 結婚姻、 組織家庭之保障 為憲法第22條保障之基本權利， 惟婚姻自由與組織家庭之保 障二者應予區別， 後者似屬家庭權之範疇。 按婚姻自由之保障 範圍包括： 婚姻締結自由、 共同生活的維持、 受扶養權"
7,760,"民法婚姻規定以一男一女為限， 並未違反憲法第22條所保障 婚姻自由之規定。 3. 第一題答案如為否定， 是否違反憲法第7 條保障平等權之意旨？ (一） 憲法第7 條保障平等權之意旨 憲法第7 條規定： 「 中華民國人民， 無分男女、宗教、 種 族 、 階 級 、 黨 派 ， 在法"
8,783,"可 欲 （ desirable ) 的選項？如採取非婚姻之其他制度， 於現 記之規定， 係基於婚姻制度為一男一女結合之本質， 而以結婚 對象之生理性別（ 戶籍登記之性別）為分類標準， 形成與選擇 同性為婚姻對象者間之差別待遇。 民法有關婚姻之規定， 係立 法者考量「 一夫一妻婚姻"
9,903,"由 」（ distinction and fredom ) ( 顏厥安著， 模擬憲法庭 (二）專法並非隔離之歧視 1 、 按法律上是否構成歧視的判準不在於法源， 而在法律效果。 僅以立法方式， 即認為係隔離、 歧 視 、 不平等， 恐限縮立法 者之形成空間， 毋寧應視法律之實質規"
10,903,"予各國必須承認同性婚姻之義務。 又歐洲人權法院在 Schalk and Kopf v . Austria ( 2010 ) 及 Chapin and Charpentier v . France ( 2016 ) 等案， 亦維持歐洲人權公約第12條 「 依 内 國法 弭歧視」之各"
11,884,"結婚之義務 ； 另歐洲人權法院於01 iari and Others v . Italy 保原告近用得以承認並保障同性結合之特定法律框架 （ a specific legal framework providing for the recognition and protecti"
12,542,"htps : / docs , gogle , com / file / d / 0 B 0 _ aBW 71 jGuRGVzOGI wVFRwcVE/edit 。 關係法」判 決 ， 德國聯邦憲法院裁判選輯（ H ■ — ）。 ( 十七）翁燕菁譯， 歐洲人權法院2016年 6 "
