pdf_page,chars,preview
1,521,"正 八 % 聲請線上查詢案件進度， 陳報 E-Mail (以一組為限）如 下 ： E-Mail : 112年度台抗字第219號刑事裁定所適用刑法第79之 1 條 第 S 項規 \pLi36l8577y 法規範暨裁判違憲審查聲請書 F 案號： （ 尚未分案） 112, 9 . « "
2,713,"應受判決事項之聲明 一 、 請求鈞庭宣告刑法第7 9 之 1條第5 項規定， 過度侵害憲法第8 條所保障之人身自由， 違反罪刑相當原則及憲法第23條比例原 則 ， 應自鈞庭判決公布之日起失其效力。 二 、 最高法院112年度台抗字第21 9 號刑事裁定除因適用刑法第 7 9 之 "
3,856,"9 4年 I 月7 日修正施行之現行刑法第7 9 條 之 1 第 5 項規定， 應服殘 月 5 日入監， 9 5年 9 月2 0 日假釋出監， 並交付保護管束 （ 假釋期滿 曰為105年 9 月 1 9 曰） 。 (二） 民國1〇2 年假釋撤銷 嗣聲請人於假釋期間未依規定報到 （"
4,761,"期徒刑於執行滿二十五年， 有期徒刑於全部執行完畢後， 再接 續執行他刑， 第一項有關合併計算執行期間之規定不適用 之 。」 (二） 刑法施行法第7 條之2 第 2 項 ： 「 因撤銷假釋執行殘餘刑 期 ， 其撤銷之原因事實發生在八十六年十一月二十六日刑法修 正公布後， 九十四年一"
5,838,"旨在保障人民有自由設定住居所、 遷徙、 旅 行 ，包括出境或入境之 權利。 對人民上述自由或權利加以限制， 必須符合憲法第二十三條 所定必要之程度， 並以法律定之」 。 撤銷假釋後， 受假釋者必須進入 某一監獄， 即無法自由地設定住居所、 遷徙、 旅 行 ， 監禁的環境當 然使其"
6,841,"監 内 、 外工場或其他特定場所為之」 a 亦即， 一旦受假釋者因撤銷假 憲法第15條規定「 人民之工作權應予保障」 ， 依我國釋字第64 9 號解釋， 工作權之保障係指人民有從事工作並有選擇職業之自由。 而監獄行刑法第3 1 條第1項前段規定「 受刑人除罹患疾病、 入監 調查期"
7,805,"場 所 ， 強制工作， 其期間為三年； 犯前項之罪者， 其期間為五 年 。』該條例係以三人以上， 有 内 部管理結構， 以犯罪為宗旨 或其成員從事犯罪活動， 具有集團性、常習性、 脅迫性或暴力 性之犯罪組織為規範對象。 此類犯罪組織成員間雖有發起、 主 持 、 操 縱 、 指揮、"
8,837,"4 . 司法院釋字第777號理由書謂： 「 人民身體之自由應予保障， 憲 法第8 條定有明文。限制人身自由之刑罰， 嚴重限制人民之基 本權利， 係不得已之最後手段。 立法機關如為保護合乎憲法價 值之特定重要法益， 並認施以刑罰有助於目的之達成， 又別無 其他相同有效達成目的而侵害"
9,772,"個案顯然過苛之處罰， 致有嚴重侵害人民財產權之不當後果， 立法者就此未設適當之調整機制， 其對人民受憲法第十五條保 障之財產權所為限制， 顯不符妥當性而有違憲法第二十三條之 比例原則， 有關機關應儘速予以修正， 並至遲於本解釋公布之 曰起屆滿一年時停止適用。」 2 . 司法院釋字"
10,803,"人 權 ， 立法機關為保護特定重要法益， 以刑罰限制人身自由， 雖非憲法所不許， 惟因刑罰乃不得已之強制措施， 具有最後手 段之特性， 應受到嚴格之限制 （ 本院釋字第646號 、第66 9 號 及第775號解釋參照） ， 尤其法定刑度之高低應與行為所生之 危害 、 行為人責任之"
11,779,"告之人， 於執行15年後即可聲請假釋 （ StGB 57 a ) 、日本更 考 量 ， 才能公平解決問題外， 另假釋制度最為人詬病者在相 關程序不透明， 6 同樣地， 監獄行刑法、 外役監條例規定下之 縮短刑期制度之公平性、 透明度也顯然非為外人所能知， 當 然更遑論受公評。又撤"
12,839,"利國際公約〉 （ Internationa 丨 Covenant on Civi 丨 and Political R i g h t s ， 下 稱 「 公政公約」 ）之虞 僅須執行10年即可聲請 （ 參日本刑法第28條 ） ， 然德國刑 法及日本刑法中， 對假釋中再犯之人， 對"
13,842,"期監禁與惡劣的監所條件， 可能違反1 CPR 第7 條禁止酷 刑之要求。 Prat and Morgan v . Jamaica ( 1 9 3 ) 案 ， 英國樞 標準在其後的 Guera v . Baptiste ( 1 9 6 ) 案與 Henfield v . Baham"
14,778,"4 . 本案及其他遭到撤銷假釋之無期徒刑受刑人， 雖並非死刑 犯 ， 實務上長期監禁之情況， 卻猶如讓這群無期徒刑受刑人 在監所等待老死、 病死 。 對未來毫無希望感的監禁狀態， 在 死刑犯身上3 到4 年就已經被視為酷刑， 更何況是對於面臨 25年殘刑之受刑人， 其心理及生理健"
15,775,"仍在審理中或經判決有罪確定之案件， 仍應依刑法第2 條之 法 理 ， 為法律之適用， 庶得以解決目前實務界對適用懲治盜 匪條例之爭議。 …」 民國 9 0年 1 月 8 日立法院三讀通過廢止懲治盜匪條例， 並通 過中華民國刑法部分條文修正草案，包括提高舊刑法強盜罪 之法定刑、 增"
16,785,"時法廢止後， 命獲得假釋處分因涉犯微罪被撤銷之個案再回 頭適用被廢止的舊法、 重服剩餘的刑期， 不僅違反立法價值、 亦不符合人民對國家創建法律秩序之信賴， 更違背一般人民 之法感情。 在其假釋期間竟因微罪遭撤銷假釋而必須回頭適 用舊法或廢止前之法律， 無疑是讓舊法復闢、 讓重新為"
17,703,"無期徒刑確定之最高法院80年度台上字第1221號判決記 载 「 因認上訴人強劫官慶源部分， 係犯懲治盜匪條例第五條第 一項第一款之罪」可 知 ， 確定判決確實只有以懲治盜匪條例 之規定判刑， 並未認定聲請人之行為亦構成刑法第328條之 強盜罪， 懲治盜匪條例第5條第1項第1 款廢"
18,758,"事實之認定與構成要件之涵攝， 其正確與否， 一般而言係屬 各級法院及其審級救濟之權責， 原則上應不受憲法院之審 查 。憲法院僅得於法律之解釋與適用構成違憲時， 始得介 入審查。 如何判斷是否構成違憲， 難有如水晶般透明之標 準 ， 基本上應許憲法庭擁有一定裁量餘地， 俾能顧及個案"
19,720,"1 . 司法院釋字第7 9 2號解釋理由書稱： 「 刑罰法規涉及人民 生命、 人身自由及財產權之限制或剝奪， 國家刑罰權之 行 使 ， 應嚴格遵守憲法罪刑法定原則， 行為之處罰， 以 行為時之法律有明文規定者為限， 且法律所定之犯罪構 成要件， 須使一般受規範者得以理解， 並具預"
20,575,"用行為時之法律， 即86年所規定之「 經撤銷假釋執 行殘餘刑期者， 無期徒刑於執行滿二十年， 有期徒 刑於全部執行完畢後， 再接續執行他刑， 第一項有 關合併計算執行期間之規定不適用之。」而以20年 作為計算而非25年 。 肆 、結論 綜 上 ， 因假釋期間犯罪遭撤銷假釋， 並因"
21,114,"中 華 民 國 9 月 I 曰 撰狀人 ： 周宇修律師 5 围 園 文件編號 内 容 1 2 9 司調0076調查報告 具狀人： 李國光 (扶 助 律 師 ） ‘ $ 文件名稱或 備註 委任狀正本乙份 監察院10 1 2 年"
