pdf_page,chars,preview
1,654,"釋憲聲請書 壹 、 聲請解釋憲法之3 的 真 、 唐 O 龍妨害婚姻案件、 1的 年 度 易 字 1271第號被告黃〇評妨害 貳 、 本案疑義之經過、 性質暨涉及之憲法條文 一 、 本 院 107年度易字第1044號 （ 下 稱 ： 【 L I N E 火辣對話案】 ） 被告羅 "
2,687,"被告知悉陳〇汎已婚， 且公訴人男提出卷 内 被告羅〇傑與陳〇汎 LINE 本院認為， 證人陳〇汎的交互 结 問程序、 雙 方 L I N E 對話 内 容的 之方式為性行為而通姦共4 次 。 囲 認被告羅〇傑 所 為 ， 係犯刑法 第 239條後段之相姦罪。 (二）被告之 辩 解"
3,799,"被告吳 O 真於本院審理時坦承上情， 被告唐〇龍則於本院審理 通姦行為， 本院於審理時盡力促成雙方和解， 告訴人徐 O 福請求賠償 本 案 與 【 L I N E 對話調查案】的事實上爭點栢同， 一旦欲證明被 張〇琪係告訴人黃〇新之妻， 被告黃 O 評明知張〇琪為有配偶之 時 ，"
4,743,"認識張〇琪， 她長槻受到丈夫精神及經濟上的暴力， 我 S 為好奇， 才 骑 啟刑事追訴程序， 「 程序本身， 就是處罸 j ， 通姦罪之偵查、 起 訴 、 (二）被告之辯解、 本案審理過程及事實之認定 被告黃〇評否認有何相姦之犯行， 其辯稱： 我跟張〇琪雖然有去 旅 館 ， 雙方"
5,772,"禁止為婚外性行為 j 、 「 禁止與有配偶之人為婚外性行為」 ， 由此觀之， 四 、 上揚案件所涉及之憲法條文 本案上賻系爭案例， 公訴人均以刑法第2邪條通姦罪、 相姦罪起 訴 ， 而 刑 法 第 條 規 定 ： 「 有配偶而與人通姦者， 處一年以下有期 徒 刑 。其相姦者亦同。"
6,687,"叁 、 聲請解釋憲法之理由及聲請人對本案所持之立場與見解 厚 j 婚 外 「 性行為」， 卻對其他具有高度可歸責性、無法維持婚姻事 當時所為合憲宣告的理由是否充分， 尤其該號解釋迄今已經1 贫 年， 社會環境、 價值觀已有相當之改變， 且該號解釋亦未觸及通姦罪之制 裁規範， 可能"
7,778,"再 以 【 L I N E 火辣對話案】為 树 ， 告訴人之配偶陳〇汎於偵查中證 該通姦行為已經導致雙方的婚姻無法繼續維繫， 因此， 若雙方已無感 情基礎， 僅維持形式上的婚姬關係， 亦在立法者所預設的處罰範 » 。 換言之， 立法者透過刑罰， 限制行為人的性行為自由， 用以維持"
8,797,"等 語 ， 從卷內被告羅 〇 傑與告訴人鐘 〇 奕的 L I N E 對話紀錄看來， 被 性 ， 都違反婚 姆 忠誠義務， 均有悖於「 婚姻與家庭制度的倫理價值 j 。 益 ， 值得用刑罰保護。 然 而 ， 立法者僅針對婚外「 性 j 進行處罰， 卻不以刑罸管制婚外 稱其於本案通"
9,709,"度的倫理價值而言， 恐怕無法自 E 其 說 。 俗可以在社會中被執行， 具有公益的性質， 但依據刑法第 Z 45條第1 「 情」， 形成差射待遇， 就通姦罪之立法目的為： 維護婚姻與家庭制 而 且 ， 倘若婚外性行為違反「 婚姻與家庭制度的倫理價值」， 表 示立法者欲透過刑罰， "
10,601,"想 ， 將處罰擴及於「 有婦之夫 j 5。 負面評價， 但對於遭背棄的他方而言， 並沒有因配偶的婚外性行為， 而受到外部不科的評價， 充其量可能只是「 心裡不爽」的感覺， 與名 譽無關。 西 此 ， 通姦罪的立法目的， 並非名譽。 (四〉確保血統純正？ 通姦罪保護法益另外一偭思考"
