pdf_page,chars,preview
1,468,"臺北市政府函 受文者：司法院秘書長 主旨： 有關本府就同性得否申辦結婚登記聲請釋憲案 （ 案號： 會 台字第1 277 1號） ， 檢陳本府言詞辯論爭點意見書1份 ， 請 鑒核。 說 明 ： 依大院秘書長106年 2 月10日秘台大二字第1060003939號函 辦理。 保存年限"
2,585,"臺北市政府廉法庭言詞辯論爭點意見書 摘要 就爭點 _ ， 聲請人以為， 依民法文義、體 系 ， 與立法者原意， 其有關婚姻之 規定， 應僅適用於一夫一妻之異性結合關係〇除非引用合憲性解釋並大幅「 轉 就爭點三， 限制同性結合關係不得適用民法之婚姻規定， 一 方面 限制了婚姻、 家"
3,121,"非司法釋憲機關所能憑空臆測並予以評價者。而聲請人聲請釋憲之意旨， 亦 與此無關。大院就此爭點， 應不予解釋， 僅將現行法「 未保障同性結婚權利， 牴觸憲法第 2 條與第 7 條」之意旨明確闡釋， 並諭令立法機關限期依解釋意 旨修改法律即可。"
4,680,"爭點一： 民法第4編親屬第 2 章婚姻規定是否容許同 性別二人結婚？ 我國現行法律並未明 睢 直 接禁止「 同性婚姻但在法院實務\ 法務部之解釋1 2 ， 乃至親屬法學者之多數意見， 均傾向認為我國現行 法僅承認「 一男一女」之婚姻。 （ 其他更多資料， 參閱附件一） 依 此 ，"
5,501,"有鑒於此， 聲請人仍認現行民法 （ 以及其他法律） 有關婚姻之規 定 ， 仍僅適用於一男一女之結合， 而不包含同性婚姻。 爭點二： 第一題答案如為否定， 是否違反廉法第 2 條所保障婚姻自由之規定？ (一 ） 同性結婚權之存在 1 . 婚姻自由與婚姻制度之憲法保障 「 婚姻」作為"
6,479,"制度性保障） 等號解釋， 均有明確之闡釋。因 此 ， 婚姻是一個受憲法 保障的客觀制度， 也是人民得以請求「 進入」並 「 受保障」的憲法權 利 ， 應無疑問。 但婚姻在本質上就是一種限定性的框架「 制度」 ， 而不是單純「 免 於國家侵害」之自由權利。因此， 結婚權利也必須在符"
7,804,"院於 2 015年 之 （ ％ e # / e / v .// 〇 办 e / 案判決意見書中， 即從中國的禮 記以及羅馬時代西塞羅的著作開始談起， 指 出 「 從歷史的黎明起， 婚 姻就將陌生人轉變成親戚， 並將家庭與社會連結起來 j ( Since the dawn of h"
8,852,"Lyer 將婚姻之動機， 分 為 「 子女的生產」 、「 經濟的互助」， 與 「 愛情 的需要』* 8而正因婚姻有這樣多重之功能， 在台灣與美國之許多調查， 均顯示「 婚姻與家庭幸福為個人生活追求的首要目標」 。9 1 0 至於在宗教 影響力較大的國家地區， 婚姻作為履行宗教精神"
9,655,"婚者而言， 婚姻配偶始終享有所得稅法上的各種減免， 那是否形同「 懲 罰單身」？不 ！ 因為在憲法價值體系上， 就是把婚姻當成一個重要制 度加以保障。所以婚姻優於單身是可以的， 但婚姻劣於單身則有違憲 之虞。美國聯邦最高法院在 2 013年的 United States v . "
10,834,"了社會的祝福、關切、保障。在此同時， 國家法律對這種「 關係」的 承 認 ， 也能夠滿足伴侶尋求「 被承認」的需求。自此而言， 「 婚姻」 不僅是一種消極的自由， 也是一種積極尋求國家社會承認的請求權。 這種制度性的承認 , 有著高度的文化意涵， 體現了人民對社會、國家、 團 體"
11,970,"案 ， 也對婚姻的意涵多所著墨： 「 婚姻是一個尊貴的制度， 因為它滿 足了人們追求穩定、安全避風港， 以及彼此聯繫等人性的需求， 而且 『 是否結婚』以 及 『 與何人結婚』之決定， 也構成了人類自我界定生 命意義的重要行動 。 」 （ Because it fulfils y"
12,859,"度 ， 係因為每個人需要「 界定自己基本的關係權利與責任」 （ defing the fundamental relational rights and responsibilities of persons ), 而法律 就為這種「 自我界定」， 提供了一個制度的基礎 。 2 "
13,824,"這些關於婚姻的論述， 雖然 出 自於美國法院， 但其實與台灣並無 二致。無論在台灣或在美國， 法律與社會保障婚姻， 都含有這些重要 的 「 社會承認」功能〇而婚姻也都是國家法律， 對兩人關係的一種「 官 方 承認 」 （ oficial recognition 國家法律承認兩人的"
14,630,"沒 有婚姻， 其他法律關係無法展開， 許多權利根本無從產生！ 如前所 述 ， 國家是以法律來保障、優惠婚姻這個制度， 以建構社會穩定的基 石。因 此 ， 婚姻是許多權利義務的軸心。 舉例而言， 在民法中， 有 著 「 婚姻」效力的伴侶， 才能夠選擇夫 妻財產制 （ 民法第1004"
15,698,"婚姻制度之本質是否包含「 生育」 （ 之可能）？ 我們或許可以反過來問： 如果一對伴侶事前約 好 當「 頂客族」， 決心不生孩子， 國家法律得否禁止其結婚？若是一對男女在登記婚姻 時 ， 其中一人已經無法生育， 戶政人員得否拒絕登記？假設一對夫妻 結婚後發現其中一人不孕且無法醫治"
16,506,"育子女」為婚姻成立之法律要件。這自然也不該是憲法結婚權利之核 心內涵。 e . 憲法應承認的婚姻權利「 本質」 綜上所述 , 婚姻制度有重要的社會功能， 而為了落實這樣的功能， 歷史上一 直 有著婚姻制度， 法律也規定了婚姻制度。 固然婚姻制度主要應由民法來形塑， 但前揭多個大法"
17,1084,"據。婚姻的歷史， 本來就是「 變」與 「 常」的混合。 2 9 3 0 就像我們不會 接 受 「 無子」作為休妻條件， 也不會再承認納妾制度 （ 至少不是憲法 保障納妾制度或多夫多妻 ) b 但在承認「 變」的同時， 任何一個社會 也不會劇烈地改變原來的婚姻 （ 或其他） 制 度"
18,509,"即可合乎婚姻之社會功能， 而為憲法所保護。 至於這樣的婚姻， 是否為一對一之同性伴侶所「 應得」， 而能在 憲法上請求法律「 納入」呢 ？同性婚姻之承認， 是否會破壞婚姻的本 質呢？聲請人以為， 同志對於婚姻的需求， 與異性戀者並無二致。而 婚姻制度納入「 同性配偶」並不影響其本"
19,738,"禁止「 性傾向」 歧視之條款； 性別工作平等法在 2 008年修正公布後， 加 入 了 「 禁止職場性傾向歧視」的規 定 ； 性別平等教育法則於 2 011 年增加禁止性傾向差別待遇與性霸凌之規範〇這些都是明文保障同志 不因其性傾向， 而在職場與教育場域受到偏見對待。也顯示「 歧"
20,622,"在很難否定「 同性婚姻」之水到渠成。在美國 2 003年之 Terns 3 案 ， 將 「 禁止同性行為」之法律， 以其侵害人民隱私權為由 宣告違憲時 , Scalia 大法官的不同意見書就指 出 ： 一旦承認同志性行 為是受保護的隱私， 社會大眾不能用抽象的道德標準去否定同志的"
